*HASH_VALUE	item ID	name	named	nameda	ia	da	p	pd	pia	pda	description	
_92FDBDCE6E7A4469	icmm1sa_3	Kara Haque-Axt	Kara Haque-Axt	Kara Haque-Axt	eine	die	Kara Haque-Äxte	Kara Haque-Äxte	eine	die	Nahkampfwaffe nach Matis-Handwerksplan in hoher Qualität	
_9E6CE6D429BCECC2	icmm1ss_3	Kara Klyde-Schwert	Kara Klyde-Schwert	Kara Klyde-Schwert	ein	das	Kara Klyde-Schwerter	Kara Klyde-Schwerter	ein	die	Nahkampfwaffe nach Matis-Handwerksplan in hoher Qualität	
_7A91EA1F6B89EF02	icmm2bm_3	Kara Gondo-Zweihand-Streitkolben	Kara Gondo-Zweihand-Streitkolben	Kara Gondo-Zweihand-Streitkolben	ein	der	Kara Gondo-Zweihand-Streitkolben	Kara Gondo-Zweihand-Streitkolben	einen	die	Nahkampfwaffe nach Matis-Handwerksplan in hoher Qualität	
_9979EDC2BCAE4CA6	icmm2pp_3	Kara Krop-Pike	Kara Krop-Pike	Kara Krop-Pike	eine	die	Kara Krop-Piken	Kara Krop-Piken	eine	die	Zweihand-Nahkampfwaffe nach Matis-Handwerksplan in hoher Qualität	
_4F7D7E4781BCE182	icmm2sa_3	Kara Klout-Zweihand-Axt	Kara Klout-Zweihand-Axt	Kara Klout-Zweihand-Axt	eine	die	Kara Klout-Zweihand-Äxte	Kara Klout-Zweihand-Äxte	eine	die	Nahkampfwaffe nach Matis-Handwerksplan in hoher Qualität	
_15371EC68963B545	icmm2ss_3	Kara Slathe-Zweihand-Schwert	Kara Slathe-Zweihand-Schwert	Kara Slathe-Zweihand-Schwert	ein	das	Kara Slathe-Zweihand-Schwerter	Kara Slathe-Zweihand-Schwerter	ein	die	Nahkampfwaffe nach Matis-Handwerksplan in hoher Qualität	
_A4B25E816E84278C	icmr1b_3	Kara Riva-Bogenpistole	Kara Riva-Bogenpistole	Kara Riva-Bogenpistole	eine	die	Kara Riva-Bogenpistolen	Kara Riva-Bogenpistolen	eine	die	Fernwaffe nach Matis-Handwerksplan in hoher Qualität	
_FE8DBC1223516638	icmr1p_3	Kara Maka-Pistole	Kara Maka-Pistole	Kara Maka-Pistole	eine	die	Kara Maka-Pistolen	Kara Maka-Pistolen	eine	die	Fernwaffe nach Matis-Handwerksplan in hoher Qualität	
_2F322D2B876C9132	icmr2a_3	Kara Morikov-Automatikgewehr	Kara Morikov-Automatikgewehr	Kara Morikov-Automatikgewehr	ein	das	Kara Morikov-Automatikgewehre	Kara Morikov-Automatikgewehre	ein	die	Fernwaffe nach Matis-Handwerksplan in hoher Qualität	
_F3EE7859ED856F7B	icmr2b_3	Kara Polta-Bogengewehr	Kara Polta-Bogengewehr	Kara Polta-Bogengewehr	ein	das	Kara Polta-Bogengewehre	Kara Polta-Bogengewehre	ein	die	Fernwaffe nach Matis-Handwerksplan in hoher Qualität	
_7C61244E2223AF57	icmr2l_3	Kara Vulca-Raketenwerfer	Kara Vulca-Raketenwerfer	Kara Vulca-Raketenwerfer	ein	der	Kara Vulca-Raketenwerfer	Kara Vulca-Raketenwerfer	einen	die	Fernwaffe nach Matis-Handwerksplan in hoher Qualität	
_F959D32DB394B1AB	icmr2r_3	Kara Stylone-Gewehr	Kara Stylone-Gewehr	Kara Stylone-Gewehr	ein	das	Kara Stylone-Gewehre	Kara Stylone-Gewehre	ein	die	Fernwaffe nach Matis-Handwerksplan in hoher Qualität	
_8196CBC84C15FCFA	ictacb_3	Ry-Lithen-Stiefel	Ry-Lithen-Stiefel	Ry-Lithen-Stiefel		die	Ry-Lithen-Stiefel	Ry-Lithen-Stiefel	eine	die	Magier-Kleidung nach Tryker-Handwerksplan in hoher Qualität	
_0F82240B6BB791E4	ictacg_3	Ry-Lithen-Handschuhe	Ry-Lithen-Handschuhe	Ry-Lithen-Handschuhe		die	Ry-Lithen-Handschuhe	Ry-Lithen-Handschuhe	eine	die	Magier-Kleidung nach Tryker-Handwerksplan in hoher Qualität	
_FE6793D60C356CF9	ictacp_3	Ry-Lithen-Hose	Ry-Lithen-Hose	Ry-Lithen-Hose	eine	die	Ry-Lithen-Hosen	Ry-Lithen-Hosen	eine	die	Magier-Kleidung nach Tryker-Handwerksplan in hoher Qualität	
_F1125A7DE588C0B4	ictacs_3	Ry-Lithen-Armschützer	Ry-Lithen-Armschützer	Ry-Lithen-Armschützer		die	Ry-Lithen-Armschützer	Ry-Lithen-Armschützer	eine	die	Magier-Kleidung nach Tryker-Handwerksplan in hoher Qualität	
_560BD5549144E946	ictacv_3	Ry-Lithen-Weste	Ry-Lithen-Weste	Ry-Lithen-Weste	eine	die	Ry-Lithen-Westen	Ry-Lithen-Westen	eine	die	Magier-Kleidung nach Tryker-Handwerksplan in hoher Qualität	
_FDC7DFF154714886	ictahb_3	Ry-Tashok-Stiefel	Ry-Tashok-Stiefel	Ry-Tashok-Stiefel		die	Ry-Tashok-Stiefel	Ry-Tashok-Stiefel	eine	die	schwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_95D4BDAE18B801E9	ictahg_3	Ry-Tashok-Handschuhe	Ry-Tashok-Handschuhe	Ry-Tashok-Handschuhe		die	Ry-Tashok-Handschuhe	Ry-Tashok-Handschuhe	eine	die	schwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_F067A4ECFB973959	ictahh_3	Ry-Tashok-Helm	Ry-Tashok-Helm	Ry-Tashok-Helm	ein	der	Ry-Tashok-Helme	Ry-Tashok-Helme	einen	die	schwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_7AA8DBE39891B885	ictahp_3	Ry-Tashok-Hose	Ry-Tashok-Hose	Ry-Tashok-Hose	eine	die	Ry-Tashok-Hosen	Ry-Tashok-Hosen	eine	die	schwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_BFA6C27327C8A8D4	ictahs_3	Ry-Tashok-Armschützer	Ry-Tashok-Armschützer	Ry-Tashok-Armschützer		die	Ry-Tashok-Armschützer	Ry-Tashok-Armschützer	eine	die	schwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_D87311649627BC57	ictahv_3	Ry-Tashok-Weste	Ry-Tashok-Weste	Ry-Tashok-Weste	eine	die	Ry-Tashok-Westen	Ry-Tashok-Westen	eine	die	schwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_3F271BF4D3223484	ictalb_3	Ry-Tissan-Stiefel	Ry-Tissan-Stiefel	Ry-Tissan-Stiefel		die	Ry-Tissan-Stiefel	Ry-Tissan-Stiefel	eine	die	Leichte Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_1385BDB9548819FC	ictalg_3	Ry-Tissan-Handschuhe	Ry-Tissan-Handschuhe	Ry-Tissan-Handschuhe		die	Ry-Tissan-Handschuhe	Ry-Tissan-Handschuhe	eine	die	Leichte Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_BC0817E61742A483	ictalp_3	Ry-Tissan-Hose	Ry-Tissan-Hose	Ry-Tissan-Hose	eine	die	Ry-Tissan-Hosen	Ry-Tissan-Hosen	eine	die	Leichte Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_81A6CE6825B9C4D2	ictals_3	Ry-Tissan-Armschützer	Ry-Tissan-Armschützer	Ry-Tissan-Armschützer		die	Ry-Tissan-Armschützer	Ry-Tissan-Armschützer	eine	die	Leichte Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_5503E9761358BC5E	ictalv_3	Ry-Tissan-Weste	Ry-Tissan-Weste	Ry-Tissan-Weste	eine	die	Ry-Tissan-Westen	Ry-Tissan-Westen	eine	die	Leichte Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_4897A1D1C35CDA59	ictamb_3	Ry-Fabren-Stiefel	Ry-Fabren-Stiefel	Ry-Tissan-Stiefel		die	Ry-Fabren-Stiefel	Ry-Fabren-Stiefel	eine	die	mittelschwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_51A50DD8BC410DE4	ictamg_3	Ry-Fabren-Handschuhe	Ry-Fabren-Handschuhe	Ry-Fabren-Handschuhe		die	Ry-Fabren-Handschuhe	Ry-Fabren-Handschuhe	eine	die	mittelschwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_5C381BE25A540F7C	ictamp_3	Ry-Fabren-Hose	Ry-Fabren-Hose	Ry-Fabren-Hose	eine	die	Ry-Fabren-Hosen	Ry-Fabren-Hosen	eine	die	mittelschwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_04C89068E2BA70C8	ictams_3	Ry-Fabren-Armschützer	Ry-Fabren-Armschützer	Ry-Fabren-Armschützer		die	Ry-Fabren-Armschützer	Ry-Fabren-Armschützer	eine	die	mittelschwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_D103287253B91903	ictamv_3	Ry-Fabren-Weste	Ry-Fabren-Weste	Ry-Fabren-Weste	eine	die	Ry-Fabren-Westen	Ry-Fabren-Westen	eine	die	mittelschwere Rüstung nach Tryker-Handwerksplan in hoher Qualität	
_65ED75BB2837286B	ictm1bm_3	Ry-Tumbler-Streitkolben	Ry-Tumbler-Streitkolben	Ry-Tumbler-Streitkolben	ein	der	Ry-Tumbler-Streitkolben	Ry-Tumbler-Streitkolben	einen	die	Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_F3C934712CD6110B	ictm1bs_3	Ry-Brok Stab	Ry-Brok Stab	Ry-Brok Stab	ein	der	Ry-Brok Stäbe	Ry-Brok Stäbe	einen	die	Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_798109E1F9C41B85	ictm1pd_3	Ry-Fyler-Dolch	Ry-Fyler-Dolch	Ry-Fyler-Dolch	ein	der	Ry-Fyler-Dolche	Ry-Fyler-Dolche	einen	die	Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_4CCC11CDEAF88561	ictm1ps_3	Ry-Pyker-Lanze	Ry-Pyker-Lanze	Ry-Pyker-Lanze	eine	die	Ry-Pyker-Lanzen	Ry-Pyker-Lanzen	eine	die	(Speer) Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_F4E930BB6FB6546D	ictm1sa_3	Ry-Lopper-Axt	Ry-Lopper-Axt	Ry-Lopper-Axt	eine	die	Ry-Lopper-Äxte	Ry-Lopper-Äxte	eine	die	Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_2F7976D7BAC570A2	ictm1ss_3	Ry-Tanner-Schwert	Ry-Tanner-Schwert	Ry-Tanner-Schwert	ein	das	Ry-Tanner-Schwerter	Ry-Tanner-Schwerter	ein	die	Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_DBFEAF0A8F224CA7	ictm2bm_3	Ry-Gaffer-Zweihand-Streitkolben	Ry-Gaffer-Zweihand-Streitkolben	Ry-Gaffer-Zweihand-Streitkolben	ein	der	Ry-Gaffer-Zweihand-Streitkolben	Ry-Gaffer-Zweihand-Streitkolben	einen	die	Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_C4A3E85C0B50DC3E	ictm2pp_3	Ry-Jak-Pike	Ry-Jak-Pike	Ry-Jak-Pike	eine	die	Ry-Jak-Piken	Ry-Jak-Piken	eine	die	Zweihand-Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_35D844C12BD47796	ictm2sa_3	Ry-Weld-Zweihand-Axt	Ry-Weld-Zweihand-Axt	Ry-Weld-Zweihand-Axt	eine	die	Ry-Weld-Zweihand-Äxte	Ry-Weld-Zweihand-Äxte	eine	die	Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_8BAE0DD6F6FA49F7	ictm2ss_3	Ry-Flence-Zweihand-Schwert	Ry-Flence-Zweihand-Schwert	Ry-Flence-Zweihand-Schwert	ein	das	Ry-Flence-Zweihand-Schwerter	Ry-Flence-Zweihand-Schwerter	ein	die	Nahkampfwaffe nach Tryker-Handwerksplan in hoher Qualität	
_F99B0891A47B1B20	ictr1b_3	Ry-Fletcher-Bogenpistole	Ry-Fletcher-Bogenpistole	Ry-Fletcher-Bogenpistole	eine	die	Ry-Fletcher-Bogenpistolen	Ry-Fletcher-Bogenpistolen	eine	die	Fernwaffe nach Tryker-Handwerksplan in hoher Qualität	
_F50D05F21FB698BA	ictr1p_3	Ry-Rade-Pistole	Ry-Rade-Pistole	Ry-Rade-Pistole	eine	die	Ry-Rade-Pistolen	Ry-Rade-Pistolen	eine	die	Fernwaffe nach Tryker-Handwerksplan in hoher Qualität	
_91A0CB7AE55203B0	ictr2a_3	Ry-Rayler-Automatikgewehr	Ry-Rayler-Automatikgewehr	Ry-Rayler-Automatikgewehr	ein	das	Ry-Rayler-Automatikgewehre	Ry-Rayler-Automatikgewehre	ein	die	Fernwaffe nach Tryker-Handwerksplan in hoher Qualität	
_10EDB77F2DC6FBBF	ictr2b_3	Ry-Flunker-Bogengewehr	Ry-Flunker-Bogengewehr	Ry-Flunker-Bogengewehr	ein	das	Ry-Flunker-Bogengewehre	Ry-Flunker-Bogengewehre	ein	die	Fernwaffe nach Tryker-Handwerksplan in hoher Qualität	
_8E5452640B0B497E	ictr2l_3	Ry-Doomer-Raketenwerfer	Ry-Doomer-Raketenwerfer	Ry-Doomer-Raketenwerfer	ein	der	Ry-Doomer-Raketenwerfer	Ry-Doomer-Raketenwerfer	einen	die	Fernwaffe nach Tryker-Handwerksplan in hoher Qualität	
_AD3AF91A17EADC5D	ictr2r_3	Ry-Boomer-Gewehr	Ry-Boomer-Gewehr	Ry-Boomer-Gewehr	ein	das	Ry-Boomer-Gewehre	Ry-Boomer-Gewehre	ein	die	Fernwaffe nach Tryker-Handwerksplan in hoher Qualität	
_02C82E1BC1E4D867	iczacb_3	Zo'Lin-ko-Stiefel	Zo'Lin-ko-Stiefel	Zo'Lin-ko-Stiefel		die	Zo'Lin-ko-Stiefel	Zo'Lin-ko-Stiefel	eine	die	Magier-Kleidung nach Zoraï-Handwerksplan in hoher Qualität	
_D852384CD123050C	iczacg_3	Zo'Lin-ko-Handschuhe	Zo'Lin-ko-Handschuhe	Zo'Lin-ko-Handschuhe		die	Zo'Lin-ko-Handschuhe	Zo'Lin-ko-Handschuhe	eine	die	Magier-Kleidung nach Zoraï-Handwerksplan in hoher Qualität	
_7FA92A0D05044866	iczacp_3	Zo'Lin-ko-Hose	Zo'Lin-ko-Hose	Zo'Lin-ko-Hose	eine	die	Zo'Lin-ko-Hosen	Zo'Lin-ko-Hosen	eine	die	Magier-Kleidung nach Zoraï-Handwerksplan in hoher Qualität	
_5AFD765FA8B428F6	iczacs_3	Zo'Lin-ko-Armschützer	Zo'Lin-ko-Armschützer	Zo'Lin-ko-Armschützer		die	Zo'Lin-ko-Armschützer	Zo'Lin-ko-Armschützer	eine	die	Magier-Kleidung nach Zoraï-Handwerksplan in hoher Qualität	
_4D33294E1CCEB243	iczacv_3	Zo'Lin-ko-Weste	Zo'Lin-ko-Weste	Zo'Lin-ko-Weste	eine	die	Zo'Lin-ko-Westen	Zo'Lin-ko-Westen	eine	die	Magier-Kleidung nach Zoraï-Handwerksplan in hoher Qualität	
_A89752200A878F78	iczahb_3	Zo'Tan-ko-Stiefel	Zo'Tan-ko-Stiefel	Zo'Tan-ko-Stiefel		die	Zo'Tan-ko-Stiefel	Zo'Tan-ko-Stiefel	eine	die	schwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_9DD2CC6B3F2D45E6	iczahg_3	Zo'Tan-ko-Handschuhe	Zo'Tan-ko-Handschuhe	Zo'Tan-ko-Handschuhe		die	Zo'Tan-ko-Handschuhe	Zo'Tan-ko-Handschuhe	eine	die	schwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_BB603395DC94E583	iczahh_3	Zo'Tan-ko-Helm	Zo'Tan-ko-Helm	Zo'Tan-ko-Helm	ein	der	Zo'Tan-ko-Helme	Zo'Tan-ko-Helme	einen	die	schwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_2578521F4788FF77	iczahp_3	Zo'Tan-ko-Hose	Zo'Tan-ko-Hose	Zo'Tan-ko-Hose	eine	die	Zo'Tan-ko-Hosen	Zo'Tan-ko-Hosen	eine	die	schwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_A3304089E4A438F1	iczahs_3	Zo'Tan-ko-Armschützer	Zo'Tan-ko-Armschützer	Zo'Tan-ko-Armschützer		die	Zo'Tan-ko-Armschützer	Zo'Tan-ko-Armschützer	eine	die	schwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_54531053E13FABEE	iczahv_3	Zo'Tan-ko-Weste	Zo'Tan-ko-Weste	Zo'Tan-ko-Weste	eine	die	Zo'Tan-ko-Westen	Zo'Tan-ko-Westen	eine	die	schwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_20F762160C268F7F	iczalb_3	Zo'Nin-ka-Stiefel	Zo'Nin-ka-Stiefel	Zo'Nin-ka-Stiefel		die	Zo'Nin-ka-Stiefel	Zo'Nin-ka-Stiefel	eine	die	leichte Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_1C12CC65BDDD0DEA	iczalg_3	Zo'Nin-ka-Handschuhe	Zo'Nin-ka-Handschuhe	Zo'Nin-ka-Handschuhe		die	Zo'Nin-ka-Handschuhe	Zo'Nin-ka-Handschuhe	eine	die	leichte Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_9DD862154927FF7E	iczalp_3	Zo'Nin-ka-Hose	Zo'Nin-ka-Hose	Zo'Nin-ka-Hose	eine	die	Zo'Nin-ka-Hosen	Zo'Nin-ka-Hosen	eine	die	leichte Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_2130607061041001	iczals_3	Zo'Nin-ka-Armschützer	Zo'Nin-ka-Armschützer	Zo'Nin-ka-Armschützer	ein	der	Zo'Nin-ka-Armschützer	Zo'Nin-ka-Armschützer	einen	die	leichte Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_91922849E2BF93FA	iczalv_3	Zo'Nin-ka-Weste	Zo'Nin-ka-Weste	Zo'Nin-ka-Weste	eine	die	Zo'Nin-ka-Westen	Zo'Nin-ka-Westen	eine	die	leichte Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_FD729665044C04BA	iczamb_3	Zo'Shaï-don-Stiefel	Zo'Shaï-don-Stiefel	Zo'Shaï-don-Stiefel		die	Zo'Shaï-don-Stiefel	Zo'Shaï-don-Stiefel	eine	die	mittelschwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_1AA4751A0932A00F	iczamg_3	Zo'Shaï-don-Handschuhe	Zo'Shaï-don-Handschuhe	Zo'Shaï-don-Handschuhe		die	Zo'Shaï-don-Handschuhe	Zo'Shaï-don-Handschuhe	eine	die	mittelschwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_7DB20665043C04C8	iczamp_3	Zo'Shaï-don-Hose	Zo'Shaï-don-Hose	Zo'Shaï-don-Hose	eine	die	Zo'Shaï-don-Hosen	Zo'Shaï-don-Hosen	eine	die	mittelschwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_C23A3C6E13B79CC1	iczams_3	Zo'Shaï-don-Armschützer	Zo'Shaï-don-Armschützer	Zo'Shaï-don-Armschützer	ein	der	Zo'Shaï-don-Armschützer	Zo'Shaï-don-Armschützer	einen	die	mittelschwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_9CB090B165DB8905	iczamv_3	Zo'Shaï-don-Weste	Zo'Shaï-don-Weste	Zo'Shaï-don-Weste	eine	die	Zo'Shaï-don-Westen	Zo'Shaï-don-Westen	eine	die	mittelschwere Rüstung nach Zoraï-Handwerksplan in hoher Qualität	
_621977DF18CC387A	iczm1bm_3	Zo'Nanka-Streitkolben	Zo'Nanka-Streitkolben	Zo'Nanka-Streitkolben	ein	der	Zo'Nanka-Streitkolben	Zo'Nanka-Streitkolben	einen	die	Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_984099C477B36CD5	iczm1bs_3	Zo'Shopan-Stab	Zo'Shopan-Stab	Zo'Shopan-Stab	ein	der	Zo'Shopan-Stäbe	Zo'Shopan-Stäbe	einen	die	Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_B30877C1494C7DF9	iczm1pd_3	Zo'Lam-Dolch	Zo'Lam-Dolch	Zo'Lam-Dolch	ein	der	Zo'Lam-Dolche	Zo'Lam-Dolche	einen	die	Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_148D105D48D9F14D	iczm1ps_3	Zo'Katoo-Lanze	Zo'Katoo-Lanze	Zo'Katoo-Lanze	eine	die	Zo'Katoo-Lanzen	Zo'Katoo-Lanzen	eine	die	(Speer) Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_FCCB945A90343F40	iczm1sa_3	Zo'Chok-Axt	Zo'Chok-Axt	Zo'Chok-Axt	eine	die	Zo'Chok-Äxte	Zo'Chok-Äxte	eine	die	Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_967DA06FCAA7BD61	iczm1ss_3	Zo'Kovan-Schwert	Zo'Kovan-Schwert	Zo'Kovan-Schwert	ein	das	Zo'Kovan-Schwerter	Zo'Kovan-Schwerter	ein	die	Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_E2C9AF43F0E26199	iczm2bm_3	Zo'Kanka-Zweihand-Streitkolben	Zo'Kanka-Zweihand-Streitkolben	Zo'Kanka-Zweihand-Streitkolben	ein	der	Zo'Kanka-Zweihand-Streitkolben	Zo'Kanka-Zweihand-Streitkolben	einen	die	Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_5193AD5BA768BCAD	iczm2pp_3	Zo'Pukatoo-Pike	Zo'Pukatoo-Pike	Zo'Pukatoo-Pike	eine	die	Zo'Pukatoo-Piken	Zo'Pukatoo-Piken	eine	die	Zweihand-Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_FD1D89CD439C3582	iczm2sa_3	Zo'Kra-cho-Zweihand-Axt	Zo'Kra-cho-Zweihand-Axt	Zo'Kra-cho-Zweihand-Axt	eine	die	Zo'Kra-cho-Zweihand-Äxte	Zo'Kra-cho-Zweihand-Äxte	eine	die	Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_0D8EBE7ECCFCB626	iczm2ss_3	Zo'Matchata-Zweihand-Schwert	Zo'Matchata-Zweihand-Schwert	Zo'Matchata-Zweihand-Schwert	ein	das	Zo'Matchata-Zweihand-Schwerter	Zo'Matchata-Zweihand-Schwerter	ein	die	Nahkampfwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_349A4ED889242C4C	iczr1b_3	Zo'Zin-kann Bogenpistole	Zo'Zin-kann Bogenpistole	Zo'Zin-kann Bogenpistole	eine	die	Zo'Zin-kann Bogenpistolen	Zo'Zin-kann Bogenpistolen	eine	die	Fernwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_029E98D4F6DCAD18	iczr1p_3	Zo'Tchaï-Pistole	Zo'Tchaï-Pistole	Zo'Tchaï-Pistole	eine	die	Zo'Tchaï-Pistolen	Zo'Tchaï-Pistolen	eine	die	Fernwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_F9DA316DA7B29142	iczr2a_3	Zo'Mo-ka-Automatikgewehr	Zo'Mo-ka-Automatikgewehr	Zo'Mo-ka-Automatikgewehr	ein	das	Zo'Mo-ka-Automatikgewehre	Zo'Mo-ka-Automatikgewehre	ein	die	Fernwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_49E6B2096BEA006E	iczr2b_3	Zo'Ma-kam-Bogengewehr	Zo'Ma-kam-Bogengewehr	Zo'Ma-kam-Bogengewehr	ein	das	Zo'Ma-kam-Bogengewehre	Zo'Ma-kam-Bogengewehre	ein	die	Fernwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_048B557C2883526F	iczr2l_3	Zo'Ba-zoon-Raketenwerfer	Zo'Ba-zoon-Raketenwerfer	Zo'Ba-zoon-Raketenwerfer	ein	der	Zo'Ba-zoon-Raketenwerfer	Zo'Ba-zoon-Raketenwerfer	einen	die	Fernwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_2B102AE319094019	iczr2r_3	Zo'Shoy-ton-Gewehr	Zo'Shoy-ton-Gewehr	Zo'Shoy-ton-Gewehr	ein	das	Zo'Shoy-ton-Gewehre	Zo'Shoy-ton-Gewehre	ein	die	Fernwaffe nach Zoraï-Handwerksplan in hoher Qualität	
_2FE34B7B6D7680C2	icfsb_2	Blokus-Beschützer	Blokus-Beschützer	Blokus-Beschützer	ein	der	Blokus-Beschützer	Blokus-Beschützer	einen	die	Schild nach Fyros-Handwerksplan in mittlerer Qualität	
_6F87D9665FC98E65	icfss_2	Stokus-Schild	Stokus-Schild	Stokus-Schild	ein	das	Stokus-Schilde	Stokus-Schilde	ein	die	Schild nach Fyros-Handwerksplan in mittlerer Qualität	
_B58C9EDE6B5EDD30	icmsb_2	Modi Wod-Beschützer	Modi Wod-Beschützer	Modi Wod-Beschützer	ein	der	Modi Wod-Beschützer	Modi Wod-Beschützer	einen	die	Schild nach Matis-Handwerksplan in mittlerer Qualität	
_736A152053F38DF5	icmss_2	Modi Takod-Schild	Modi Takod-Schild	Modi Takod-Schild	ein	das	Modi Takod-Schilde	Modi Takod-Schilde	ein	die	Schild nach Matis-Handwerksplan in mittlerer Qualität	
_E88B968E83E8827B	ictsb_2	Lor-Stilten-Beschützer	Lor-Stilten-Beschützer	Lor-Stilten-Beschützer	ein	der	Lor-Stilten-Beschützer	Lor-Stilten-Beschützer	einen	die	Schild nach Tryker-Handwerksplan in mittlerer Qualität	
_40799949B64A6201	ictss_2	Lor-Parper-Schild	Lor-Parper-Schild	Lor-Parper-Schild	ein	das	Lor-Parper-Schilde	Lor-Parper-Schilde	ein	die	Schild nach Tryker-Handwerksplan in mittlerer Qualität	
_E40CB502BE8DFC46	iczsb_2	Li'Kastu-Beschützer	Li'Kastu-Beschützer	Li'Kastu-Beschützer	ein	der	Li'Kastu-Beschützer	Li'Kastu-Beschützer	einen	die	Schild nach Zoraï-Handwerksplan in mittlerer Qualität	
_04ACF5D015A9B79B	iczss_2	Li'Pakmon-Schild	Li'Pakmon-Schild	Li'Pakmon-Schild	ein	das	Li'Pakmon-Schilde	Li'Pakmon-Schilde	ein	die	Schild nach Zoraï-Handwerksplan in mittlerer Qualität	
_A937DD4D588DEADA	icfsb_3	Blokyx-Beschützer	Blokyx-Beschützer	Blokyx-Beschützer	ein	der	Blokyx-Beschützer	Blokyx-Beschützer	einen	die	Schild nach Fyros-Handwerksplan in hoher Qualität	
_469175A549461D5D	icfss_3	Stokyx-Schild	Stokyx-Schild	Stokyx-Schild	ein	das	Stokyx-Schilde	Stokyx-Schilde	ein	die	Schild nach Fyros-Handwerksplan in hoher Qualität	
_10D31AC4FBB679CE	icmsb_3	Kara Wod-Beschützer	Kara Wod-Beschützer	Kara Wod-Beschützer	ein	der	Kara Wod-Beschützer	Kara Wod-Beschützer	einen	die	Schild nach Matis-Handwerksplan in hoher Qualität	
_1A7935A544CE1151	icmss_3	Kara Takod-Schild	Kara Takod-Schild	Kara Takod-Schild	ein	das	Kara Takod-Schilde	Kara Takod-Schilde	ein	die	Schild nach Matis-Handwerksplan in hoher Qualität	
_4C0E5C2A891EDEFD	ictsb_3	Ry-Stilten-Beschützer	Ry-Stilten-Beschützer	Ry-Stilten-Beschützer	ein	der	Ry-Stilten-Beschützer	Ry-Stilten-Beschützer	einen	die	Schild nach Tryker-Handwerksplan in hoher Qualität	
_5728F5DC62A32B3C	ictss_3	Ry-Parper-Schild	Ry-Parper-Schild	Ry-Parper-Schild	ein	das	Ry-Parper-Schilde	Ry-Parper-Schilde	ein	die	Schild nach Tryker-Handwerksplan in hoher Qualität	
