*HASH_VALUE	sbrick ID	name	* noms français	description	description2
_3B0FDAEF0D1E10E6	bcmaea13	Чертеж средних рукавиц матисов		Чертеж для изготовления средних рукавиц матисов.	
_838E19297CDF5671	bcmaea14	Чертеж средних поножей матисов		Чертеж для изготовления средних поножей матисов.	
_8048F8C68AD311CA	bcmaea15	Чертеж средних наручей матисов		Чертеж для изготовления средних наручей матисов.	
_2A1011EBE99AC53A	bcmaea16	Чертеж средних нагрудников матисов		Чертеж для изготовления средних нагрудников матисов.	
_3B313AA9C2B07313	bcraea01	Чертеж черных ботинок переселенца		Чертеж для изготовления черных ботинок переселенца.	
_3C512EB140B0730D	bcraea02	Чертеж серых ботинок переселенца		Чертеж для изготовления серых ботинок переселенца.	
_BCA15AB204007316	bcraea04	Чертеж зеленых ботинок переселенца		Чертеж для изготовления зеленых ботинок переселенца.	
_CA8F0A1349BA3E82	bcraea05	Чертеж красных ботинок переселенца		Чертеж для изготовления красных ботинок переселенца.	
_AC8C60C30F1433F4	bcraea06	Чертеж голубых ботинок переселенца		Чертеж для изготовления голубых ботинок переселенца.	
_05710510A6A1BF21	bcraea03	Чертеж синих ботинок переселенца		Чертеж для изготовления синих ботинок переселенца.	
_91F9D8C43FFD5949	bcraea07	Чертеж фиолетовых ботинок переселенца		Чертеж для изготовления фиолетовых ботинок переселенца.	
_80516EC68301730D	bcraea08	Чертеж белых ботинок переселенца		Чертеж для изготовления белых ботинок переселенца.	
_CF988CBA041F25FB	bcraea10	Чертеж черных рукавиц переселенца		Чертеж для изготовления черных рукавиц переселенца.	
_4F5890B3460F25F5	bcraea09	Чертеж серых рукавиц переселенца		Чертеж для изготовления серых рукавиц переселенца.	
_11F8B4C5C51F25FE	bcraea12	Чертеж зеленых рукавиц переселенца		Чертеж для изготовления зеленых рукавиц переселенца.	
_B40006CC24416B4F	bcraea13	Чертеж красных рукавиц переселенца		Чертеж для изготовления красных рукавиц переселенца.	
_04129FF69164DCB8	bcraea14	Чертеж голубых рукавиц переселенца		Чертеж для изготовления голубых рукавиц переселенца.	
_8DBE06C4FED310D2	bcraea11	Чертеж синих рукавиц переселенца		Чертеж для изготовления синих рукавиц переселенца.	
_6C6CB8E7EF3352B4	bcraea15	Чертеж фиолетовых рукавиц переселенца		Чертеж для изготовления фиолетовых рукавиц переселенца.	
_93299CCBCA1F25F5	bcraea16	Чертеж белых рукавиц переселенца		Чертеж для изготовления белых рукавиц переселенца.	
_3B313AA801913B21	bcraea18	Чертеж черных поножей переселенца		Чертеж для изготовления черных поножей переселенца.	
_3C512EB0FE913B1B	bcraea17	Чертеж серых поножей переселенца		Чертеж для изготовления серых поножей переселенца.	
_BCA15AB180F13B24	bcraea20	Чертеж зеленых поножей переселенца		Чертеж для изготовления зеленых поножей переселенца.	
_CA7FD22148CA0690	bcraea21	Чертеж красных поножей переселенца		Чертеж для изготовления красных поножей переселенца.	
_296D60C30E24FB01	bcraea22	Чертеж голубых поножей переселенца		Чертеж для изготовления голубых поножей переселенца.	
_82520510E8D1F720	bcraea19	Чертеж синих поножей переселенца		Чертеж для изготовления синих поножей переселенца.	
_91F9D4B53FFE5949	bcraea23	Чертеж фиолетовых поножей переселенца		Чертеж для изготовления фиолетовых поножей переселенца.	
_80516EC5FFF23B1B	bcraea24	Чертеж белых поножей переселенца		Чертеж для изготовления белых поножей переселенца.	
_E6AC80B1BBABB0C0	bcraea26	Чертеж черных наручей переселенца		Чертеж для изготовления черных наручей переселенца.	
_E8AC48B17BABB0B4	bcraea25	Чертеж серых наручей переселенца		Чертеж для изготовления серых наручей переселенца.	
_E82CB0BB3CABB0C6	bcraea28	Чертеж зеленых наручей переселенца		Чертеж для изготовления зеленых наручей переселенца.	
_7EE2D5C3BC747CFE	bcraea29	Чертеж красных наручей переселенца		Чертеж для изготовления красных наручей переселенца.	
_51AC5FF28F099381	bcraea30	Чертеж голубых наручей переселенца		Чертеж для изготовления голубых наручей переселенца.	
_7EF9DCB081110603	bcraea27	Чертеж синих наручей переселенца		Чертеж для изготовления синих наручей переселенца.	
_3B1A28AF4C70C7B9	bcraea31	Чертеж фиолетовых наручей переселенца		Чертеж для изготовления фиолетовых наручей переселенца.	
_70AC60DBBABBB0B4	bcraea32	Чертеж белых наручей переселенца		Чертеж для изготовления белых наручей переселенца.	
_460C360D60503262	bcraea34	Чертеж черных нагрудников переселенца		Чертеж для изготовления черных нагрудников переселенца.	
_478C021121E0325C	bcraea33	Чертеж серых нагрудников переселенца		Чертеж для изготовления серых нагрудников переселенца.	
_C74C5A14E1B14665	bcraea36	Чертеж зеленых нагрудников переселенца		Чертеж для изготовления зеленых нагрудников переселенца.	
_BB96720F1BF406FA	bcraea37	Чертеж красных нагрудников переселенца		Чертеж для изготовления красных нагрудников переселенца.	
_3DC71FA668C32FCB	bcraea38	Чертеж голубых нагрудников переселенца		Чертеж для изготовления голубых нагрудников переселенца.	
_DA0042C2595BF651	bcraea35	Чертеж синих нагрудников переселенца		Чертеж для изготовления синих нагрудников переселенца.	
_93C14EC27C5FE0CB	bcraea39	Чертеж фиолетовых нагрудников переселенца		Чертеж для изготовления фиолетовых нагрудников переселенца.	
_8B8C0E336120865C	bcraea40	Чертеж белых нагрудников переселенца		Чертеж для изготовления белых нагрудников переселенца.	
_36A3053F356E8767	bctaea01	Чертеж тяжелых ботинок трайкеров		Чертеж для изготовления тяжелых ботинок трайкеров.	
_52FF36FDC8BD658B	bctaea02	Чертеж тяжелых рукавиц трайкеров		Чертеж для изготовления тяжелых рукавиц трайкеров.	
_930F36F548BC5D84	bctaea03	Чертеж тяжелых шлемов трайкеров		Чертеж для изготовления тяжелых шлемов трайкеров.	
_B384053FB68EBF66	bctaea04	Чертеж тяжелых поножей трайкеров		Чертеж для изготовления тяжелых поножей трайкеров.	
_80FA34D74521250E	bctaea05	Чертеж тяжелых наручей трайкеров		Чертеж для изготовления тяжелых наручей трайкеров.	
_6E0D7EE525183234	bctaea06	Чертеж тяжелых нагрудников трайкеров		Чертеж для изготовления тяжелых нагрудников трайкеров.	
_F5C21D3E34CE976B	bctaea07	Чертеж легких ботинок трайкеров		Чертеж для изготовления легких ботинок трайкеров.	
_111E3AF3CCFD758B	bctaea08	Чертеж легких рукавиц трайкеров		Чертеж для изготовления легких рукавиц трайкеров.	
_72A31D3E75EECF6A	bctaea09	Чертеж легких поножей трайкеров		Чертеж для изготовления легких поножей трайкеров.	
_3FC914E10671250E	bctaea10	Чертеж легких наручей трайкеров		Чертеж для изготовления легких наручей трайкеров.	
_2E2C96E9A4474A38	bctaea11	Чертеж легких нагрудников трайкеров		Чертеж для изготовления легких нагрудников трайкеров.	
_80026EE98EBADCCE	bctaea12	Чертеж средних ботинок трайкеров		Чертеж для изготовления средних ботинок трайкеров.	
_D2E90CE4499F4408	bctaea13	Чертеж средних рукавиц трайкеров		Чертеж для изготовления средних рукавиц трайкеров.	
_80026EE88C8BA4DC	bctaea14	Чертеж средних поножей трайкеров		Чертеж для изготовления средних поножей трайкеров.	
_EA2EA8BB19F318C0	bctaea15	Чертеж средних наручей трайкеров		Чертеж для изготовления средних наручей трайкеров.	
_F7AE4A3AF22DFAAF	bctaea16	Чертеж средних нагрудников трайкеров		Чертеж для изготовления средних нагрудников трайкеров.	
_165161B294FA95E1	bczaea01	Чертеж тяжелых ботинок Зораи		Чертеж для изготовления тяжелых ботинок Зораи.	
_703E94CF7D10B21C	bczaea02	Чертеж тяжелых рукавиц Зораи		Чертеж для изготовления тяжелых рукавиц Зораи.	
_B0CE9CCF7BF09614	bczaea03	Чертеж тяжелых шлемов Зораи		Чертеж для изготовления тяжелых шлемов Зораи.	
_164129C055EA5DEF	bczaea04	Чертеж тяжелых поножей Зораи		Чертеж для изготовления тяжелых поножей Зораи.	
_28FCF1FBD2EF7C89	bczaea05	Чертеж тяжелых наручей Зораи		Чертеж для изготовления тяжелых наручей Зораи.	
_6C7CEAE14EB1759D	bczaea06	Чертеж тяжелых нагрудников Зораи		Чертеж для изготовления тяжелых нагрудников Зораи.	
_174129B816EA5DE7	bczaea07	Чертеж легких ботинок Зораи		Чертеж для изготовления легких ботинок Зораи.	
_71EE5CD5BF6FCA20	bczaea08	Чертеж легких рукавиц Зораи		Чертеж для изготовления легких рукавиц Зораи.	
_1731F1C697DA25F5	bczaea09	Чертеж легких поножей Зораи		Чертеж для изготовления легких поножей Зораи.	
_28ACB9FC0F9F8C8D	bczaea10	Чертеж легких наручей Зораи		Чертеж для изготовления легких наручей Зораи.	
_ED6CC2E70E01618F	bczaea11	Чертеж легких нагрудников Зораи		Чертеж для изготовления легких нагрудников Зораи.	
_045E432EBA9F52EE	bczaea12	Чертеж средних ботинок Зораи		Чертеж для изготовления средних ботинок Зораи.	
_3987F2FA90EF1062	bczaea13	Чертеж средних рукавиц Зораи		Чертеж для изготовления средних рукавиц Зораи.	
_813F432EFBBF8AED	bczaea14	Чертеж средних поножей Зораи		Чертеж для изготовления средних поножей Зораи.	
_9D7928E1CDD31146	bczaea15	Чертеж средних наручей Зораи		Чертеж для изготовления средних наручей Зораи.	
_28C14974E77AFDC3	bczaea16	Чертеж средних нагрудников Зораи		Чертеж для изготовления средних нагрудников Зораи.	
_21FBAE061877E337	bcfjea01	Чертеж ножных браслетов файросов		Чертеж для изготовления ножных браслетов файросов.	
_86AF1621838180E4	bcfjea02	Чертеж браслетов файросов		Чертеж для изготовления браслетов файросов.	
_5F8A8EF4D557EF37	bcfjea03	Чертеж диадем файросов		Чертеж для изготовления диадем файросов.	
_F89F26EFA51D86EA	bcfjea04	Чертеж серег файросов		Чертеж для изготовления серег файросов.	
_F89FB6E7E77F8604	bcfjea05	Чертеж кулонов файросов		Чертеж для изготовления кулонов файросов.	
_D4A02451843450E7	bcfjea06	Чертеж колец файросов		Чертеж для изготовления колец файросов.	
_A02B56F5DA77E337	bcmjea01	Чертеж ножных браслетов матисов		Чертеж для изготовления ножных браслетов матисов.	
_86BED228838180DE	bcmjea02	Чертеж браслетов матисов		Чертеж для изготовления браслетов матисов.	
_DEBA36E39757EF37	bcmjea03	Чертеж диадем матисов		Чертеж для изготовления диадем матисов.	
_F64F66FDA51D86EA	bcmjea04	Чертеж серег матисов		Чертеж для изготовления серег матисов.	
_F64FF6F5E77F8604	bcmjea05	Чертеж кулонов матисов		Чертеж для изготовления кулонов матисов.	
_5330C45205B36CE7	bcmjea06	Чертеж колец матисов		Чертеж для изготовления колец матисов.	
_72C0B603DC7718E8	bctjea01	Чертеж ножных браслетов трайкеров		Чертеж для изготовления ножных браслетов трайкеров.	
_C37000D15E93591C	bctjea02	Чертеж браслетов трайкеров		Чертеж для изготовления браслетов трайкеров.	
_72C066F9DE7718DA	bctjea03	Чертеж диадем трайкеров		Чертеж для изготовления диадем трайкеров.	
_C9526E2229B381D8	bctjea04	Чертеж серег трайкеров		Чертеж для изготовления серег трайкеров.	
_44306E312C84B5D0	bctjea05	Чертеж кулонов трайкеров		Чертеж для изготовления кулонов трайкеров.	
_5DD5F0095AD0B3FF	bctjea06	Чертеж колец трайкеров		Чертеж для изготовления колец трайкеров.	
_BD5C86101D77E3B3	bczjea01	Чертеж ножных браслетов Зораи		Чертеж для изготовления ножных браслетов Зораи.	
_034F3E3583817252	bczjea02	Чертеж браслетов		Чертеж для изготовления браслетов	
_FBEB66FEDA57EFB3	bczjea03	Чертеж диадем Зораи		Чертеж для изготовления диадем Зораи.	
_F2E0D617A51D86E2	bczjea04	Чертеж серег Зораи		Чертеж для изготовления серег Зораи.	
_F2E0660FE77F86FC	bczjea05	Чертеж кулонов Зораи		Чертеж для изготовления кулонов Зораи.	
_51E1EE578493A063	bczjea06	Чертеж колец Зораи		Чертеж для изготовления колец Зораи.	
_54A01C4603C324DF	bcfmea08	Чертеж палиц файросов		Чертеж для изготовления палиц файросов.	
_8B55FCEB64A27260	bcfmea09	Чертеж посохов файросов		Чертеж для изготовления посохов файросов.	
_61DB9AFD15D7EF37	bcfmea06	Чертеж кинжалов файросов		Чертеж для изготовления кинжалов файросов.	
_8B45F0F75D012659	bcfmea07	Чертеж копий файросов		Чертеж для изготовления копий файросов.	
_3C13F351B8FD27A0	bcfmea05	Чертеж топоров файросов		Чертеж для изготовления топоров файросов.	
_DEA430C6D1B55A4A	bcfmea11	Чертеж пылающих топоров файросов		Чертеж для изготовления пылающих топоров файросов.	
_8B352CF7E5927E60	bcfmea10	Чертеж мечей файросов		Чертеж для изготовления мечей файросов.	
_C2C968FCD49538D5	bcfmea03	Чертеж длинных палиц файросов		Чертеж для изготовления длинных палиц файросов.	
_15A01C4E83F444E7	bcfmea02	Чертеж пик файросов		Чертеж для изготовления пик файросов.	
_2B9B5A2B053090EC	bcfmea01	Чертеж длинных топоров файросов		Чертеж для изготовления длинных топоров файросов.	
_4845F6FE4247F2E0	bcfmea13	Чертеж пылающих длинных топоров файросов		Чертеж для изготовления пылающих длинных топоров файросов.	
_FC45E2E46DF6383D	bcfmea04	Чертеж длинных мечей файросов		Чертеж для изготовления длинных мечей файросов.	
_48A11D03A7920723	bcfmea12	Чертеж пылающих длинных мечей файросов		Чертеж для изготовления пылающих длинных мечей файросов.	
_D330BC47844240DF	bcmmea08	Чертеж палиц матисов		Чертеж для изготовления палиц матисов.	
_0AE584F45E127260	bcmmea09	Чертеж посохов матисов		Чертеж для изготовления посохов матисов.	
_E00B42ECD7D7EF37	bcmmea06	Чертеж кинжалов матисов		Чертеж для изготовления кинжалов матисов.	
_334F4EF95E87C0F6	bcmmea11	Чертеж живых кинжалов матисов		Чертеж для изготовления живых кинжалов матисов.	
_0AD5780057712659	bcmmea07	Чертеж копий матисов		Чертеж для изготовления копий матисов.	
_5C3A7EF45955FB79	bcmmea14	Чертеж живых копий матисов		Чертеж для изготовления живых пик матисов.	
_BBA39358371DC7A7	bcmmea05	Чертеж топоров матисов		Чертеж для изготовления топоров матисов.	
_0AC5B400DF027E60	bcmmea10	Чертеж мечей матисов		Чертеж для изготовления мечей матисов.	
_5C1B66330FA79A82	bcmmea12	Чертеж живых длинных мечей матисов		Чертеж для изготовления живых длинных мечей матисов.	
_3BC90803D49520D7	bcmmea03	Чертеж длинных палиц матисов		Чертеж для изготовления длинных палиц матисов.	
_9430BC4F047360E7	bcmmea02	Чертеж пик матисов		Чертеж для изготовления пик матисов.	
_DBA4B8FC16617F08	bcmmea13	Чертеж живых пик матисов		Чертеж для изготовления живых пик матисов.	
_2BAA1632053090E6	bcmmea01	Чертеж длинных топоров матисов		Чертеж для изготовления длинных топоров матисов.	
_3DD582EB6D964025	bcmmea04	Чертеж длинных мечей матисов		Чертеж для изготовления длинных мечей матисов.	
_1EB5C4FFD7509FFF	bctmea08	Чертеж палиц трайкеров		Чертеж для изготовления палиц трайкеров.	
_5C8C463ECFA77A8D	bctmea11	Чертеж волнистых длинных мечей		Чертеж для изготовления волнистых длинных мечей	
_DA3B860B1AB6277B	bctmea09	Чертеж посохов трайкеров		Чертеж для изготовления посохов трайкеров.	
_332096E99F7718E4	bctmea06	Чертеж кинжалов трайкеров		Чертеж для изготовления кинжалов трайкеров.	
_9AFBAE051345277B	bctmea07	Чертеж копий трайкеров		Чертеж для изготовления копий трайкеров.	
_0016C865FC81F9D1	bctmea05	Чертеж топоров трайкеров		Чертеж для изготовления топоров трайкеров.	
_5ADCEE1C98C6277B	bctmea10	Чертеж мечей трайкеров		Чертеж для изготовления мечей трайкеров.	
_1C8C9E0E20C6FB79	bctmea13	Чертеж волнистых мечей		Чертеж для изготовления длинных мечей.	
_F3EA75379FCE8205	bctmea03	Чертеж длинных палиц трайкеров		Чертеж для изготовления длинных палиц трайкеров.	
_33C00E0F9E87C0F6	bctmea12	Чертеж волнистых кинжалов		Чертеж для изготовления волнистых кинжалов.	
_1EB5E40718D0ABFF	bctmea02	Чертеж пик трайкеров		Чертеж для изготовления пик трайкеров.	
_767F5CBF66F290F5	bctmea01	Чертеж длинных топоров трайкеров		Чертеж для изготовления длинных топоров трайкеров.	
_DCBCB63210C7EA61	bctmea04	Чертеж длинных мечей трайкеров		Чертеж для изготовления длинных мечей трайкеров.	
_D1E1E64C0322745B	bczmea08	Чертеж палиц Зораи		Чертеж для изготовления палиц Зораи.	
_085D9CFFE1E372DC	bczmea09	Чертеж посохов Зораи		Чертеж для изготовления посохов Зораи.	
_462DBAC7F15EE9AA	bczmea12	Чертеж электрических длинных палиц		Чертеж для изготовления электрических длинных палиц.	
_FD3C72071AD7EFB3	bczmea06	Чертеж кинжалов Зораи		Чертеж для изготовления кинжалов Зораи.	
_084D900BDA4226D5	bczmea07	Чертеж копий Зораи		Чертеж для изготовления копий Зораи.	
_C68CD54BF5B004CA	bczmea11	Чертеж электрических копий		Чертеж для изготовления электрических копий.	
_B954CBE135FDFF30	bczmea05	Чертеж топоров Зораи		Чертеж для изготовления топоров Зораи.	
_083DCC0B62D37EDC	bczmea10	Чертеж мечей Зораи		Чертеж для изготовления мечей Зораи.	
_BC4B4010D45C0051	bczmea03	Чертеж длинных палиц Зораи		Чертеж для изготовления длинных палиц Зораи.	
_92E1E65483539463	bczmea02	Чертеж пик Зораи		Чертеж для изготовления пик Зораи.	
_E9FE115843F59C76	bczmea13	Чертеж электрических палиц		Чертеж для изготовления электрических палиц.	
_A83B823F0530825A	bczmea01	Чертеж длинных топоров Зораи		Чертеж для изготовления длинных топоров Зораи.	
_7E86BAF88C1638AF	bczmea04	Чертеж длинных мечей Зораи		Чертеж для изготовления длинных мечей Зораи.	
_CFEE8C0258968031	bcfrea05	Чертеж самострелов файросов		Чертеж для изготовления самострелов файросов.	
_211AF6169A181F37	bcfrea04	Чертеж пистолетов файросов		Чертеж для изготовления пистолетов файросов.	
_C24CE21D7B00B6D0	bcfrea01	Чертеж автометателей файросов		Чертеж для изготовления автометателей файросов.	
_07E0AA34C29060E5	bcfrea02	Чертеж арбалетов файросов		Чертеж для изготовления арбалетов файросов.	
_063F9224020178E0	bcfrea03	Чертеж метателей файросов		Чертеж для изготовления метателей файросов.	
_CC4514EF62E2465F	bcfrea06	Чертеж ружей файросов		Чертеж для изготовления ружей файросов.	
_D60834A8FE328E48	bcfrea07	Чертеж пылающих автометателей		Чертеж для изготовления пылающих автометателей.	
_4B8772059776AA15	bcfrea08	Чертеж пылающих метателей		Чертеж для изготовления пылающих метателей.	
_48EE2C0958966833	bcmrea05	Чертеж самострелов матисов		Чертеж для изготовления самострелов матисов.	
_A04A9E055C181F37	bcmrea04	Чертеж пистолетов матисов		Чертеж для изготовления пистолетов матисов.	
_78F1AE09E577C0EA	bcmrea07	Чертеж живых пистолетов		Чертеж для изготовления живых пистолетов.	
_41DC821EFC7FD2D0	bcmrea01	Чертеж автометателей матисов		Чертеж для изготовления автометателей матисов.	
_07EF663BC29060DF	bcmrea02	Чертеж арбалетов матисов		Чертеж для изготовления арбалетов матисов.	
_064E4E2B020178DA	bcmrea03	Чертеж метателей матисов		Чертеж для изготовления метателей матисов.	
_4BD59CF85C52465F	bcmrea06	Чертеж ружей матисов		Чертеж для изготовления ружей матисов.	
_9DCA82F4DDA6FB79	bcmrea08	Чертеж живых ружей		Чертеж для изготовления живых ружей.	
_864BC94AE022F234	bctrea05	Чертеж самострелов трайкеров		Чертеж для изготовления самострелов трайкеров.	
_CE1B8542E302BA2C	bctrea08	Чертеж волнистых самострелов		Чертеж для изготовления волнистых самострелов.	
_78C2F6F9257718D8	bctrea04	Чертеж пистолетов трайкеров		Чертеж для изготовления пистолетов трайкеров.	
_D7924EF788FDD1CE	bctrea01	Чертеж автометателей трайкеров		Чертеж для изготовления автометателей трайкеров.	
_4B3058BF20428525	bctrea02	Чертеж арбалетов трайкеров		Чертеж для изготовления арбалетов трайкеров.	
_490F78BE21335123	bctrea03	Чертеж метателей трайкеров		Чертеж для изготовления метателей трайкеров.	
_DB8BB20556A6277B	bctrea06	Чертеж ружей трайкеров		Чертеж для изготовления ружей трайкеров.	
_24037232333A2BAE	bctrea07	Чертеж гарпунной пушки трайкеров		Чертеж для изготовления гарпунной пушки трайкеров.	
_A4225233F3298BB7	bctrea09	Чертеж волнистой гарпунной пушки		Чертеж для изготовления волнистой гарпунной пушки.	
_C9706416585D48AD	bczrea05	Чертеж самострелов Зораи		Чертеж для изготовления самострелов Зораи.	
_BD7BCE209F181FB3	bczrea04	Чертеж пистолетов Зораи		Чертеж для изготовления пистолетов Зораи.	
_3F8DAC237B5F064C	bczrea01	Чертеж автометателей Зораи		Чертеж для изготовления автометателей Зораи.	
_8480D248C2905253	bczrea02	Чертеж арбалетов Зораи		Чертеж для изготовления арбалетов Зораи.	
_2C5FB6E3E70A6A52	bczrea07	Чертеж электрических арбалетов		Чертеж для изготовления электрических арбалетов.	
_83DFBA3802016A4E	bczrea03	Чертеж метателей Зораи		Чертеж для изготовления метателей Зораи.	
_EA9FC6ECE64A7A5B	bczrea08	Чертеж электрических метателей		Чертеж для изготовления электрических метателей.	
_494DB403DF2346DB	bczrea06	Чертеж ружей Зораи		Чертеж для изготовления ружей Зораи.	
_B6FFEED1EEBD8600	bcfsea01	Чертеж малых щитов файросов		Чертеж для изготовления малых щитов файросов.	
_5F6AAEFD57382B37	bcfsea02	Чертеж щитов файросов		Чертеж для изготовления щитов файросов.	
_0DFF53D415276D19	bcfsea03	Чертеж пылающих малых щитов		Чертеж для изготовления пылающих малых щитов.	
_B4AF2EDFEEBD8600	bcmsea01	Чертеж малых щитов матисов		Чертеж для изготовления малых щитов матисов.	
_DE9A56EC19382B37	bcmsea02	Чертеж щитов матисов		Чертеж для изготовления щитов матисов.	
_C9BEBE2B27B381D9	bcmsea03	Чертеж живых малых щитов		Чертеж для изготовления живых малых щитов.	
_0AF08233A76489D2	bctsea01	Чертеж малых щитов трайкеров		Чертеж для изготовления малых щитов трайкеров.	
_38E0A6F7247718C8	bctsea02	Чертеж щитов трайкеров		Чертеж для изготовления щитов трайкеров.	
_C9AFCA3627B381D9	bctsea03	Чертеж волнистых малых щитов		Чертеж для изготовления волнистых малых щитов.	
_B0409EF9EEBD86F8	bczsea01	Чертеж малых щитов Зораи		Чертеж для изготовления малых щитов Зораи.	
_FBCB86075C382BB3	bczsea02	Чертеж щитов Зораи		Чертеж для изготовления щитов Зораи.	
_B32BDAE4EA369620	bczsea03	Чертеж электрических малых щитов		Чертеж для изготовления волнистых малых щитов.	
_B2C0381BA7FA4C6F	bhq01	Свежевание		Станза свежевания добычи.	
_BE9E6EE7C51FB4EA	bcraeb07	Ботинки переселенца		Чертеж для изготовления ботинок переселенца.	
_C79EB2C132F765E8	bcraeb08	Рукавицы переселенца		Чертеж для изготовления рукавиц переселенца.	
_1639747BC4C740A4	bcraeb10	Наручи переселенца			
_2A16B2FD7C976135	bcfaca01	Доспехи файросов 1		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 1 - качество: $cr_recommended
_6A16B2FDBC976136	bcfaca02	Доспехи файросов 2		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 2 - качество: $cr_recommended
_AA16B2FDFC976137	bcfaca03	Доспехи файросов 3		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 3 - качество: $cr_recommended
_EB16B2FD3D976138	bcfaca04	Доспехи файросов 4		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 4 - качество: $cr_recommended
_2B16B2FD7D976139	bcfaca05	Доспехи файросов 5		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 5 - качество: $cr_recommended
_6B16B2FDBD97613A	bcfaca06	Доспехи файросов 6		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 6 - качество: $cr_recommended
_AB16B2FDFD97613B	bcfaca07	Доспехи файросов 7		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 7 - качество: $cr_recommended
_EC16B2FD3E97613C	bcfaca08	Доспехи файросов 8		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 8 - качество: $cr_recommended
_2C16B2FD7E97613D	bcfaca09	Доспехи файросов 9		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 9 - качество: $cr_recommended
_4F2642B8865176E3	bcfaca10	Доспехи файросов 10		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 10 - качество: $cr_recommended
_4F2642B8C6517EE3	bcfaca11	Доспехи файросов 11		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 11 - качество: $cr_recommended
_4F2642B8065186E3	bcfaca12	Доспехи файросов 12		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 12 - качество: $cr_recommended
_4F2642B846518EE3	bcfaca13	Доспехи файросов 13		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 13 - качество: $cr_recommended
_4F2642B8875196E3	bcfaca14	Доспехи файросов 14		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 14 - качество: $cr_recommended
_4F2642B8C7519EE3	bcfaca15	Доспехи файросов 15		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 15 - качество: $cr_recommended
_4F2642B80751A6E3	bcfaca16	Доспехи файросов 16		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 16 - качество: $cr_recommended
_4F2642B84751AEE3	bcfaca17	Доспехи файросов 17		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 17 - качество: $cr_recommended
_4F2642B88851B6E3	bcfaca18	Доспехи файросов 18		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 18 - качество: $cr_recommended
_4F2642B8C851BEE3	bcfaca19	Доспехи файросов 19		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 19 - качество: $cr_recommended
_4F2642B8866176E5	bcfaca20	Доспехи файросов 20		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 20 - качество: $cr_recommended
_4F2642B8C6617EE5	bcfaca21	Доспехи файросов 21		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 21 - качество: $cr_recommended
_4F2642B8066186E5	bcfaca22	Доспехи файросов 22		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 22 - качество: $cr_recommended
_4F2642B846618EE5	bcfaca23	Доспехи файросов 23		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 23 - качество: $cr_recommended
_4F2642B8876196E5	bcfaca24	Доспехи файросов 24		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 24 - качество: $cr_recommended
_4F2642B8C7619EE5	bcfaca25	Доспехи файросов 25		Позволяет изготовить доспехи файросов $cr_recommended качества.	Доспехи файросов 25 - качество: $cr_recommended
_59734F5CE086BF85	bcfmca01	Оружие файросов 1		Позволяет изготовить оружие ближнего боя файросов $cr_recommended качества.	Оружие файросов 1 - качество: $cr_recommended
_59834F5C2086BF86	bcfmca02	Оружие файросов 2		Позволяет изготовить оружие ближнего боя файросов $cr_recommended качества.	Оружие файросов 2 - качество: $cr_recommended
_59934F5C6086BF87	bcfmca03	Оружие файросов 3		Позволяет изготовить оружие ближнего боя файросов $cr_recommended качества.	Оружие файросов 3 - качество: $cr_recommended
_59A34F5CA186BF88	bcfmca04	Оружие файросов 4		Позволяет изготовить оружие ближнего боя файросов $cr_recommended качества.	Оружие файросов 4 - качество: $cr_recommended
_59B34F5CE186BF89	bcfmca05	Оружие файросов 5		Позволяет изготовить оружие ближнего боя файросов $cr_recommended качества.	Оружие файросов 5 - качество: $cr_recommended
_59C34F5C2186BF8A	bcfmca06	Оружие файросов 6		Позволяет изготовить оружие ближнего боя файросов $cr_recommended качества.	Оружие файросов 6 - качество: $cr_recommended
