#####################
# tracking
#####################
EGS_TRACKING_START_E		"&BL&You start tracking $0e."
# EGS_ALREADY_HAVE_MOUNT 		"&RG&You can only have one mektoub mount."
# EGS_CANT_BUY_ANOTHER_PACKER 	"&JA&You can't buy another mektoub packer."

EGS_LEARN_BRICK_S 		"&JA&You learn the skill : $0s."
EGS_LEARN_PLAN_S 		"&JA&You learn crafting plan $0s."
EGS_BRICKS_ALREADY_KNOWN_S 	"&JA&You already know the skill $0s, it is not worth you learning it again."
EGS_PLAN_ALREADY_KNOWN_S 	"&JA&You already know plan $0s, it is not worth you learning it again."


#####################
#pact related message
#####################
# OPS_PACT_GAIN_U			"&JA&You have won a survival pact of level $0u."

#####################
#exchange related message
#####################
# OPS_EXCHANGE_IMPOSSIBLE		"&RG&You can't invite someone to exchange if you are already trading"
OPS_EXCHANGE_BUSY		"&RG&$0e is already busy"
OPS_EXCHANGE_DECLINE		"&RG&$0e doesn't want to exchange with you"
OPS_EXCHANGE_END		"&BC&$0e ended exchange"
OPS_EXCHANGE_OK			"&BC&exchange accepted on both sides"
OPS_EXCHANGE_LOCKED		"&BC&$0e already accepted the exchange, cancel or acccept"
OPS_EXCHANGE_HAND		"&RG&you cannot exchange an item that you got from the ground. Put it in your bag first!!"
OPS_EXCHANGE_TOO_FAR	"&RG&You are too far from $0e to exchange something with him"
OPS_EXCHANGE_ACCEPT_TOO_FAR	"&RG&$0e accepted the exchange but is too far from you"

#####################
#sentence latency not yet finished
#####################
EGS_SENTENCE_LATENT		"&RG&One or more bricks in this sentence are still latent, execution impossible."

#####################
#Jobs management message
#####################
EGS_NOT_HAVE_JOB		"&JA&You do not know the job $0s."
EGS_NOT_SET_JOB_STATUS		"&JA&You can't change the job status at this time for job $0s."

#####################
#Missions messages
#####################
# EGS_MISSION_STEP_SUCCESS	"&JA&You have finished a mission step"
# EGS_MISSION_SUCCESS		"&JA&You have completed a mission"
EGS_MISSION_FAILED		"&JA&You failed to accomplish a mission."

#####################
#Guild messages
#####################

EGS_GUILD_INVALID				"&RG&Invalid guild"
EGS_GUILD_NAME_EXISTS				"&RG&Guild name already used or invalid"
EGS_ALREADY_IN_A_GUILD				"&RG&You are already in a guild"
EGS_NO_ROOM_FOR_FLAG				"&RG&You have no room in you bag for the guild flag. Free a bag slot"

EGS_GUILD_LEADER_DISMISS			"&RG&You are not the guild anymore"
EGS_GUILD_LEADER_CANT_DISMISS			"&RG&You are alone in your guild, so you cannot abandon the leadership. Quit the Guild to Destroy it"
EGS_SET_SUCCESSOR_FAIL				"&RG&You are alone in your guild, so you cannot name a successor"
EGS_ABANDON_TITLE_FAILED			"&RG&Command reserved to guild officers"
EGS_NAME_OFFICER_FAILED				"&RG&Only basic members of your guild can be named Officers, Only $0i officers are allowed"
EGS_REMOVE_OFFICER_FAILED			"&RG&The targetPlayer is not an officer"
EGS_NOT_GUILD_LEADER				"&RG&Command reserved to guild leaders"
EGS_NOT_GUILD_LEADER_NOR_OFFICER		"&RG&Command reserved to guild leaders and officers"
EGS_NOT_GUILD_MEMBER				"&RG&You are not a guild member"
EGS_GUILD_KICKER				"&RG&You were kicked from your guild by $0s"
EGS_GUILD_KICK_FAILED				"&RG&You can only kick basic members of your guild"
EGS_GUILD_LEAVE					"&RG&You left your guild"
EGS_ALREADY_GUILD_MEMBER			"&RG&$0e is already a member of a guild"
EGS_ALREADY_HAS_JOIN_PROPOSAL			"&RG&$0e already has a guild proposition. He must cancel it to receive yours"
EGS_GUILD_JOIN_PROPOSAL				"&RG&$0s Offers you to join the guild '$1s'."
EGS_NO_GUILD_JOIN_PROPOSAL			"&RG&Nobody invited you in a guild"
EGS_INVALID_GUILD_JOIN_PROPOSAL			"&RG&The guild that invited you doesn't exist anymore"
EGS_GUILD_JOIN_DECLINE_OK			"&RG&You refused to join guild $0s"

EGS_GUILD_CREATED				"&JA&guild $0s has been created"
EGS_GUILD_EVENT_LOG				"&JA&Recent events of your guild :"

EGS_GUILD_ENTER_LIFT				"&JA&$You have entered a lift"
EGS_GUILD_LEAVE_LIFT				"&JA&$You have left a lift"



EGS_GUILD_EVENT_QUITGUILD				"&JA&$0s left your guild"
EGS_GUILD_EVENT_ACCEPTJOINPROPOSAL		"&JA&$0s becomes member of your guild"
EGS_GUILD_EVENT_DECLINEJOINPROPOSAL		"&JA&$0s refuse to join your guild"

EGS_GUILD_EVENT_QUITGUILD_SELF				"&JA&$You left your guild"
EGS_GUILD_EVENT_ACCEPTJOINPROPOSAL_SELF		"&JA&$You join a guild"
EGS_GUILD_EVENT_DECLINEJOINPROPOSAL_SELF	"&JA&$You refused to join this guild"


EGS_GUILD_EVENT_QUITLEADERSHIP			"&JA&$0s is not the leader of your guild anymore. $1s succeeds him"
EGS_GUILD_EVENT_KICKMEMBER				"&JA&$0s kicked $1s out of your guild"
EGS_GUILD_EVENT_JOINPROPOSAL			"&JA&$0s proposed $1s to join your guild"

EGS_GUILD_EVENT_QUITLEADERSHIP_SRC_SELF	"&JA&$You are not the leader of your guild anymore. $1s succeeds you"
EGS_GUILD_EVENT_KICKMEMBER_SRC_SELF	"&JA&$You kicked $1s out of your guild"
EGS_GUILD_EVENT_JOINPROPOSAL_SRC_SELF	"&JA&$You proposed $1s to join your guild"

EGS_GUILD_EVENT_QUITLEADERSHIP			"&JA&$0s is not the leader of your guild anymore. You succeed him"
EGS_GUILD_EVENT_KICKMEMBER				"&JA&$0s kicked you out of the guild"
EGS_GUILD_EVENT_JOINPROPOSAL			"&JA&$0s proposed you to join his guild"




#EGS_GUILD_EVENT_FRIENDPROPOSAL
#EGS_GUILD_EVENT_DECLINEFRIENDPROPOSAL
#EGS_GUILD_EVENT_ACCEPTFRIENDPROPOSAL
