*HASH_VALUE	sphrase ID	name	* noms français	ia	da	p	pia	pda	description		
_9D2EB9603CFCE969	abcfpca03	Fabricación de Armadura Fyros 3		una	la				Te permite fabricar armaduras Fyros de calidad 30.		
_9D2EB9613C0CED69	abcfpca04	Fabricación de Armadura Fyros 4		una	la				Te permite fabricar armaduras Fyros de calidad 40.		
_9D2EB9623C1CF169	abcfpca05	Fabricación de Armadura Fyros 5		una	la				Te permite fabricar armaduras Fyros de calidad 50.		
_9D2EB9633C2CF569	abcfpca06	Fabricación de Armadura Fyros 6		una	la				Te permite fabricar armaduras Fyros de calidad 60.		
_9D2EB9643C3CF969	abcfpca07	Fabricación de Armadura Fyros 7		una	la				Te permite fabricar armaduras Fyros de calidad 70.		
_9D2EB9653C4CFD69	abcfpca08	Fabricación de Armadura Fyros 8		una	la				Te permite fabricar armaduras Fyros de calidad 80.		
_9D2EB9663C5C0169	abcfpca09	Fabricación de Armadura Fyros 9		una	la				Te permite fabricar armaduras Fyros de calidad 90.		
_2FA96D91EE248866	abcfpca10	Fabricación de Armadura Fyros 10		una	la				Te permite fabricar armaduras Fyros de calidad 100.		
_2FA96D93EE348866	abcfpca11	Fabricación de Armadura Fyros 11		una	la				Te permite fabricar armaduras Fyros de calidad 110.		
_2FA96D95EE448866	abcfpca12	Fabricación de Armadura Fyros 12		un	la				Te permite fabricar armaduras Fyros de calidad 120.		
_2FA96D97EE548866	abcfpca13	Fabricación de Armadura Fyros 13		una	la				Te permite fabricar armaduras Fyros de calidad 130.		
_2FA96D99EE648866	abcfpca14	Fabricación de Armadura Fyros 14		una	la				Te permite fabricar armaduras Fyros de calidad 140.		
_2FA96D9BEE748866	abcfpca15	Fabricación de Armadura Fyros 15		una	la				Te permite fabricar armaduras Fyros de calidad 150.		
_2FA96D9DEE848866	abcfpca16	Fabricación de Armadura Fyros 16		una	la				Te permite fabricar armaduras Fyos de calidad 160.		
_2FA96D9FEE948866	abcfpca17	Fabricación de Armadura Fyros 17		una	la				Te permite fabricar armaduras Fyros de calidad 170.		
_2FA96DA1EEA48866	abcfpca18	Fabricación de Armadura Fyros 18		una	la				Te permite fabricar armaduras Fyros de calidad 180.		
_2FA96DA3EEB48866	abcfpca19	Fabricación de Armadura Fyros 19		una	la				Te permite fabricar armaduras Fyros de calidad 190.		
_2FA96D916E248C66	abcfpca20	Fabricación de Armadura Fyros 20		una	la				Te permite fabricar armaduras Fyros de calidad 200.		
_2FA96D936E348C66	abcfpca21	Fabricación de Armadura Fyros 21		una	la				Te permite fabricar armaduras Fyros de calidad 210.		
_2FA96D956E448C66	abcfpca22	Fabricación de Armadura Fyros 22		una	la				Te permite fabricar armaduras Fyros de calidad 220.		
_2FA96D976E548C66	abcfpca23	Fabricación de Armadura Fyros 23		una	la				Te permite fabricar armaduras Fyros de calidad 230.		
_2FA96D996E648C66	abcfpca24	Fabricación de Armadura Fyros 24		una	la				Te permite fabricar armaduras Fyros de calidad 240.		
_2FA96D9B6E748C66	abcfpca25	Fabricación de Armadura Fyros 25		una	la				Te permite fabricar armaduras Fyros de calidad 250.		
_BFE43597E8DF94A3	abcfsca01	Fabricación de Escudo Fyros 1		una	la				Te permite fabricar escudos Fyros de calidad 10.		
_FFE4359828DF94A3	abcfsca02	Fabricación de Escudo Fyros 2		una	la				Te permite fabricar escudos Fyros de calidad 20.		
_3FE4359968DF94A3	abcfsca03	Fabricación de Escudo Fyros 3		una	la				Te permite fabricar escudos Fyros de calidad 30.		
_80E4359AA9DF94A3	abcfsca04	Fabricación de Escudo Fyros 4		una	la				Te permite fabricar escudos Fyros de calidad 40.		
_C0E4359BE9DF94A3	abcfsca05	Fabricación de Escudo Fyros 5		una	la				Te permite fabricar escudos Fyros de calidad 50.		
_00E4359C29DF94A3	abcfsca06	Fabricación de Escudo Fyros 6		una	la				Te permite fabricar escudos Fyros de calidad 60.		
_40E4359D69DF94A3	abcfsca07	Fabricación de Escudo Fyros 7		una	la				Te permite fabricar escudos Fyros de calidad 70.		
_81E4359EAADF94A3	abcfsca08	Fabricación de Escudo Fyros 8		una	la				Te permite fabricar escudos Fyros de calidad 80.		
_C1E4359FEADF94A3	abcfsca09	Fabricación de Escudo Fyros 9		una	la				Te permite fabricar escudos Fyros de calidad 90.		
_9ACDD51150CF370E	abcfsca10	Fabricación de Escudo Fyros 10		una	la				Te permite fabricar escudos Fyros de calidad 100.		
_9ACDD51350CF3B0E	abcfsca11	Fabricación de Escudo Fyros 11		una	la				Te permite fabricar escudos Fyros de calidad 110.		
_9ACDD51550CF3F0E	abcfsca12	Fabricación de Escudo Fyros 12		una	la				Te permite fabricar escudos Fyros de calidad 120.		
_9ACDD51750CF430E	abcfsca13	Fabricación de Escudo Fyros 13		una	la				Te permite fabricar escudos Fyros de calidad 130.		
_9ACDD51950CF470E	abcfsca14	Fabricación de Escudo Fyros 14		una	la				Te permite fabricar escudos Fyros de calidad 140.		
_9ACDD51B50CF4B0E	abcfsca15	Fabricación de Escudo Fyros 15		una	la				Te permite fabricar escudos Fyros de calidad 150.		
_9ACDD51D50CF4F0E	abcfsca16	Fabricación de Escudo Fyros 16		una	la				Te permite fabricar escudos Fyros de calidad 160.		
_9ACDD51F50CF530E	abcfsca17	Fabricación de Escudo Fyros 17		una	la				Te permite fabricar escudos Fyros de calidad 170.		
_9ACDD52150CF570E	abcfsca18	Fabricación de Escudo Fyros 18		una	la				Te permite fabricar escudos Fyros de calidad 180.		
_9ACDD52350CF5B0E	abcfsca19	Fabricación de Escudo Fyros 19		una	la				Te permite fabricar escudos Fyros de calidad 190.		
_9ACDD511D0CF370F	abcfsca20	Fabricación de Escudo Fyros 20		una	la				Te permite fabricar escudos Fyros de calidad 200.		
_9ACDD513D0CF3B0F	abcfsca21	Fabricación de Escudo Fyros 21		una	la				Te permite fabricar escudos Fyros de calidad 210.		
_9ACDD515D0CF3F0F	abcfsca22	Fabricación de Escudo Fyros 22		una	la				Te permite fabricar escudos Fyros de calidad 220.		
_9ACDD517D0CF430F	abcfsca23	Fabricación de Escudo Fyros 23		una	la				Te permite fabricar escudos Fyros de calidad 230.		
_9ACDD519D0CF470F	abcfsca24	Fabricación de Escudo Fyros 24		una	la				Te permite fabricar escudos Fyros de calidad 240.		
_9ACDD51BD0CF4B0F	abcfsca25	Fabricación de Escudo Fyros 25		una	la				Te permite fabricar escudos Fyros de calidad 250.		
_15AD2D0F407E2F80	abcfjca01	Fabricación de Joyas Fyros 1		una	la				Te permite fabricar escudos Fyros de calidad 10.		
_15AD3110408E2F80	abcfjca02	Fabricación de Joyas Fyros 2		una	la				Te permite fabricar escudos Fyros de calidad 20.		
_15AD3511409E2F80	abcfjca03	Fabricación de Joyas Fyros 3		una	la				Te permite fabricar escudos Fyros de calidad 30.		
_15AD391240AE2F80	abcfjca04	Fabricación de Joyas Fyros 4		una	la				Te permite fabricar escudos Fyros de calidad 40.		
_15AD3D1340BE2F80	abcfjca05	Fabricación de Joyas Fyros 5		una	la				Te permite fabricar escudos Fyros de calidad 50.		
_15AD411440CE2F80	abcfjca06	Fabricación de Joyas Fyros 6		una	la				Te permite fabricar escudos Fyros de calidad 60.		
_15AD451540DE2F80	abcfjca07	Fabricación de Joyas Fyros 7		una	la				Te permite fabricar escudos Fyros de calidad 70.		
_15AD491640EE2F80	abcfjca08	Fabricación de Joyas Fyros 8		una	la				Te permite fabricar escudos Fyros de calidad 80.		
_15AD4D1740FE2F80	abcfjca09	Fabricación de Joyas Fyros 9		una	la				Te permite fabricar escudos Fyros de calidad 90.		
_C13A1B8BF87E6C3B	abcfjca10	Fabricación de Joyas Fyros 10		una	la				Te permite fabricar escudos Fyros de calidad 100.		
_013A1B8C387E6C3B	abcfjca11	Fabricación de Joyas Fyros 11		una	la				Te permite fabricar escudos Fyros de calidad 110.		
_413A1B8D787E6C3B	abcfjca12	Fabricación de Joyas Fyros 12		una	la				Te permite fabricar escudos Fyros de calidad 120.		
_813A1B8EB87E6C3B	abcfjca13	Fabricación de Joyas Fyros 13		una	la				Te permite fabricar escudos Fyros de calidad 130.		
_C23A1B8FF97E6C3B	abcfjca14	Fabricación de Joyas Fyros 14		una	la				Te permite fabricar escudos Fyros de calidad 140.		
_023A1B90397E6C3B	abcfjca15	Fabricación de Joyas Fyros 15		una	la				Te permite fabricar escudos Fyros de calidad 150.		
_423A1B91797E6C3B	abcfjca16	Fabricación de Joyas Fyros 16		una	la				Te permite fabricar escudos Fyros de calidad 160.		
_823A1B92B97E6C3B	abcfjca17	Fabricación de Joyas Fyros 17		una	la				Te permite fabricar escudos Fyros de calidad 170.		
_C33A1B93FA7E6C3B	abcfjca18	Fabricación de Joyas Fyros 18		una	la				Te permite fabricar escudos Fyros de calidad 180.		
_033A1B943A7E6C3B	abcfjca19	Fabricación de Joyas Fyros 19		una	la				Te permite fabricar escudos Fyros de calidad 190.		
_C14A1B8B388E6C3B	abcfjca20	Fabricación de Joyas Fyros 20		una	la				Te permite fabricar escudos Fyros de calidad 200.		
_014A1B8C788E6C3B	abcfjca21	Fabricación de Joyas Fyros 21		una	la				Te permite fabricar escudos Fyros de calidad 210.		
_414A1B8DB88E6C3B	abcfjca22	Fabricación de Joyas Fyros 22		una	la				Te permite fabricar escudos Fyros de calidad 220.		
_814A1B8EF88E6C3B	abcfjca23	Fabricación de Joyas Fyros 23		una	la				Te permite fabricar escudos Fyros de calidad 230.		
_C24A1B8F398E6C3B	abcfjca24	Fabricación de Joyas Fyros 24		una	la				Te permite fabricar escudos Fyros de calidad 240.		
_024A1B90798E6C3B	abcfjca25	Fabricación de Joyas Fyros 25		una	la				Te permite fabricar escudos Fyros de calidad 250.		
_700994ECF91F8B68	abcmaca01	Fabricación de Armadura Matis 1		una	la				Te permite fabricar armadura Matis de calidad 10.		
_700998ED391F8B68	abcmaca02	Fabricación de Armadura Matis 2		una	la				Te permite fabricar armadura Matis de calidad 20.		
_70099CEE791F8B68	abcmaca03	Fabricación de Armadura Matis 3		una	la				Te permite fabricar armadura Matis de calidad 30.		
_7009A0EFBA1F8B68	abcmaca04	Fabricación de Armadura Matis 4		una	la				Te permite fabricar armadura Matis de calidad 40.		
_7009A4F0FA1F8B68	abcmaca05	Fabricación de Armadura Matis 5		una	la				Te permite fabricar armadura Matis de calidad 50.		
_7009A8F13A1F8B68	abcmaca06	Fabricación de Armadura Matis 6		una	la				Te permite fabricar armadura Matis de calidad 60.		
_7009ACF27A1F8B68	abcmaca07	Fabricación de Armadura Matis 7		una	la				Te permite fabricar armadura Matis de calidad 70.		
_7009B0F3BB1F8B68	abcmaca08	Fabricación de Armadura Matis 8		una	la				Te permite fabricar armadura Matis de calidad 80.		
_7009B4F4FB1F8B68	abcmaca09	Fabricación de Armadura Matis 9		una	la				Te permite fabricar armadura Matis de calidad 90.		
_3BBA2B71CDA873E5	abcmaca10	Fabricación de Armadura Matis 10		una	la				Te permite fabricar armadura Matis de calidad 100.		
_7BBA2B73CDA873E5	abcmaca11	Fabricación de Armadura Matis 11		una	la				Te permite fabricar armadura Matis de calidad 110.		
_BBBA2B75CDA873E5	abcmaca12	Fabricación de Armadura Matis 12		una	la				Te permite fabricar armadura Matis de calidad 120.		
_FBBA2B77CDA873E5	abcmaca13	Fabricación de Armadura Matis 13		una	la				Te permite fabricar armadura Matis de calidad 130.		
_3CBA2B79CDA873E5	abcmaca14	Fabricación de Armadura Matis 14		una	la				Te permite fabricar armadura Matis de calidad 140.		
_7CBA2B7BCDA873E5	abcmaca15	Fabricación de Armadura Matis 15		una	la				Te permite fabricar armadura Matis de calidad 150.		
_BCBA2B7DCDA873E5	abcmaca16	Fabricación de Armadura Matis 16		una	la				Te permite fabricar armadura Matis de calidad 160.		
_FCBA2B7FCDA873E5	abcmaca17	Fabricación de Armadura Matis 17		una	la				Te permite fabricar armadura Matis de calidad 170.		
_3DBA2B81CDA873E5	abcmaca18	Fabricación de Armadura Matis 18		una	la				Te permite fabricar armadura Matis de calidad 180.		
_7DBA2B83CDA873E5	abcmaca19	Fabricación de Armadura Matis 19		una	la				Te permite fabricar armadura Matis de calidad 190.		
_3BCA2B714DA873E5	abcmaca20	Fabricación de Armadura Matis 20		una	la				Te permite fabricar armadura Matis de calidad 200.		
_7BCA2B734DA873E5	abcmaca21	Fabricación de Armadura Matis 21		una	la				Te permite fabricar armadura Matis de calidad 210.		
_BBCA2B754DA873E5	abcmaca22	Fabricación de Armadura Matis 22		una	la				Te permite fabricar armadura Matis de calidad 220.		
_FBCA2B774DA873E5	abcmaca23	Fabricación de Armadura Matis 23		una	la				Te permite fabricar armadura Matis de calidad 230.		
_3CCA2B794DA873E5	abcmaca24	Fabricación de Armadura Matis 24		una	la				Te permite fabricar armadura Matis de calidad 240.		
_7CCA2B7B4DA873E5	abcmaca25	Fabricación de Armadura Matis 25		una	la				Te permite fabricar armadura Matis de calidad 250.		
_2ACE937FF0E251FB	abcmmca01	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 1		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 10.		
_2ACE938030E255FB	abcmmca02	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 2		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 20.		
_2ACE938170E259FB	abcmmca03	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 3		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 30.		
_2ACE9382B1E25DFB	abcmmca04	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 4		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 40.		
_2ACE9383F1E261FB	abcmmca05	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 5		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 50.		
_2ACE938431E265FB	abcmmca06	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 6		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 60.		
_2ACE938571E269FB	abcmmca07	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 7		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 70.		
_2ACE9386B2E26DFB	abcmmca08	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 8		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 80.		
_2ACE9387F2E271FB	abcmmca09	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 9		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 90.		
_3A86675E0CC9D23D	abcmmca10	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 10		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 100.		
_3A866B5F0CD9D23D	abcmmca11	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 11		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 110.		
_3A866F600CE9D23D	abcmmca12	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 12		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 120.		
_3A8673610CF9D23D	abcmmca13	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 13		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 130.		
_3A8677620C09D23D	abcmmca14	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 14		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 140.		
_3A867B630C19D23D	abcmmca15	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 15		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 150.		
_3A867F640C29D23D	abcmmca16	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 16		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 160.		
_3A8683650C39D23D	abcmmca17	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 17		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 170.		
_3A8687660C49D23D	abcmmca18	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 18		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 180.		
_3A868B670C59D23D	abcmmca19	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 19		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 190.		
_3A86675F4CC9D63D	abcmmca20	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 20		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 200.		
_3A866B604CD9D63D	abcmmca21	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 21		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 210.		
_3A866F614CE9D63D	abcmmca22	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 22		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 220.		
_3A8673624CF9D63D	abcmmca23	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 23		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 230.		
_3A8677634C09D63D	abcmmca24	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 24		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 240.		
_3A867B644C19D63D	abcmmca25	Fabricación de Arma de Lucha Cuerpo a Cuerpo Matis 25		una	la				Te permite fabricar armas de Lucha Cuerpo a Cuerpo Matis de calidad 250.		
_2AEEA37D30335100	abcmrca01	Fabricación de Arma de Alcance Matis 1		una	la				Te permite fabricar armas de Alcance Matis de calidad 10.		
_2AEEA37E70335500	abcmrca02	Fabricación de Arma de Alcance Matis 2		una	la				Te permite fabricar armas de Alcance Matis de calidad 20.		
_2AEEA37FB0335900	abcmrca03	Fabricación de Arma de Alcance Matis 3		una	la				Te permite fabricar armas de Alcance Matis de calidad 30.		
_2AEEA380F1335D00	abcmrca04	Fabricación de Arma de Alcance Matis 4		una	la				Te permite fabricar armas de Alcance Matis de calidad 40.		
_2AEEA38131336100	abcmrca05	Fabricación de Arma de Alcance Matis 5		una	la				Te permite fabricar armas de Alcance Matis de calidad 50.		
_2AEEA38271336500	abcmrca06	Fabricación de Arma de Alcance Matis 6		una	la				Te permite fabricar armas de Alcance Matis de calidad 60.		
_2AEEA383B1336900	abcmrca07	Fabricación de Arma de Alcance Matis 7		una	la				Te permite fabricar armas de Alcance Matis de calidad 70.		
_2AEEA384F2336D00	abcmrca08	Fabricación de arma de alcance Matis 8		una	la				Te permite fabricar armas de Alcance Matis de calidad 80.		
_2AEEA38532337100	abcmrca09	Fabricación de Arma de Alcance Matis 9		una	la				Te permite fabricar armas de Alcance Matis de calidad 90.		
_3AC677568EC9D242	abcmrca10	Fabricación de Arma de Alcance Matis 10		una	la				Te permite fabricar armas de Alcance Matis de calidad 100.		
_3AC67B578ED9D242	abcmrca11	Fabricación de Arma de Alcance Matis 11		una	la				Te permite fabricar armas de Alcance Matis de calidad 110.		
_3AC67F588EE9D242	abcmrca12	Fabricación de Arma de Alcance Matis 12		una	la				Te permite fabricar armas de Alcance Matis de calidad 120.		
_3AC683598EF9D242	abcmrca13	Fabricación de Arma de Alcance Matis 13		una	la				Te permite fabricar armas de Alcance Matis de calidad 130.		
_3AC6875A8E09D242	abcmrca14	Fabricación de Arma de Alcance Matis 14		una	la				Te permite fabricar armas de Alcance Matis de calidad 140.		
_3AC68B5B8E19D242	abcmrca15	Fabricación de Arma de Alcance Matis 15		una	la				Te permite fabricar armas de Alcance Matis de calidad 150.		
_3AC68F5C8E29D242	abcmrca16	Fabricación de Arma de Alcance Matis 16		una	la				Te permite fabricar armas de Alcance Matis de calidad 160.		
_3AC6935D8E39D242	abcmrca17	Fabricación de Arma de Alcance Matis 17		una	la				Te permite fabricar armas de Alcance Matis de calidad 170.		
_3AC6975E8E49D242	abcmrca18	Fabricación de Arma de Alcance Matis 18		una	la				Te permite fabricar armas de Alcance Matis de calidad 180.		
_3AC69B5F8E59D242	abcmrca19	Fabricación de Arma de Alcance Matis 19		una	la				Te permite fabricar armas de Alcance Matis de calidad 190.		
_3AC67757CEC9D642	abcmrca20	Fabricación de Arma de Alcance Matis 20		una	la				Te permite fabricar armas de Alcance Matis de calidad 200.		
_3AC67B58CED9D642	abcmrca21	Fabricación de Arma de Alcance Matis 21		una	la				Te permite fabricar armas de Alcance Matis de calidad 210.		
_3AC67F59CEE9D642	abcmrca22	Fabricación de Arma de Alcance Matis 22		una	la				Te permite fabricar armas de Alcance Matis de calidad 220.		
_3AC6835ACEF9D642	abcmrca23	Fabricación de Arma de Alcance Matis 23		una	la				Te permite fabricar armas de Alcance Matis de calidad 230.		
_3AC6875BCE09D642	abcmrca24	Fabricación de Arma de Alcance Matis 24		una	la				Te permite fabricar armas de Alcance Matis de calidad 240.		
_3AC68B5CCE19D642	abcmrca25	Fabricación de Arma de Alcance Matis 25		una	la				Te permite fabricar armas de Alcance Matis de calidad 250.		
_5FCD75653CDCE163	abcmpca01	Fabricación de Munición Matis 1		una	la				Te permite fabricar municiones Matis de calidad 10.		
_5FCD75663CECE563	abcmpca02	Fabricación de Munición Matis 2		una	la				Te permite fabricar municiones Matis de calidad 20.		
_5FCD75673CFCE963	abcmpca03	Fabricación de Munición Matis 3		una	la				Te permite fabricar municiones Matis de calidad 30.		
_5FCD75683C0CED63	abcmpca04	Fabricación de Munición Matis 4		una	la				Te permite fabricar municiones Matis de calidad 40.		
_5FCD75693C1CF163	abcmpca05	Fabricación de Munición Matis 5		una	la				Te permite fabricar municiones Matis de calidad 50.		
_5FCD756A3C2CF563	abcmpca06	Fabricación de Munición Matis 6		una	la				Te permite fabricar municiones Matis de calidad 60.		
_5FCD756B3C3CF963	abcmpca07	Fabricación de Munición Matis 7		una	la				Te permite fabricar municiones Matis de calidad 70.		
_5FCD756C3C4CFD63	abcmpca08	Fabricación de Munición Matis 8		una	la				Te permite fabricar municiones Matis de calidad 80.		
_5FCD756D3C5C0163	abcmpca09	Fabricación de Munición Matis 9		una	la				Te permite fabricar municiones Matis de calidad 90.		
_F3A7A591EE24885A	abcmpca10	Fabricación de Munición Matis 10		una	la				Te permite fabricar municiones Matis de calidad 100.		
_F3A7A593EE34885A	abcmpca11	Fabricación de Munición Matis 11		una	la				Te permite fabricar municiones Matis de calidad 110.		
_F3A7A595EE44885A	abcmpca12	Fabricación de Munición Matis 12		una	la				Te permite fabricar municiones Matis de calidad 120.		
_F3A7A597EE54885A	abcmpca13	Fabricación de Munición Matis 13		una	la				Te permite fabricar municiones Matis de calidad 130.		
_F3A7A599EE64885A	abcmpca14	Fabricación de Munición Matis 14		una	la				Te permite fabricar municiones Matis de calidad 140.		
_F3A7A59BEE74885A	abcmpca15	Fabricación de Munición Matis 15		una	la				Te permite fabricar municiones Matis de calidad 150.		
_F3A7A59DEE84885A	abcmpca16	Fabricación de Munición Matis 16		una	la				Te permite fabricar municiones Matis de calidad 160.		
_F3A7A59FEE94885A	abcmpca17	Fabricación de Munición Matis 17		una	la				Te permite fabricar municiones Matis de calidad 170.		
_F3A7A5A1EEA4885A	abcmpca18	Fabricación de Munición Matis 18		una	la				Te permite fabricar municiones Matis de calidad 180.		
_F3A7A5A3EEB4885A	abcmpca19	Fabricación de Munición Matis 19		una	la				Te permite fabricar municiones Matis de calidad 190.		
_F3A7A5916E248C5A	abcmpca20	Fabricación de Munición Matis 20		una	la				Te permite fabricar municiones Matis de calidad 200.		
_F3A7A5936E348C5A	abcmpca21	Fabricación de Munición Matis 21		una	la				Te permite fabricar municiones Matis de calidad 210.		
_F3A7A5956E448C5A	abcmpca22	Fabricación de Munición Matis 22		una	la				Te permite fabricar municiones Matis de calidad 220.		
_F3A7A5976E548C5A	abcmpca23	Fabricación de Munición Matis 23		una	la				Te permite fabricar municiones Matis de calidad 230.		
_F3A7A5996E648C5A	abcmpca24	Fabricación de Munición Matis 24		una	la				Te permite fabricar municiones Matis de calidad 240.		
_F3A7A59B6E748C5A	abcmpca25	Fabricación de Munición Matis 25		una	la				Te permite fabricar municiones Matis de calidad 250.		
_FCD35197E8DF7C9F	abcmsca01	Fabricación de Escudo Matis 1		una	la				Te permite fabricar escudos Matis de calidad 10.		
_3CD3519828DF7C9F	abcmsca02	Fabricación de Escudo Matis 2		una	la				Te permite fabricar escudos Matis de calidad 20.		
_7CD3519968DF7C9F	abcmsca03	Fabricación de Escudo Matis 3		una	la				Te permite fabricar escudos Matis de calidad 30.		
_BDD3519AA9DF7C9F	abcmsca04	Fabricación de Escudo Matis 4		una	la				Te permite fabricar escudos Matis de calidad 40.		
_FDD3519BE9DF7C9F	abcmsca05	Fabricación de Escudo Matis 5		una	la				Te permite fabricar escudos Matis de calidad 50.		
_3DD3519C29DF7C9F	abcmsca06	Fabricación de Escudo Matis 6		una	la				Te permite fabricar escudos Matis de calidad 60.		
_7DD3519D69DF7C9F	abcmsca07	Fabricación de Escudo Matis 7		una	la				Te permite fabricar escudos Matis de calidad 70.		
_BED3519EAADF7C9F	abcmsca08	Fabricación de Escudo Matis 8		una	la				Te permite fabricar escudos Matis de calidad 80.		
_FED3519FEADF7C9F	abcmsca09	Fabricación de Escudo Matis 9		una	la				Te permite fabricar escudos Matis de calidad 90.		
_9F4CF111506F3FF0	abcmsca10	Fabricación de Escudo Matis 10		una	la				Te permite fabricar escudos Matis de calidad 100.		
_9F4CF113506F43F0	abcmsca11	Fabricación de Escudo Matis 11		una	la				Te permite fabricar escudos Matis de calidad 110.		
_9F4CF115506F47F0	abcmsca12	Fabricación de Escudo Matis 12		una	la				Te permite fabricar escudos Matis de calidad 120.		
_9F4CF117506F4BF0	abcmsca13	Fabricación de Escudo Matis 13		una	la				Te permite fabricar escudos Matis de calidad 130.		
_9F4CF119506F4FF0	abcmsca14	Fabricación de Escudo Matis 14		una	la				Te permite fabricar escudos Matis de calidad 140.		
_9F4CF11B506F53F0	abcmsca15	Fabricación de Escudo Matis 15		una	la				Te permite fabricar escudos Matis de calidad 150.		
_9F4CF11D506F57F0	abcmsca16	Fabricación de Escudo Matis 16		una	la				Te permite fabricar escudos Matis de calidad 160.		
_9F4CF11F506F5BF0	abcmsca17	Fabricación de Escudo Matis 17		una	la				Te permite fabricar escudos Matis de calidad 170.		
_9F4CF121506F5FF0	abcmsca18	Fabricación de Escudo Matis 18		una	la				Te permite fabricar municiones Matis de calidad 180.		
_9F4CF123506F63F0	abcmsca19	Fabricación de Escudo Matis 19		una	la				Te permite fabricar escudos Matis de calidad 190.		
_9F4CF111D06F3FF1	abcmsca20	Fabricación de Escudo Matis 20		una	la				Te permite fabricar escudos Matis de calidad 200.		
_9F4CF113D06F43F1	abcmsca21	Fabricación de Escudo Matis 21		una	la				Te permite fabricar escudos Matis de calidad 210.		
_9F4CF115D06F47F1	abcmsca22	Fabricación de Escudo Matis 22		una	la				Te permite fabricar escudos Matis de calidad 220.		
_9F4CF117D06F4BF1	abcmsca23	Fabricación de Escudo Matis 23		una	la				Te permite fabricar escudos Matis de calidad 230.		
_9F4CF119D06F4FF1	abcmsca24	Fabricación de Escudo Matis 24		una	la				Te permite fabricar escudos Matis de calidad 240.		
_9F4CF11BD06F53F1	abcmsca25	Fabricación de Escudo Matis 25		una	la				Te permite fabricar escudos Matis de calidad 250.		
_D9AB650F407E2F74	abcmjca01	Fabricación de Joyas Matis 1		una	la				Te permite fabricar joyas Matis de calidad 10.		
_D9AB6910408E2F74	abcmjca02	Fabricación de Joyas Matis 2		una	la				Te permite fabricar joyas Matis de calidad 20.		
