*HASH_VALUE	skill ID	name	named	ia	da	p	pd	pia	pda	description
_C76F960C986F940D	MakeTwo_handsRangeWeaponAmmos	Munitionsherstellung für Zweihand-Fernwaffen	Munitionsherstellung für Zweihand-Fernwaffen	eine	die	Munitionsherstellungen für Zweihand-Fernwaffen	Munitionsherstellungen für Zweihand-Fernwaffen	\d	die	
_1B7F0D41D7CA8578	MakeTwo_handsRangeWeapons	Herstellung zweihändiger Fernwaffen	Herstellung zweihändiger Fernwaffen	eine	die	Herstellungen zweihändiger Fernwaffen	Herstellungen zweihändiger Fernwaffen	\d	die	
_00FEF1E56799011B	Mandragore	Alraune	Alraune	eine	die	Alraunen	Alraunen	\d	die	
_A067CE5043AC6D11	MandrakeFist	Stich der Alraune	Stich der Alraune	ein	der	Stiche der Alraune	Stiche der Alraune	\d	die	
_E779AC6EE7296048	Mass	Streitkolben	Streitkolben	ein	der	Streitkolben	Streitkolben	\d	die	
_51682E7744501AF7	MassiveThrow	Starker Wurf	Starker Wurf	ein	der	Starke Würfe	Starken Würfe	\d	die	
_E7CB9C9EA95430A4	Matis	Matis	Matis	ein	der	Matis	Matis	\d	die	
_9C697DD5DC89B4C9	MatisGoods	Matis-Güter	Matis-Güter	\d	die	Matis-Güter	Matis-Güter	\d	die	
_5FE1918848E72E85	MatisMystery	Matis-Geheimnis	Matis-Geheimnis	ein	das	Matis-Geheimnisse	Matis-Geheimnisse	\d	die	
_6588B45C23E8D882	Mechanic	Mechaniker	Mechaniker	ein	der	Mechaniker	Mechaniker	\d	die	
_68CB5BE6FC3A1365	MediumArmourWear	Mittlere Rüstung Tragen	Mittlere Rüstung Tragen	\d	das	Mittlere Rüstung Tragen	Mittlere Rüstung Tragen	\d	das	
_E8D6A7C3A3B9BEE5	MinorLifeHeal	niedrige Lebens-Heilung	niedrige Lebens-Heilung	eine	die	niedrige Lebens-Heilungen	niedrige Lebens-Heilungen	\d	die	
_B396FE9C988FDAD2	MinorSapHeal	niedrige Sap-Heilung	niedrige Sap-Heilung	eine	die	niedrige Sap-Heilungen	niedrige Sap-Heilungen	\d	die	
_24B1948AD9F53579	MinorTirednessHeal	niedrige Müdigkeits-Heilung	niedrige Müdigkeits-Heilung	eine	die	niedrige Müdigkeits-Heilungen	niedrige Müdigkeits-Heilungen	\d	die	
_2E18A8746C872CB1	Mirror	Spiegel	Spiegel	ein	der	Spiegel	Spiegel	\d	die	
_9728368C469559AB	MuscularFever	Muskelfieber	Muskelfieber	ein	das	Muskelfieber	Muskelfieber	\d	die	
_54894E6FC071E6F0	NervousFever	Nervenfieber	Nervenfieber	ein	das	Nervenfieber	Nervenfieber	\d	die	
_822005071D640CD5	NightShot	Nachtschuss	Nachtschuss	ein	der	Nachtschüsse	Nachtschüsse	\d	die	
_E2C84C702118504B	Nunb	Betäubung	Betäubung	eine	die	Betäubungen	Betäubungen	\d	die	
_CC6FA50836A1CB1A	OnHorseBackMelee	Mektoub-Reitkampf	Mektoub-Reitkampf	ein	der	Mektoub-Reitkämpfe	Mektoub-Reitkämpfe	\d	die	
_4D6FC117BC020B1D	OnHorseBackShoot	Mektoub-Reitschießen	Mektoub-Reitschießen	ein	das	Mektoub-Reitschießen	Mektoub-Reitschießen	\d	das	
_6F2F01DC66B763ED	PainShare	Schmerzteilung	Schmerzteilung	eine	die	Schmerzteilungen	Schmerzteilungen	\d	die	
_6F19AD06AB0AC0A8	Paralysis	Lähmung	Lähmung	eine	die	Lähmungen	Lähmungen	\d	die	
_6478EC7464A8C051	Pike	Pike	Pike	eine	die	Piken	Piken	\d	die	
_C34AEBC50B046254	PikeHunting	Kreaturen-Jagd	Kreaturen-Jagd	eine	die	Kreaturen-Jagden	Kreaturen-Jagden	\d	die	
_AF69B07BEBB804B2	Pistol	Pistole	Pistole	eine	die	Pistolen	Pistolen	\d	die	
_FD34CAEA8B6E5530	PlantHatred	Pflanzenhass	Pflanzenhass	ein	der	Pflanzenhass	Pflanzenhass	\d	der	
_6A99BAAB0D732AD0	PointBlankShot	Schuss aus nächster Nähe	Schuss aus nächster Nähe	ein	der	Schüsse aus nächster Nähe	Schüsse aus nächster Nähe	\d	die	
_D12926744140D9ED	PrimaryRoots	Urwurzeln	Urwurzeln	\d	die	Urwurzeln	Urwurzeln	\d	die	
_467A5E4B9A8EF117	ProtectingKamisKnoledge	Wissen des Schutz-Kami	Wissen des Schutz-Kami	ein	das	Wissen des Schutz-Kami	Wissen des Schutz-Kami	\d	das	
_8B5E89F0661B5912	Quartering	Ausnehmen	Ausnehmen	\d	das	Ausnehmen	Ausnehmen	\d	das	
_7EB14916DE64E8C7	QuickShot	Schnellschuss	Schnellschuss	ein	der	Schnellschüsse	Schnellschüsse	\d	die	
_471F61E12C0BE121	QuickThrow	Schnellwurf	Schnellwurf	ein	der	Schnellwürfe	Schnellwürfe	\d	die	
_2BC8708860770493	Range	Reichweite	Reichweite	eine	die	Reichweiten	Reichweiten	\d	die	
_C7A03DE1A76C9524	RapidBurst	Schneller Feuerstoß	Schneller Feuerstoß	ein	der	Schnelle Feuerstöße	Schnellen Feuerstöße	\d	die	
_2ACA647FEC1918BA	Resist	Widerstehen	Widerstehen	\d	das	Widerstehen	Widerstehen	\d	das	
_83000DCBACE9AD22	Resistance	Widerstand	Widerstand	ein	der	Widerstände	Widerstände	\d	die	
_4FD3CA66BDF4AA0F	RidePackers	Hauptpacktier	Hauptpacktier	ein	das	Hauptpacktiere	Hauptpacktiere	\d	die	
_E7978470A9C8B0A1	Riding	Reiten	Reiten	\d	das	Reiten	Reiten	\d	das	
_6D98848DA2772493	Rifle	Gewehr	Gewehr	ein	das	Gewehre	Gewehre	\d	die	
_01AE6100A8B9388D	RifleHunting	Schießen	Schießen	\d	das	Schießen	Schießen	\d	das	
_ACE7BC6F6E38208E	Rocket	Rakete	Rakete	eine	die	Raketen	Raketen	\d	die	
_2C1F1D07A2E72BEC	RockTabou	Stoß-Tabu	Stoß-Tabu	ein	das	Stoß-Tabus	Stoß-Tabus	\d	die	
_E4D8D8662478A887	Rondache	Rundschild	Rundschild	ein	das	Rundschilde	Rundschilde	\d	die	
_20B83C93ACDB2CA4	Rot	Verrotten	Verrotten	\d	das	Verrotten	Verrotten	\d	das	
_6C38F096E77958AA	Running	Rennen	Rennen	\d	das	Rennen	Rennen	\d	das	
_797EED5580EE64DA	SapAlchemy	Sap-Alchemie	Sap-Alchemie	\d	die	Sap-Alchemie	Sap-Alchemie	\d	die	
_CD7C29A0B0199487	SapArmor	Sap-Rüstung	Sap-Rüstung	eine	die	Sap-Rüstungen	Sap-Rüstungen	\d	die	
_52A68091D1E694A7	SapGift	Sap-Spende	Sap-Spende	eine	die	Sap-Spenden	Sap-Spenden	\d	die	
_E5276C77A9B888A2	Shield	Schild	Schild	ein	das	Schilde	Schilde	\d	die	
_D6A39908094E2C18	ShootAndRun	Schießen und Ausweichen	Schießen und Ausweichen	\d	das	Schießen und Ausweichen	Schießen und Ausweichen	\d	das	
_FFD5024061125DEA	ShotProtect	Fernkampf-Schutz	Fernkampf-Schutz	ein	der	Fernkampf-Schutzauren	Fernkampf-Schutzauren	\d	die	
_A2050EE042021A3B	SlowingBreath	Atemverlangsamung	Atemverlangsamung	eine	die	Atemverlangsamungen	Atemverlangsamungen	\d	die	
_ABFCC680FB10A513	SlowingLife	Lebensverlangsamung	Lebensverlangsamung	eine	die	Lebensverlangsamungen	Lebensverlangsamungen	\d	die	
_EDA9A489A1E844A1	Spear	Lanze	Lanze	eine	die	Lanzen	Lanzen	\d	die	
_553066C79AA68E41	SpellDeletion	Zauberunterdrückung	Zauberunterdrückung	eine	die	Zauberunterdrückungen	Zauberunterdrückungen	\d	die	
_1F11DD768021726D	SpellProtect	Zauber-Schutz	Zauber-Schutz	ein	der	Zauber-Schutzauren	Zauber-Schutzauren	\d	die	
_A078F656C83EE11B	SpurtingFire	Sprudelndes Feuer	Sprudelndes Feuer	ein	das	Sprudelndes Feuer	Sprudelndes Feuer	\d	die	
_7DBF715287AF5529	Squandering	Verschwendung	Verschwendung	eine	die	Verschwendungen	Verschwendungen	\d	die	
_650EE61E672F31D8	StallSetUp	Hütte errichten	Hütte errichten	eine	das	Hütten errichten	Hütten errichten	\d	die	
_C84416CD93116660	StealBreath	Atem-Diebstahl	Atem-Diebstahl	ein	der	Atem-Diebstähle	Atem-Diebstähle	\d	die	
_3BEE7169875ED501	StealLife	Lebens-Diebstahl	Lebens-Diebstahl	ein	der	Lebens-Diebstähle	Lebens-Diebstähle	\d	die	
_402E0D3927BE0919	StealSap	Sap-Diebstahl	Sap-Diebstahl	ein	der	Sap-Diebstähle	Sap-Diebstähle	\d	die	
_AB38E88EE2E8549A	Stick	Stab	Stab	ein	der	Stäbe	Stäbe	\d	die	
_E4C8224705FEED16	StrenghtGift	Kraft Spende	Kraft Spende	eine	die	Kraft Spenden	Kraft Spenden	\d	die	
_E898307466E8F8A0	Swimming	Schwimmen	Schwimmen	\d	das	Schwimmen	Schwimmen	\d	das	
_AE79F4AB28F86093	Sword	Schwert	Schwert	ein	das	Schwerter	Schwerter	\d	die	
_8966EA607EEFD5F8	SylphicSlide	Waldrutsch	Waldrutsch	ein	der	Waldrutsche	Waldrutsche	\d	die	
_EF9904AEEAE86894	Sylve	Wald	Wald	ein	der	Wälder	Wälder	\d	die	
_7A6DD413630B1B9C	TactileWithering	Fühlbare Verwelkung	Fühlbare Verwelkung	eine	die	Fühlbare Verwelkungen	Fühlbare Verwelkungen	\d	die	
_27E93C82EB58109D	Target	Ziel	Ziel	ein	das	Ziele	Ziele	\d	die	
_2D8988826BF82CB1	Terror	Terror	Terror	ein	der	Terror	Terror	\d	der	
_7131134C39C66BD8	TirednessAlchemy	Alchemie der Müdigkeit	Alchemie der Müdigkeit	eine	die	Alchemie der Müdigkeit	Alchemie der Müdigkeit	\d	die	
_E2980874E368E49D	Tracking	Verfolgung	Verfolgung	eine	die	Verfolgungen	Verfolgungen	\d	die	
_C88B1DCCE81365DE	TradingCenterKnowledge	Wissen der Handelsstation	Wissen der Handelsstation	ein	das	Wissen der Handelsstation	Wissen der Handelsstation	\d	das	
_A13AB38E5D3CF3CF	TrainingAgility	Agilitätstraining	Agilitätstraining	ein	das	Agilitätstrainings	Agilitätstrainings	\d	die	
_B3296EA39520E67B	TrainingAnimal	Training auf Tieren	Training auf Tieren	ein	das	Trainings auf Tieren	Trainings auf Tieren	\d	die	
_393BDC9EF56B12F0	TrainingCharisme	Charismatraining	Charismatraining	ein	das	Charismatrainings	Charismatrainings	\d	die	
_F3C965A093712C73	TrainingConstitution	Konstitutionstraining	Konstitutionstraining	ein	das	Konstitutionstrainings	Konstitutionstrainings	\d	die	
_0606975DBF5A2C72	TrainingDiseaseResist	Krankheitswiderstands-Training	Krankheitswiderstands-Training	ein	das	Krankheitswiderstands-Trainings	Krankheitswiderstands-Trainings	\d	die	
_B4FBA3A2F91B678A	TrainingEmpathie	Empathietraining	Empathietraining	ein	das	Empathietrainings	Empathietrainings	\d	die	
_97E386D1D4F59184	TrainingFearResist	Angstwiderstands-Training	Angstwiderstands-Training	ein	das	Angstwiderstands-Trainings	Angstwiderstands-Trainings	\d	die	
_9BDE0556D5C0A57B	TrainingHp	Lebens-Training	HP-Training	ein	das	HP-Trainings	Lebens-Trainings	\d	die	
_9128BB373BA1825C	TrainingHp2	Lebens-Training 2	Lebens-Training 2	ein	das	Lebens-Trainings 2	Lebens-Trainings 2	\d	die	
_9138BB377BA1825D	TrainingHp3	Lebens-Training 3	Lebens-Training 3	ein	das	Lebens-Trainings 3	Lebens-Trainings 3	\d	die	
_9148BB37BCA1825E	TrainingHp4	Lebens-Training 4	Lebens-Training 4	ein	das	Lebens-Trainings 4	Lebens-Trainings 4	\d	die	
_EB3991FDC7FD6AAE	TrainingImpactResist	Einschlagswiderstands-Training	Einschlagswiderstands-Training	ein	das	Einschlagswiderstands-Trainings	Einschlagswiderstands-Trainings	\d	die	
_2C19F97A8F6FDC52	TrainingIntelligence	Intelligenztraining	Intelligenztraining	ein	das	Intelligenztrainings	Intelligenztrainings	\d	die	
_ACADA57565D32514	TrainingMagicResist	Magiewiderstands-Training	Magiewiderstands-Training	ein	das	Magiewiderstands-Trainings	Magiewiderstands-Trainings	\d	die	
_093CFB3110027055	TrainingPerception	Wahrnehmungstraining	Wahrnehmungstraining	ein	das	Wahrnehmungstrainings	Wahrnehmungstrainings	\d	die	
_028F198928F86050	TrainingSeve	Sap-Training	Sap-Training	ein	das	Sap-Trainings	Sap-Trainings	\d	die	
_6BAC501B2CDF80CC	TrainingSeve2	Sap-Training 2	Sap-Training 2	ein	das	Sap-Trainings 2	Sap-Trainings 2	\d	die	
_6BBC501C2CDF80CD	TrainingSeve3	Sap-Training 3	Sap-Training 3	ein	das	Sap-Trainings 3	Sap-Trainings 3	\d	die	
_6BCC501D2CDF80CE	TrainingSeve4	Sap-Training 4	Sap-Training 4	ein	das	Sap-Trainings 4	Sap-Trainings 4	\d	die	
_E5BA03B24434BBD6	TrainingStamina	Ausdauertraining	Ausdauertraining	ein	das	Ausdauertrainings	Ausdauertrainings	\d	die	
_385BA21092115FF6	TrainingStamina2	Ausdauertraining 2	Ausdauertraining 2	ein	das	Ausdauertrainings 2	Ausdauertrainings 2	\d	die	
_385BA61012115FF6	TrainingStamina3	Ausdauertraining 3	Ausdauertraining 3	ein	das	Ausdauertrainings 3	Ausdauertrainings 3	\d	die	
_385BAA1094115FF6	TrainingStamina4	Ausdauertraining 4	Ausdauertraining 4	ein	das	Ausdauertrainings 4	Ausdauertrainings 4	\d	die	
_375D18C67B1C12EF	TrainingStrength	Krafttraining	Krafttraining	ein	das	Krafttrainings	Krafttrainings	\d	die	
_70179D0A46ED4EB1	TrainingTechnoResist	Technikwiderstands-Training	Technikwiderstands-Training	ein	das	Technikwiderstands-Trainings	Technikwiderstands-Trainings	\d	die	
_1E629490CAB05722	TrainingWellBalanced	Training für gutes Gleichgewicht	Training für gutes Gleichgewicht	ein	das	Trainings für gutes Gleichgewicht	Trainings für gutes Gleichgewicht	\d	die	
_20D6025A002E3116	TrainingWill	Willenstraining	Willenstraining	ein	das	Willenstrainings	Willenstrainings	\d	die	
_ECC9D489AE5810A4	Tryker	Tryker	Tryker	ein	der	Tryker	Tryker	\d	die	
_402F501624D55420	TrykerGoods	Tryker-Güter	Tryker-Güter	\d	die	Tryker-Güter	Tryker-Güter	\d	die	
_CBB743E46993B57A	TrykerMystery	Tryker-Geheimnis	Tryker-Geheimnis	ein	das	Tryker-Geheimnisse	Tryker-Geheimnisse	\d	die	
_248432101928BBBE	TwoHandedCombat	Zweihand-Kampf	Zweihand-Kampf	ein	der	Zweihand-Kämpfe	Zweihand-Kämpfe	\d	die	
_E2FC6B5410562272	TwoHandsSword	Zweihänder-Schwert	Zweihänder-Schwert	ein	das	Zweihand-Schwerter	Zweihand-Schwerter	\d	die	
_B76D4C20B7AD6450	UnderwaterExtract	Unterwasser-Ernte	Unterwasser-Ernte	eine	die	Unterwasser-Ernten	Unterwasser-Ernten	\d	die	
_B87B8EF095D9B2F0	VisualWithering	Sichtbare Verwelkung	Sichtbare Verwelkung	eine	die	Sichtbare Verwelkungen	Sichtbare Verwelkungen	\d	die	
_C8A06DE5A7EC9528	VitalBurst	Lebensausbruch	Lebensausbruch	ein	der	Lebensausbrüche	Lebensausbrüche	\d	die	
_E81EF286B90381FD	WarriorGift	Kampf-Spende	Kampf-Spende	eine	die	Kampf-Spenden	Kampf-Spenden	\d	die	
_7A1C339955F3BD9B	WeaponsCutting	Waffen-Schnitt	Waffen-Schnitt	ein	der	Waffen-Schnitte	Waffen-Schnitte	\d	die	
_2E3045112716B3BF	WindArmor	Wind-Rüstung	Wind-Rüstung	eine	die	Wind-Rüstungen	Wind-Rüstungen	\d	die	
_A687E4EE6EC9F032	WindGift	Wind-Spende	Wind-Spende	eine	die	Wind-Spenden	Wind-Spenden	\d	die	
_2E300D099F3763E3	WindShear	Windkraft	Windkraft	eine	die	Windkräfte	Windkräfte	\d	die	
_AB51CA9C65185C9F	Zorai	Zoraï	Zoraï	ein	der	Zoraï	Zoraï	\d	die	
_1D1AA7DA5B30C8BD	ZoraiGoods	Zoraï-Güter	Zoraï-Güter	\d	die	Zoraï-Güter	Zoraï-Güter	\d	die	
_5DC1BB09C5A79A88	ZoraiMystery	Zoraï-Geheimnis	Zoraï-Geheimnis	ein	das	Zoraï-Geheimnisse	Zoraï-Geheimnisse	\d	die	
_38BF105E6F762063	TrainingImpactResist2	Einschlagswiderstands-Training 2	Einschlagswiderstands-Training 2	ein	das	Einschlagswiderstands-Trainings 2	Einschlagswiderstands-Trainings 2	\d	die	
_38BF145E6F762065	TrainingImpactResist3	Einschlagswiderstands-Training 3	Einschlagswiderstands-Training 3	ein	das	Einschlagswiderstands-Trainings 3	Einschlagswiderstands-Trainings 3	\d	die	
_172111EF5712135D	TrainingMagicResist2	Magiewiderstands-Training 2	Magiewiderstands-Training 2	ein	das	Magiewiderstands-Trainings 2	Magiewiderstands-Trainings 2	\d	die	
_573111EF5722135D	TrainingMagicResist3	Magiewiderstands-Training 3	Magiewiderstands-Training 3	ein	das	Magiewiderstands-Trainings 3	Magiewiderstands-Trainings 3	\d	die	
_9E1F915ACB35C52D	MakeEnchantedWeapons	Herstellung verzauberter Waffen	Herstellung verzauberter Waffen	eine	die	Herstellungen verzauberter Waffen	Herstellungen verzauberter Waffen	\d	die	
_9572881FC4B3A0FF	MakeEnchantedArmors	Herstellung verzauberter Rüstung	Herstellung verzauberter Rüstung	eine	die	Herstellungen verzauberter Rüstung	Herstellungen verzauberter Rüstung	\d	die	
_5E4664F242913805	MakeVampiricWeapons	Herstellung vampirischer Waffen	Herstellung vampirischer Waffen	eine	die	Herstellungen vampirischer Waffen	Herstellungen vampirischer Waffen	\d	die	
_F08B51C1E52ECB1C	MakeEnchantedFloralPatternLivingClothes	Herstellung verzauberter lebendiger Blumenkleidung	Herstellung verzauberter lebendiger Blumenkleidung	eine	die	Herstellungen verzauberter lebendiger Blumenkleidung	Herstellungen verzauberter lebendiger Blumenkleidung	\d	die	
_E1010856D5D5F588	MakeDeadlyHarpoongun	Herstellung tödlicher Harpunen	Herstellung tödlicher Harpunen	eine	die	Herstellungen tödlicher Harpunen	Herstellungen tödlicher Harpunen	\d	die	
_49D2F4340178168F	MakeHuntingArmors	Jagdrüstungsherstellung	Jagdrüstungsherstellung	eine	die	Jagdrüstungsherstellungen	Jagdrüstungsherstellungen	\d	die	
_C31F80337ECA6372	MakeRitualClothes	Herstellung ritueller Kleidung	Herstellung ritueller Kleidung	eine	die	Herstellungen ritueller Kleidung	Herstellungen ritueller Kleidung	\d	die	
_1DE8C3273B0B137B	MakeRitualJewels	Herstellung rituellen Schmucks	Herstellung rituellen Schmucks	eine	die	Herstellungen rituellen Schmucks	Herstellungen rituellen Schmucks	\d	die	
_D8145C8EEA5A3CA6	SC	Handwerk	Handwerk	ein	das	Handwerke	Handwerke	\d	die	Handwerk
_5654AC8E60988490	SM	Magie	Magie	eine	die	Magie	Magie	\d	die	Magie
_4A528987D8F5BA5B	SMT	Wirkungsmagie	Wirkungsmagie	eine	die	Wirkungsmagie	Wirkungsmagie	\d	die	Gezielte Magie
_29D259A451019CA9	SMTM	Raketenmagie	Raketenmagie	eine	die	Raketenmagie	Raketenmagie	\d	die	Magie gezielter Raketen
_5C0F8F5DAF790C9D	SMTMR	Grundmagie	Grundmagie	eine	die	Grundmagie	Grundmagie	\d	die	Gezieltes Magie-Geschoss – Ur
_0AD18AB0336B9683	SMTMG	Atysianische Magie	Atysianische Magie	eine	die	Atysianische Magie	Atysianische Magie	\d	die	Gezieltes Magie Geschoss - Atysianische
_D597B4747E2BAA66	SMTMB	himmlische Magie	himmlische Magie	eine	die	himmlische Magie	himmlische Magie	\d	die	Gezieltes Magie Geschoss - Himmlische
_9F35DAC8D1B39346	SMTO	Angriffsmagie	Angriffsmagie	eine	die	Angriffsmagie	Angriffsmagie	\d	die	Gezielte Magie Offensiv
_CB82E2397BAB1530	SMTOD	körperliche Magie	körperliche Magie	eine	die	körperliche Magie	körperliche Magie	\d	die	Gezielte Magie Offensiv Schaden
_D9108D1AEB774F37	SMTODP	Magie der Durchbohrung	Magie der Durchbohrung	eine	die	Magie der Durchbohrung	Magie der Durchbohrung	\d	die	Gezielte Magie Offensiv Schaden - Durchbohrende
_1CA0811AACF71B33	SMTODB	Magie der Zertrümmerung	Magie der Zertrümmerung	eine	die	Magie der Zertrümmerung	Magie der Zertrümmerung	\d	die	Gezielte Magie Offensiv Schaden – Zertrümmerung
_DCA081196CF75F33	SMTODS	Magie des Schnittes	Magie des Schnittes	eine	die	Magie des Schnittes	Magie des Schnittes	\d	die	Gezielte Magie Offensiv Schaden - Schneidende
_4D659DBE6F770808	SMTOE	Elementarmagie	Elementarmagie	eine	die	Elementarmagie	Elementarmagie	\d	die	Gezielte Magie Offensiv Spezial Schaden
_B35ED2172BAE8E5E	SMTOEC	Kältemagie	Kältemagie	eine	die	Kältemagie	Kältemagie	\d	die	Gezielte Magie Offensiv Spezial Schaden - Kälte
_B35EC605A56E865E	SMTOEA	Säuremagie	Säuremagie	eine	die	Säuremagie	Säuremagie	\d	die	Gezielte Magie Offensiv Spezial Schaden - Säure
_F117FF29E7251AB6	SMTOER	Verrottungsmagie	Verrottungsmagie	eine	die	Verrottungsmagie	Verrottungsmagie	\d	die	Gezielte Magie Offensiv Spezial Schaden - Verrottung
_B36EF21DEA0E9A5E	SMTOEF	Feuermagie	Feuermagie	eine	die	Feuermagie	Feuermagie	\d	die	Gezielte Magie Offensiv Spezial Schaden - Feuer
_4EBA8627BCE9FB22	SMTOES	Schockwellenmagie	Schockwellenmagie	eine	die	Schockwellenmagie	Schockwellenmagie	\d	die	Gezielte Magie Offensiv Spezial Schaden - Schockwelle
_3067100BD3BAF278	SMTOEP	Giftmagie	Giftmagie	eine	die	Giftmagie	Giftmagie	\d	die	Gezielte Magie Offensiv Spezial Schaden - Gift
_D21C1B9D62E4E80B	SMTOEE	Elektromagie	Elektromagie	eine	die	Elektromagie	Elektromagie	\d	die	Gezielte Magie Offensiv Spezial Schaden - Elektro
_98C6999187B4ECD5	SMTC	Heilende Magie	Heilende Magie	eine	die	Heilende Magie	Heilende Magie	\d	die	Gezielte Magie Heilend
_1C592673394B71F2	SMTCH	Heilmagie	Heilmagie	eine	die	Heilmagie	Heilmagie	\d	die	Gezielte Magie Heilend Heilt
_4DB24B824181B32C	SMTCHP	Lebens-Heilungsmagie	Lebens-Heilungsmagie	eine	die	Lebens-Heilungsmagie	Lebens-Heilungsmagie	\d	die	Gezielte Magie Heilend Heilt - HP
_AB6C41A608125261	SMTCHT	Ausdauer-Heilungsmagie	Ausdauer-Heilungsmagie	eine	die	Ausdauer-Heilungsmagie	Ausdauer-Heilungsmagie	\d	die	Gezielte Magie Heilend Heilt - Ausdauer
_E66C7DA243120670	SMTCHA	Sap-Heilungsmagie	Sap-Heilungsmagie	eine	die	Sap-Heilungsmagie	Sap-Heilungsmagie	\d	die	Gezielte Magie Heilend Heilt – Sap
_9AE1FE031A7EE557	SMTCHC	Fokus-Heilungsmagie	Fokus-Heilungsmagie	eine	die	Fokus-Heilungsmagie	Fokus-Heilungsmagie	\d	die	Gezielte Magie Heilend Heilt - Fokus
_46B77B460102495E	SMTCB	Verbindungsabbruch	Verbindungsabbruch	ein	der	Verbindungsabbrüche	Verbindungsabbrüche	\d	die	
_462522C946AAA84C	SMTCBD	Schaden durch Verbindungsabbruch	Schaden durch Verbindungsabbruch	ein	der	Schäden durch Verbindungsabbrüche	Schäden durch Verbindungsabbrüche	\d	die	
_BAED0EEFDA4CAF03	SMTCBS	Krankheit durch Verbindungsabbruch	Krankheit durch Verbindungsabbruch	eine	die	Krankheiten durch Verbindungsabbrüche	Krankheiten durch Verbindungsabbrüche	\d	die	
_7DF1A856845BD4A4	SMTCBC	Fluch des Verbindungsabbruchs	Fluch des Verbindungsabbruchs	ein	der	Flüche der Verbindungsabbrüche	Flüche der Verbindungsabbrüche	\d	die	
_EC5CF9A83799E909	SML	Bindungsmagie	Bindungsmagie	eine	die	Bindungsmagie	Bindungsmagie	\d	die	Link Magie
_49BDA32074154396	SMLM	Geschoss-Bindung	Geschoss-Bindung	eine	die	Geschoss-Bindungen	Geschoss-Bindungen	\d	die	Link Magie Geschoss
_A5889DC6411B4045	SMLMR	Grundbindung	Grundbindung	eine	die	Grundbindungen	Grundbindungen	\d	die	Link Magie Geschoss - Ur
_7F38346ED5250EB1	SMLMG	Atysianische Bindung	Atysianische Bindung	eine	die	Atysianische Bindungen	Atysianische Bindungen	\d	die	Link Magie Geschoss - Atysianische
_F154BD51B879CEA6	SMLMB	Himmlische Bindung	Himmlische Bindung	eine	die	Himmlische Bindungen	Himmlische Bindungen	\d	die	Link Magie Geschoss - Himmlische
_BCBB4C69BD7DC709	SMLO	Offensive Bindung	Offensive Bindung	eine	die	Offensive Bindungen	Offensive Bindungen	\d	die	Link Magie Offensiv
_DBDAA3F080A8CDEA	SMLOS	Krankheitsbindung	Krankheitsbindung	eine	die	Krankheitsbindungen	Krankheitsbindungen	\d	die	Link Magie Offensiv Krankheit
_2AD6ADF15F54B9A9	SMLOSM	Bindung des Wahnsinns	Bindung des Wahnsinns	eine	die	Bindungen des Wahnsinns	Bindungen des Wahnsinns	\d	die	Link Magie Offensiv Krankheit - Wahnsinn
_9E70C9DEE9FF46B5	SMLOSS	Bindung der Verlangsamung	Bindung der Verlangsamung	eine	die	Bindungen der Verlangsamung	Bindungen der Verlangsamung	\d	die	Link Magie Offensiv Krankheit - Geschwindigkeits Debuff
_7E7703067DE75B7F	SMLOSR	Bindung des Widerstandsverlustes	Bindung des Widerstandsverlustes	eine	die	Bindungen des Widerstandsverlustes	Bindungen des Widerstandsverlustes	\d	die	Link Magie Offensiv Krankheit - Widerstands Debuff
_5CF0E5E2A9EF52B4	SMLOSK	Bindung des Vergessens	Bindung des Vergessens	eine	die	Bindungen des Vergessens	Bindungen des Vergessens	\d	die	Link Magie Offensiv Krankheit - Fertigkeiten Debuff
_1A9E72A457E6332F	SMLOC	Bindung des Fluchs	Bindung des Fluchs	eine	die	Bindungen des Fluchs	Bindungen des Fluchs	\d	die	Link Magie Offensiv Fluch
_A24F5221B08315C8	SMLOCI	Bindung der Unfähigkeit	Bindung der Unfähigkeit	eine	die	Bindungen der Unfähigkeit	Bindungen der Unfähigkeit	\d	die	Link Magie Offensiv Fluch - Unfähigkeit
_7AB2ED7B34EF2467	SMLOCM	Bindung der mentalen Störung	Bindung der mentalen Störung	eine	die	Bindungen der mentalen Störung	Bindungen der mentalen Störung	\d	die	Link Magie Offensiv Fluch - Mentale Störung
_6B2E163F2752E1E9	SMLOCS	Bindung des Missgeschicks	Bindung des Missgeschicks	eine	die	Bindungen des Missgeschicks	Bindungen des Missgeschicks	\d	die	Link Magie Offensiv Fluch - Missgeschick
_69C1EA4113DCAA84	SMLOCH	Bindung des Hasses	Bindung des Hasses	eine	die	Bindungen des Hasses	Bindungen des Hasses	\d	die	Link Magie Offensiv Fluch - Hass
_A366797FAB86DDB9	SMLOD	körperliche Bindung	körperliche Bindung	eine	die	körperliche Bindungen	körperliche Bindungen	\d	die	Link Magie Offensiv Schaden
_D4930C23EB04A3FB	SMLODP	Bindung der Durchbohrung	Bindung der Durchbohrung	eine	die	Bindungen der Durchbohrung	Bindungen der Durchbohrung	\d	die	Link Magie Offensiv Schaden - Durchbohrende
_D433281CECA477FB	SMLODB	Bindung der Zertrümmerung	Bindung der Zertrümmerung	eine	die	Bindungen der Zertrümmerung	Bindungen der Zertrümmerung	\d	die	Magic link Offensiv Schaden - Überlegenheit
