*HASH_VALUE	sbrick ID	name	named	* noms français	ia	da	p	pd	pia	pda	description	description2	
_B3BD00EFAB47BB32	BIF79	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB29	BIF80	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB2A	BIF81	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB2B	BIF82	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB2C	BIF83	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB2D	BIF84	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB2E	BIF85	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB2F	BIF86	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB30	BIF87	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB31	BIF88	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_F4BD00EFAB47BB32	BIF89	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB29	BIF90	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB2A	BIF91	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB2B	BIF92	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB2C	BIF93	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB2D	BIF94	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB2E	BIF95	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB2F	BIF96	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB30	BIF97	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB31	BIF98	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_34BD00EFAB47BB32	BIF99	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2A6CE	BIF100	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2AACE	BIF101	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2AECE	BIF102	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2B2CE	BIF103	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2B6CE	BIF104	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2BACE	BIF105	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2BECE	BIF106	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2C2CE	BIF107	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2C6CE	BIF108	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2CACE	BIF109	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2A6CF	BIF110	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2AACF	BIF111	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2AECF	BIF112	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2B2CF	BIF113	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2B6CF	BIF114	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2BACF	BIF115	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2BECF	BIF116	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2C2CF	BIF117	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2C6CF	BIF118	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2CACF	BIF119	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2A6D0	BIF120	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_B8DBDDF723F2AAD0	BIF121	%comp	Einschränkung für Waffenart    				Einschränkungen für Waffenart        	Einschränkungen für Waffenart        		die			
_11BC1D80B4692AF1	melee_reduce_latency_1	Reduzierte Verzögerung 1   	Reduzierte Verzögerung 1   		eine	die	Reduzierte Verzögerungen 1   	Reduzierten Verzögerungen 1   		die	Stanza (Teil einer Aktion)		
_6A770AFF2C254AB2	bcfpea13	Fyros-Handwerksplan zertrümmernde Bogenpistolen-Munition	Fyros-Handwerksplan zertrümmernde Bogenpistolen-Munition		ein	der	Fyros-Handwerkspläne zertrümmernde Bogenpistolen-Munition	Fyros-Handwerkspläne zertrümmernde Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Fyros-Bogenpistolen-Munition Kolton		
_EAF7EAF96D254AA8	bcfpea14	Fyros-Handwerksplan durchbohrende Bogenpistolen-Munition	Fyros-Handwerksplan durchbohrende Bogenpistolen-Munition		ein	der	Fyros-Handwerkspläne durchbohrende Bogenpistolen-Munition	Fyros-Handwerkspläne durchbohrende Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Fyros-Bogenpistolen-Munition Kolton		
_6A7702FFAD254AB2	bcfpea15	Fyros-Handwerksplan schneidende Bogenpistolen-Munition	Fyros-Handwerksplan schneidende Bogenpistolen-Munition		ein	der	Fyros-Handwerkspläne schneidende Bogenpistolen-Munition	Fyros-Handwerkspläne schneidende Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Fyros-Bogenpistolen-Munition Kolton 		
_A0BDD48F4644C1BA	bcfpea07	Fyros-Handwerksplan zertrümmernde Granaten	Fyros-Handwerksplan zertrümmernde Granaten		ein	der	Fyros-Handwerkspläne zertrümmernde Granaten	Fyros-Handwerkspläne zertrümmernde Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Fyros-Granaten		
_A06DD08E4654B1B7	bcfpea08	Fyros-Handwerksplan durchbohrende Granaten	Fyros-Handwerksplan durchbohrende Granaten		ein	der	Fyros-Handwerkspläne durchbohrende Granaten	Fyros-Handwerkspläne durchbohrende Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Fyros-Granaten		
_A0BDD48F8744BDBA	bcfpea09	Fyros-Handwerksplan schneidende Granaten	Fyros-Handwerksplan schneidende Granaten		ein	der	Fyros-Handwerkspläne schneidende Granaten	Fyros-Handwerkspläne schneidende Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Fyros-Granaten		
_3F65D3106C5BB33C	bcfpea16	Fyros-Handwerksplan zertrümmernde Pistolen-Munition	Fyros-Handwerksplan zertrümmernde Pistolen-Munition		ein	der	Fyros-Handwerkspläne zertrümmernde Pistolen-Munition	Fyros-Handwerkspläne zertrümmernde Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Fyros-Pistolen-Munition Rimel		
_3E35BF0FADCBA340	bcfpea17	Fyros-Handwerksplan durchbohrende Pistolen-Munition	Fyros-Handwerksplan durchbohrende Pistolen-Munition		ein	der	Fyros-Handwerkspläne durchbohrende Pistolen-Munition	Fyros-Handwerkspläne durchbohrende Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Fyros-Pistolen-Munition Rimel		
_FF65D310ED4BB33C	bcfpea18	Fyros-Handwerksplan schneidende Pistolen-Munition	Fyros-Handwerksplan schneidende Pistolen-Munition		ein	der	Fyros-Handwerkspläne schneidende Pistolen-Munition	Fyros-Handwerkspläne schneidende Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Fyros-Pistolen-Munition Rimel		
_529E9E85577ABCD1	bcfpea01	Fyros-Handwerksplan zertrümmernde Automatikgewehr-Munition	Fyros-Handwerksplan zertrümmernde Automatikgewehr-Munition		ein	der	Fyros-Handwerkspläne zertrümmernde Automatikgewehr-Munition	Fyros-Handwerkspläne zertrümmernde Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Fyros-Automatikgewehr-Munition Fraser		
_924E9A89543ACCCD	bcfpea02	Fyros-Handwerksplan durchbohrende Automatikgewehr-Munition	Fyros-Handwerksplan durchbohrende Automatikgewehr-Munition		ein	der	Fyros-Handwerkspläne durchbohrende Automatikgewehr-Munition	Fyros-Handwerkspläne durchbohrende Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für  durchbohrende Fyros-Automatikgewehr-Munition Fraser		
_529E9E85977ABCD0	bcfpea03	Fyros-Handwerksplan schneidende Automatikgewehr-Munition	Fyros-Handwerksplan schneidende Automatikgewehr-Munition		ein	der	Fyros-Handwerkspläne schneidende Automatikgewehr-Munition	Fyros-Handwerkspläne schneidende Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Fyros-Automatikgewehr-Munition Fraser		
_89E39294AB4852DF	bcfpea04	Fyros-Handwerksplan zertrümmernde Bogengewehr-Munition	Fyros-Handwerksplan zertrümmernde Bogengewehr-Munition		ein	der	Fyros-Handwerkspläne zertrümmernde Bogengewehr-Munition	Fyros-Handwerkspläne zertrümmernde Bogengewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Fyros-Bogengewehr-Munition Strabus		
_47839E942A1852DF	bcfpea05	Fyros-Handwerksplan durchbohrende Bogengewehr-Munition	Fyros-Handwerksplan durchbohrende Bogengewehr-Munition		ein	der	Fyros-Handwerkspläne durchbohrende Bogengewehr-Munition	Fyros-Handwerkspläne durchbohrende Bogengewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Fyros-Bogengewehr-Munition Strabus		
_89E39293EB4852DF	bcfpea06	Fyros-Handwerksplan schneidende Bogengewehr-Munition	Fyros-Handwerksplan schneidende Bogengewehr-Munition		ein	der	Fyros-Handwerkspläne schneidende Bogengewehr-Munition	Fyros-Handwerkspläne schneidende Bogengewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Fyros-Bogengewehr-Munition Strabus		
_48A36A8EA718AEE5	bcfpea10	Fyros-Handwerksplan zertrümmernde Raketenwerfer-Munition	Fyros-Handwerksplan zertrümmernde Raketenwerfer-Munition		ein	der	Fyros-Handwerkspläne zertrümmernde Raketenwerfer-Munition	Fyros-Handwerkspläne zertrümmernde Raketenwerfer-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Fyros-Raketenwerfer-Munition Brazer		
_0643768E26E8AEE5	bcfpea11	Fyros-Handwerksplan durchbohrende Raketenwerfer-Munition	Fyros-Handwerksplan durchbohrende Raketenwerfer-Munition		ein	der	Fyros-Handwerkspläne durchbohrende Raketenwerfer-Munition	Fyros-Handwerkspläne durchbohrende Raketenwerfer-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Fyros-Raketenwerfer-Munition Brazer		
_48A36A8DE718AEE5	bcfpea12	Fyros-Handwerksplan schneidende Raketenwerfer-Munition	Fyros-Handwerksplan schneidende Raketenwerfer-Munition		ein	der	Fyros-Handwerkspläne schneidende Raketenwerfer-Munition	Fyros-Handwerkspläne schneidende Raketenwerfer-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Fyros-Raketenwerfer-Munition Brazer		
_514C83BC0D4637EB	bcfpea19	Fyros-Handwerksplan zertrümmernde Gewehr-Munition	Fyros-Handwerksplan zertrümmernde Gewehr-Munition		ein	der	Fyros-Handwerkspläne zertrümmernde Gewehr-Munition	Fyros-Handwerkspläne zertrümmernde Gewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Fyros-Gewehr-Munition Strammel		
_118C73B48B9627E3	bcfpea20	Fyros-Handwerksplan durchbohrende Gewehr-Munition	Fyros-Handwerksplan durchbohrende Gewehr-Munition		ein	der	Fyros-Handwerkspläne durchbohrende Gewehr-Munition	Fyros-Handwerkspläne durchbohrende Gewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Fyros-Gewehr-Munition Strammel		
_514C7FBC0B5633EB	bcfpea21	Fyros-Handwerksplan schneidende Gewehr-Munition	Fyros-Handwerksplan schneidende Gewehr-Munition		ein	der	Fyros-Handwerkspläne schneidende Gewehr-Munition	Fyros-Handwerkspläne schneidende Gewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Fyros-Gewehr-Munition Strammel		
_68274A0D2C254AB2	bcmpea13	Matis-Handwerksplan zertrümmernde Bogenpistolen-Munition	Matis-Handwerksplan zertrümmernde Bogenpistolen-Munition		ein	der	Matis-Handwerkspläne zertrümmernde Bogenpistolen-Munition	Matis-Handwerkspläne zertrümmernde Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Matis-Bogenpistolen-Munition Riva		
_E8A72A076D254AA8	bcmpea14	Matis-Handwerksplan durchbohrende Bogenpistolen-Munition	Matis-Handwerksplan durchbohrende Bogenpistolen-Munition		ein	der	Matis-Handwerkspläne durchbohrende Bogenpistolen-Munition	Matis-Handwerkspläne durchbohrende Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Matis-Bogenpistolen-Munition Riva		
_6827420DAD254AB2	bcmpea15	Matis-Handwerksplan schneidende Bogenpistolen-Munition	Matis-Handwerksplan schneidende Bogenpistolen-Munition		ein	der	Matis-Handwerkspläne schneidende Bogenpistolen-Munition	Matis-Handwerkspläne schneidende Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Matis-Bogenpistolen-Munition Riva		
_1F4D5C9840B4C1BA	bcmpea07	Matis-Handwerksplan zertrümmernde Granaten	Matis-Handwerksplan zertrümmernde Granaten		ein	der	Matis-Handwerkspläne zertrümmernde Granaten	Matis-Handwerkspläne zertrümmernde Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Matis-Granaten		
_1FFD589740C4B1B7	bcmpea08	Matis-Handwerksplan durchbohrende Granaten	Matis-Handwerksplan durchbohrende Granaten		ein	der	Matis-Handwerkspläne durchbohrende Granaten	Matis-Handwerkspläne durchbohrende Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Matis-Granaten		
_1F4D5C9881B4BDBA	bcmpea09	Matis-Handwerksplan schneidende Granaten	Matis-Handwerksplan schneidende Granaten		ein	der	Matis-Handwerkspläne schneidende Granaten	Matis-Handwerkspläne schneidende Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Matis-Granaten		
_BEF57311EDDACF3C	bcmpea16	Matis-Handwerksplan zertrümmernde Pistolen-Munition	Matis-Handwerksplan zertrümmernde Pistolen-Munition		ein	der	Matis-Handwerkspläne zertrümmernde Pistolen-Munition	Matis-Handwerkspläne zertrümmernde Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Matis-Pistolen-Munition Maka		
_BDC55F102E4ABF40	bcmpea17	Matis-Handwerksplan durchbohrende Pistolen-Munition	Matis-Handwerksplan durchbohrende Pistolen-Munition		ein	der	Matis-Handwerkspläne durchbohrende Pistolen-Munition	Matis-Handwerkspläne durchbohrende Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Matis-Pistolen-Munition Maka		
_7EF573116ECACF3C	bcmpea18	Matis-Handwerksplan schneidende Pistolen-Munition	Matis-Handwerksplan schneidende Pistolen-Munition		ein	der	Matis-Handwerkspläne schneidende Pistolen-Munition	Matis-Handwerkspläne schneidende Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Matis-Pistolen-Munition Maka		
_932E3E8C571AC4B9	bcmpea01	Matis-Handwerksplan zertrümmernde Automatikgewehr-Munition	Matis-Handwerksplan zertrümmernde Automatikgewehr-Munition		ein	der	Matis-Handwerkspläne zertrümmernde Automatikgewehr-Munition	Matis-Handwerkspläne zertrümmernde Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Matis-Automatikgewehr-Munition Morikov		
_D3DE3A9054DAD4B5	bcmpea02	Matis-Handwerksplan durchbohrende Automatikgewehr-Munition	Matis-Handwerksplan durchbohrende Automatikgewehr-Munition		ein	der	Matis-Handwerkspläne durchbohrende Automatikgewehr-Munition	Matis-Handwerkspläne durchbohrende Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Matis-Automatikgewehr-Munition Morikov		
_932E3E8C971AC4B8	bcmpea03	Matis-Handwerksplan schneidende Automatikgewehr-Munition	Matis-Handwerksplan schneidende Automatikgewehr-Munition		ein	der	Matis-Handwerkspläne schneidende Automatikgewehr-Munition	Matis-Handwerkspläne schneidende Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Matis-Automatikgewehr-Munition Morikov		
_08133A836D4852DF	bcmpea04	Matis-Handwerksplan zertrümmernde Bogengewehr-Munition	Matis-Handwerksplan zertrümmernde Bogengewehr-Munition		ein	der	Matis-Handwerkspläne zertrümmernde Bogengewehr-Munition	Matis-Handwerkspläne zertrümmernde Bogengewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Matis-Bogengewehr-Munition Polta		
_C6B34683EC1852DF	bcmpea05	Matis-Handwerksplan durchbohrende Bogengewehr-Munition	Matis-Handwerksplan durchbohrende Bogengewehr-Munition		ein	der	Matis-Handwerkspläne durchbohrende Bogengewehr-Munition	Matis-Handwerkspläne durchbohrende Bogengewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Matis-Bogengewehr-Munition Polta		
_08133A82AD4852DF	bcmpea06	Matis-Handwerksplan schneidende Bogengewehr-Munition	Matis-Handwerksplan schneidende Bogengewehr-Munition		ein	der	Matis-Handwerkspläne schneidende Bogengewehr-Munition	Matis-Handwerkspläne schneidende Bogengewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Matis-Bogengewehr-Munition Polta		
_C7D3127D6918AEE5	bcmpea10	Matis-Handwerksplan zertrümmernde Raketenwerfer-Munition	Matis-Handwerksplan zertrümmernde Raketenwerfer-Munition		ein	der	Matis-Handwerkspläne zertrümmernde Raketenwerfer-Munition	Matis-Handwerkspläne zertrümmernde Raketenwerfer-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Matis-Raketenwerfer-Munition Vulca		
_85731E7DE8E8AEE5	bcmpea11	Matis-Handwerksplan durchbohrende Raketenwerfer-Munition	Matis-Handwerksplan durchbohrende Raketenwerfer-Munition		ein	der	Matis-Handwerkspläne durchbohrende Raketenwerfer-Munition	Matis-Handwerkspläne durchbohrende Raketenwerfer-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Matis-Raketenwerfer-Munition Vulca		
_C7D3127CA918AEE5	bcmpea12	Matis-Handwerksplan schneidende Raketenwerfer-Munition	Matis-Handwerksplan schneidende Raketenwerfer-Munition		ein	der	Matis-Handwerkspläne schneidende Raketenwerfer-Munition	Matis-Handwerkspläne schneidende Raketenwerfer-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Matis-Raketenwerfer-Munition Vulca		
_D0DC23C38C66D7F2	bcmpea19	Matis-Handwerksplan zertrümmernde Gewehr-Munition	Matis-Handwerksplan zertrümmernde Gewehr-Munition		ein	der	Matis-Handwerkspläne zertrümmernde Gewehr-Munition	Matis-Handwerkspläne zertrümmernde Gewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Matis-Gewehr-Munition Stylone		
_901C13BB0AB6C7EA	bcmpea20	Matis-Handwerksplan durchbohrende Gewehr-Munition	Matis-Handwerksplan durchbohrende Gewehr-Munition		ein	der	Matis-Handwerkspläne durchbohrende Gewehr-Munition	Matis-Handwerkspläne durchbohrende Gewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Matis-Gewehr-Munition Stylone		
_D0DC1FC38A76D3F2	bcmpea21	Matis-Handwerksplan schneidende Gewehr-Munition	Matis-Handwerksplan schneidende Gewehr-Munition		ein	der	Matis-Handwerkspläne schneidende Gewehr-Munition	Matis-Handwerkspläne schneidende Gewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Matis-Gewehr-Munition Stylone		
_31A5A48E129CA98B	bctpea13	Tryker-Handwerksplan zertrümmernde Bogenpistolen-Munition	Tryker-Handwerksplan zertrümmernde Bogenpistolen-Munition		ein	der	Tryker-Handwerkspläne zertrümmernde Bogenpistolen-Munition	Tryker-Handwerkspläne zertrümmernde Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Tryker-Bogenpistolen-Munition Fletcher 		
_3135988E534C918E	bctpea14	Tryker-Handwerksplan durchbohrende Bogenpistolen-Munition	Tryker-Handwerksplan durchbohrende Bogenpistolen-Munition		ein	der	Tryker-Handwerkspläne durchbohrende Bogenpistolen-Munition	Tryker-Handwerkspläne durchbohrende Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Tryker-Bogenpistolen-Munition Fletcher 		
_F195A48E939CA98B	bctpea15	Tryker-Handwerksplan schneidende Bogenpistolen-Munition	Tryker-Handwerksplan schneidende Bogenpistolen-Munition		ein	der	Tryker-Handwerkspläne schneidende Bogenpistolen-Munition	Tryker-Handwerkspläne schneidende Bogenpistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zerschneidende Tryker-Bogenpistolen-Munition Fletcher 		
_C2F47289A4A6921B	bctpea07	Tryker-Handwerksplan zertrümmernde Granaten	Tryker-Handwerksplan zertrümmernde Granaten		ein	der	Tryker-Handwerkspläne zertrümmernde Granaten	Tryker-Handwerkspläne zertrümmernde Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Tryker-Granaten		
_80947E892476921B	bctpea08	Tryker-Handwerksplan durchbohrende Granaten	Tryker-Handwerksplan durchbohrende Granaten		ein	der	Tryker-Handwerkspläne durchbohrende Granaten	Tryker-Handwerkspläne durchbohrende Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Tryker-Granaten		
_C2F47288E5A6921B	bctpea09	Tryker-Handwerksplan schneidende Granaten	Tryker-Handwerksplan schneidende Granaten		ein	der	Tryker-Handwerksplan schneidende Granaten	Tryker-Handwerksplan schneidende Granaten		die	Handwerksplan-Stanza (Teil einer Aktion) für schneidende Tryker-Granaten		
_F5CEE8BBFD03026C	bctpea16	Tryker-Handwerksplan zertrümmernde Pistolen-Munition	Tryker-Handwerksplan zertrümmernde Pistolen-Munition		ein	der	Tryker-Handwerkspläne zertrümmernde Pistolen-Munition	Tryker-Handwerkspläne zertrümmernde Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für  zertrümmernde Tryker-Pistolen-Munition Rade		
_F57EE4BAFC13F269	bctpea17	Tryker-Handwerksplan durchbohrende Pistolen-Munition	Tryker-Handwerksplan durchbohrende Pistolen-Munition		ein	der	Tryker-Handwerkspläne durchbohrende Pistolen-Munition	Tryker-Handwerkspläne durchbohrende Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für  durchbohrende Tryker-Pistolen-Munition Rade		
_F5CEE8BB3E03FE6C	bctpea18	Tryker-Handwerksplan schneidende Pistolen-Munition	Tryker-Handwerksplan schneidende Pistolen-Munition		ein	der	Tryker-Handwerkspläne schneidende Pistolen-Munition	Tryker-Handwerkspläne schneidende Pistolen-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für  schneidende Tryker-Pistolen-Munition Rade 		
_41253A94F330EEC3	bctpea01	Tryker-Handwerksplan zertrümmernde Automatikgewehr-Munition	Tryker-Handwerksplan zertrümmernde Automatikgewehr-Munition		ein	der	Tryker-Handwerkspläne zertrümmernde Automatikgewehr-Munition	Tryker-Handwerkspläne zertrümmernde Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Tryker-Automatikgewehr-Munition Rayler		
_01652A8CF370DEBB	bctpea02	Tryker-Handwerksplan durchbohrende Automatikgewehr-Munition	Tryker-Handwerksplan durchbohrende Automatikgewehr-Munition		ein	der	Tryker-Handwerkspläne durchbohrende Automatikgewehr-Munition	Tryker-Handwerkspläne durchbohrende Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Tryker-Automatikgewehr-Munition Rayler		
_412536947330EAC3	bctpea03	Tryker-Handwerksplan schneidende Automatikgewehr-Munition	Tryker-Handwerksplan schneidende Automatikgewehr-Munition		ein	der	Tryker-Handwerkspläne schneidende Automatikgewehr-Munition	Tryker-Handwerkspläne schneidende Automatikgewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zerschneidende Tryker-Automatikgewehr-Munition Rayler		
_645A0A0BDFEFC47A	bctpea04	Tryker-Handwerksplan zertrümmernde Bogengewehr-Munition	Tryker-Handwerksplan zertrümmernde Bogengewehr-Munition		ein	der	Tryker-Handwerkspläne zertrümmernde Bogengewehr-Munition	Tryker-Handwerkspläne zertrümmernde Bogengewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für zertrümmernde Tryker-Bogengewehr-Munition Flunker		
_E4DAEA051FEFC470	bctpea05	Tryker-Handwerksplan durchbohrende Bogengewehr-Munition	Tryker-Handwerksplan durchbohrende Bogengewehr-Munition		ein	der	Tryker-Handwerkspläne durchbohrende Bogengewehr-Munition	Tryker-Handwerkspläne durchbohrende Bogengewehr-Munition		die	Handwerksplan-Stanza (Teil einer Aktion) für durchbohrende Tryker-Bogengewehr-Munition Flunker		
