*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_0AD18AB0336B16A3	SMTMG	Atysian Magic	a	the	Magic Targeted Missile - Atysian		the	Magic targeted missile - Atysian
_D597B474862DAA66	SMTMB	Celestial Magic	a	the	Magic Targeted Missile - Celestial		the	Magic targeted missile - Celestial
_9F35DAC8D1B51346	SMTO	Offensive Magic	a	the	Magic Targeted Offensive		the	Magic targeted offensive
_CB82E2597BAD9530	SMTOD	Physical Magic	a	the	Magic Targeted Offensive Damage		the	Magic targeted offensive damage
_D9120D1AF3794F37	SMTODP	Piercing Magic	a	the	Magic Targeted Offensive Damage - Piercing		the	Magic targeted offensive damage - piercing
_EF6C9101CB8E8A81	SMTODB	Smashing Magic	a	the	Magic Targeted Offensive Damage - Smashing		the	Magic targeted offensive damage - smashing
_DCA2011974F95F33	SMTODS	Slashing Magic	a	the	Magic Targeted Offensive Damage - Slashing		the	Magic targeted offensive damage - slashing
_4D659DBE77790808	SMTOE	Elemental Magic	a	the	Magic Targeted Offensive Special Damage		the	Magic targeted offensive special damage
_BB60D2172BB08E5E	SMTOEC	Cold Magic	a	the	Magic Targeted Offensive Special Damage - Cold		the	Magic targeted offensive special damage - cold
_BB60C605A570865E	SMTOEA	Acid Magic	a	the	Magic Targeted Offensive Special Damage - Acid		the	Magic targeted offensive special damage - acid
_F1197F29E7259AF6	SMTOER	Rot Magic	a	the	Magic Targeted Offensive Special Damage - Rot		the	Magic targeted offensive special damage - rot
_BB70F21DEA109A5E	SMTOEF	Fire Magic	a	the	Magic Targeted Offensive Special Damage - Fire		the	Magic targeted offensive special damage - fire
_56BE8647C4E9FB22	SMTOES	Shockwave Magic	a	the	Magic Targeted Offensive Special Damage - Shockwave		the	Magic targeted offensive special damage - shockwave
_3067102BE3BA7298	SMTOEP	Poison Magic	a	the	Magic Targeted Offensive Special Damage - Poison		the	Magic targeted offensive special damage - poison
_D21E1B9D6AE6E80B	SMTOEE	Electric Magic	a	the	Magic Targeted Offensive Special Damage - Electric		the	Magic targeted offensive special damage - electric
_98C6999187B46CF5	SMTC	Curative Magic	a	the	Magic Targeted Curative		the	Magic targeted curative
_1C592673394DF112	SMTCH	Healing Magic	a	the	Magic Targeted Curative Heal		the	Magic targeted curative heal
_4DB2CBA23981B32C	SMTCHP	Hp Healing Magic	a	the	Magic Targeted Curative Heal - Hp		the	Magic targeted curative heal - HP
_AB6EC18600125241	SMTCHT	Sta Healing Magic	a	the	Magic Targeted Curative Heal - Sta		the	Magic targeted curative heal - STA
_E66EFD823B120650	SMTCHA	Sap Healing Magic	a	the	Magic Targeted Curative Heal - Sap		the	Magic targeted curative heal - SAP
_A2E1FE031A7E6577	SMTCHC	Focus Healing Magic	a	the	Magic Targeted Curative Heal - Focus		the	Magic targeted curative heal - Focus
_4EB97B460102495E	SMTCB	Break Link	a	the	Magic Targeted Curative Break Link		the	Magic targeted curative break link
_4E2722E946AAA84C	SMTCBD	Break Link Damage	a	the	Magic Targeted Curative Break Link - Damage		the	Magic targeted curative break link - damage
_CAEF0EEFDA4C2F23	SMTCBS	Break Link Sickness	a	the	Magic Targeted Curative Break Link - Sickness		the	Magic targeted curative break link - sickness
_7DF328968C5BD4A4	SMTCBC	Break Link Curse	a	the	Magic Targeted Curative Break Link - Curse		the	Magic targeted curative break link - curse
_EC5CF9A83F99E909	SML	Magic Link	a	the	Magic Link		the	Magic link
_49BFA3207C154396	SMLM	Missile Link	a	the	Magic Link Missile		the	Magic link missile
_A58A9DC6491B4045	SMLMR	Primal Link	a	the	Magic Link Missile - Primal		the	Magic link missile - Primal
_8738348ED5250EB1	SMLMG	Atysian Link	a	the	Magic Link Missile - Atysian		the	Magic link missile - Atysian
_F156BD51B8794EA6	SMLMB	Celestial Link	a	the	Magic Link Missile - Celestial		the	Magic link missile - Celestial
_BCBBCC69BD7DC729	SMLO	Offensive Link	a	the	Magic Link Offensive		the	Magic link offensive
_E3DA23F080A8CD0A	SMLOS	Sickness Link	a	the	Magic Link Offensive Sickness		the	Magic link offensive sickness
_32D62DF15F56B9C9	SMLOSM	Madness Link	a	the	Magic Link Offensive Sickness - Madness		the	Magic link offensive sickness - madness
_A670C9FEE90146B5	SMLOSS	Speed Debuff Link	a	the	Magic Link Offensive Sickness - Speed Debuff		the	Magic link offensive sickness - speed debuff
_8679830685E75B9F	SMLOSR	Resist Debuff Link	a	the	Magic Link Offensive Sickness - Resist Debuff		the	Magic link offensive sickness - resist debuff
_64F0E502A9F152B4	SMLOSK	Skill Debuff Link	a	the	Magic Link Offensive Sickness - Skill Debuff		the	Magic link offensive sickness - skill debuff
_1A9EF2C457E8332F	SMLOC	Curse Link	a	the	Magic Link Offensive Curse		the	Magic link offensive curse
_A24F5221B88715E8	SMLOCI	Incapacity Link	a	the	Magic Link Offensive Curse - Incapacity		the	Magic link offensive curse - incapacity
_7AB2ED7B3CF3A487	SMLOCM	Mental Disturbance Link	a	the	Magic Link Offensive Curse - Mental Disturbance		the	Magic link offensive curse - mental disturbance
_6B2E163F2F56E109	SMLOCS	Misfortune Link	a	the	Magic Link Offensive Curse - Misfortune		the	Magic link offensive curse - misfortune
_71C5EA6113DCAA84	SMLOCH	Hatred Link	a	the	Magic Link Offensive Curse - Hatred		the	Magic link offensive curse - hatred
_AB66F97FAB86DDD9	SMLOD	Physical Link	a	the	Magic Link Offensive Damage		the	Magic link offensive damage
_D4950C23EB04A31B	SMLODP	Piercing Link	a	the	Magic Link Offensive Damage - Piercing		the	Magic link offensive damage - piercing
_9F47423B6AF6526A	SMLODB	Smashing Link	a	the	Magic Link Offensive Damage - Smashing		the	Magic link offensive damage - smashing
_D435281C6C94BB1B	SMLODS	Slashing Link	a	the	Magic Link Offensive Damage - Slashing		the	Magic link offensive damage - slashing
_CB34B9D79534C085	SMLOE	Elemental Link	a	the	Magic Link Offensive Special Damage		the	Magic link offensive special damage
_AC052A0EDC899E4D	SMLOEC	Cold Link	a	the	Magic Link Offensive Special Damage - Cold		the	Magic link offensive special damage - cold
_EB452208D649964D	SMLOEA	Acid Link	a	the	Magic Link Offensive Special Damage - Acid		the	Magic link offensive special damage - acid
_A77ED706553118F2	SMLOER	Rot Link	a	the	Magic Link Offensive Special Damage - Rot		the	Magic link offensive special damage - rot
_2DA53E1ADAE9AA4E	SMLOEF	Fire Link	a	the	Magic Link Offensive Special Damage - Fire		the	Magic link offensive special damage - fire
_AF94EB51965FCCCC	SMLOES	Shockwave Link	a	the	Magic Link Offensive Special Damage - Shockwave		the	Magic link offensive special damage - shockwave
_69AE2994CC81CA3D	SMLOEP	Poison Link	a	the	Magic Link Offensive Special Damage - Poison		the	Magic link offensive special damage - poison
_3A2402E09E2FB9A1	SMLOEE	Electric Link	a	the	Magic Link Offensive Special Damage - Electric		the	Magic link offensive special damage - electric
_FECE980462BC4BE7	SMLC	Curative Link	a	the	Magic Link Curative		the	Magic link curative
_C83E6D3A18979456	SMLCH	Healing Link	a	the	Magic Link Curative Heal		the	Magic link curative heal
_47BAADEFB7F6F387	SMLCHP	Hp Healing Link	a	the	Magic Link Curative Heal - Hp		the	Magic link curative heal - HP
_ED574D3D7E3CE092	SMLCHT	Sta Healing Link	a	the	Magic Link Curative Heal - Sta		the	Magic link curative heal - STA
_ED574D5BB80B9492	SMLCHA	Sap Healing Link	a	the	Magic Link Curative Heal - Sap		the	Magic link curative heal - SAP
_D172319EEB6037EE	SMLCHC	Focus Healing Link	a	the	Magic Link Curative Heal - Focus		the	Magic link curative heal - Focus
_6BE71C3763BAAEC0	SMA	Autonomous Magic	a	the	Magic Autonomous		the	Magic autonomous
_038C64191F38E825	SMAE	Enchantment Magic	a	the	Magic Enchantment		the	Magic enchantment
_11B74DB9C76E41BB	SMAES	Spell Enchantment	a	the	Magic Enchantment - Spell		the	Magic enchantment - spell
_D0178DCBC8BD21B3	SMAEB	Bonus Enchantment	a	the	Magic Enchantment - Bonus		the	Magic enchantment - bonus
_167E0069BBAE1327	SMAP	Potion Making Magic	a	the	Magic Potion Making		the	Magic potion making
_6718E88297C7DCB2	SD	Defense	a	the	Defense		the	Defense
_4FFC1798E127AA6B	SDA	Armor Defense	an	the	Armor Defense		the	Armor defense
_DF268460BB1A8CFA	SDAL	Light Armor Defense	a	the	Light Armor Defense		the	Light armor defense
_2D7B65D65A42F5E0	SDALF	Light Armor Defense - Fyros	a	the	Light Armor Defense - Fyros		the	Light armor defense - Fyros
_424A70D037D0F59E	SDALFA	Advanced Light Armor Defense - Fyros	an	the	Advanced Light Armor Defense - Fyros		the	Advanced light armor defense - Fyros
_112F07890ABFA7C8	SDALFAE	Expert Light Armor Defense - Fyros	an	the	Expert Light Armor Defense - Fyros		the	Expert light armor defense - Fyros
_680B05DD5AE2E5D1	SDALM	Light Armor Defense - Matis	a	the	Light Armor Defense - Matis		the	Light armor defense - Matis
_424A58C6333E2DA5	SDALMA	Advanced Light Armor Defense - Matis	an	the	Advanced Light Armor Defense - Matis		the	Advanced light armor defense - Matis
_524FA790897F4FBE	SDALMAE	Expert Light Armor Defense - Matis	an	the	Expert Light Armor Defense - Matis		the	Expert light armor defense - Matis
_2356288C143BE4EB	SDALT	Light Armor Defense - Tryker	a	the	Light Armor Defense - Tryker		the	Light armor defense - Tryker
_C26B50D37826EDDC	SDALTA	Advanced Light Armor Defense - Tryker	an	the	Advanced Light Armor Defense - Tryker		the	Advanced light armor defense - Tryker
_6BE3C5F35AACE50B	SDALTAE	Expert Light Armor Defense - Tryker	an	the	Expert Light Armor Defense - Tryker		the	Expert light armor defense - Tryker
_2CBC3DEA7929BD66	SDALZ	Light Armor Defense - Zoraï	a	the	Light Armor Defense - Zoraï		the	Light armor defense - Zoraï
_42111CB4B4CF95B2	SDALZA	Advanced Light Armor Defense - Zoraï	an	the	Advanced Light Armor Defense - Zoraï		the	Advanced light armor defense - Zoraï
_932FDF19A6DF7F62	SDALZAE	Expert Light Armor Defense - Zoraï	an	the	Expert Light Armor Defense - Zoraï		the	Expert light armor defense - Zoraï
_D61C242303F92188	SDAM	Medium Armor Defense	a	the	Medium Armor Defense		the	Medium armor defense
_1A170B6E81DBBC62	SDAMF	Medium Armor Defense - Fyros	a	the	Medium Armor Defense - Fyros		the	Medium armor defense - Fyros
_F68480577D8A9159	SDAMFA	Advanced Medium Armor Defense - Fyros	an	the	Advanced Medium Armor Defense - Fyros		the	Advanced medium armor defense - Fyros
_4874F6C7BF6EF50E	SDAMFAE	Expert Medium Armor Defense - Fyros	an	the	Expert Medium Armor Defense - Fyros		the	Expert medium armor defense - Fyros
_DC170B6E7FBB045F	SDAMM	Medium Armor Defense - Matis	a	the	Medium Armor Defense - Matis		the	Medium armor defense - Matis
_F4C4A86777FA9160	SDAMMA	Advanced Medium Armor Defense - Matis	an	the	Advanced Medium Armor Defense - Matis		the	Advanced medium armor defense - Matis
_0A74F6BBC10C35FD	SDAMMAE	Expert Medium Armor Defense - Matis	an	the	Expert Medium Armor Defense - Matis		the	Expert medium armor defense - Matis
_741CDF5A04996489	SDAMT	Medium Armor Defense - Tryker	a	the	Medium Armor Defense - Tryker		the	Medium armor defense - Tryker
_83FA0DBB35258259	SDAMTA	Advanced Medium Armor Defense - Tryker	an	the	Advanced Medium Armor Defense - Tryker		the	Advanced medium armor defense - Tryker
_C3346CA341E7BBD8	SDAMTAE	Expert Medium Armor Defense - Tryker	an	the	Expert Medium Armor Defense - Tryker		the	Expert medium armor defense - Tryker
_1F170B669AFB6C94	SDAMZ	Medium Armor Defense - Zoraï	a	the	Medium Armor Defense - Zoraï		the	Medium armor defense - Zoraï
_F04BF87FFACB9165	SDAMZA	Advanced Medium Armor Defense - Zoraï	an	the	Advanced Medium Armor Defense - Zoraï		the	Advanced medium armor defense - Zoraï
_4D74DAABDE4C9518	SDAMZAE	Expert Medium Armor Defense - Zoraï	an	the	Expert Medium Armor Defense - Zoraï		the	Expert medium armor defense - Zoraï
_C81EA8146FAB1164	SDAH	Heavy Armor Defense	an	the	Heavy Armor Defense		the	Heavy armor defense
_9C2AE8720C3C7CD2	SDAHF	Heavy Armor Defense - Fyros	an	the	Heavy Armor Defense - Fyros		the	Heavy armor defense - Fyros
_FAA6706A7B6C7958	SDAHFA	Advanced Heavy Armor Defense - Fyros	an	the	Advanced Heavy Armor Defense - Fyros		the	Advanced Heavy armor defense - Fyros
_8B14F2DC482F4106	SDAHFAE	Expert Heavy Armor Defense - Fyros	an	the	Expert Heavy Armor Defense - Fyros		the	Expert Heavy armor defense - Fyros
_9C2AE86C8BFBD8E7	SDAHM	Heavy Armor Defense - Matis	an	the	Heavy Armor Defense - Matis		the	Heavy armor defense - Matis
_F8E6987A75DC795F	SDAHMA	Advanced Heavy Armor Defense - Matis	an	the	Advanced Heavy Armor Defense - Matis		the	Advanced Heavy armor defense - Matis
_4D14F2D04ACD81F5	SDAHMAE	Expert Heavy Armor Defense - Matis	an	the	Expert Heavy Armor Defense - Matis		the	Expert Heavy armor defense - Matis
_A6DB938C7108A861	SDAHT	Heavy Armor Defense - Tryker	an	the	Heavy Armor Defense - Tryker		the	Heavy armor defense - Tryker
_443A3DD534B5A27F	SDAHTA	Advanced Heavy Armor Defense - Tryker	an	the	Advanced Heavy Armor Defense - Tryker		the	Advanced Heavy armor defense - Tryker
_45947CCEC9E7BBDF	SDAHTAE	Expert Heavy Armor Defense - Tryker	an	the	Expert Heavy Armor Defense - Tryker		the	Expert Heavy armor defense - Tryker
_9C2ADA5C069B7C0E	SDAHZ	Heavy Armor Defense - Zoraï	an	the	Heavy Armor Defense - Zoraï		the	Heavy armor defense - Zoraï
_F46DE892F8AD7964	SDAHZA	Advanced Heavy Armor Defense - Zoraï	an	the	Advanced Heavy Armor Defense - Zoraï		the	Advanced Heavy armor defense - Zoraï
_9014D6C0670DE110	SDAHZAE	Expert Heavy Armor Defense - Zoraï	an	the	Expert Heavy Armor Defense - Zoraï		the	Expert Heavy armor defense - Zoraï
_DE5BE2BD5DB3421F	SDS	Shield Defense	a	the	Shield Defense		the	Shield defense
_765F9EF3CB6EFB1B	SDSB	Shield Buckler Defense 	a	the	Shield Buckler Defense 		the	Shield buckler defense 
_D6918DC8D2A6E50E	SDSBF	Shield Buckler Defense - Fyros	a	the	Shield Buckler Defense - Fyros		the	Shield buckler defense - Fyros
_D06E36DA1636349A	SDSBFA	Advanced Shield Buckler Defense - Fyros	an	the	Advanced Shield Buckler Defense - Fyros		the	Advanced shield buckler defense - Fyros
_A4548421A96216AB	SDSBFAE	Expert Shield Buckler Defense - Fyros	an	the	Expert Shield Buckler Defense - Fyros		the	Expert shield buckler defense - Fyros
_D63031D1CC16E50F	SDSBM	Shield Buckler Defense - Matis	a	the	Shield Buckler Defense - Matis		the	Shield buckler defense - Matis
_4F8EBEE38FC6D4A8	SDSBMA	Advanced Shield Buckler Defense - Matis	an	the	Advanced Shield Buckler Defense - Matis		the	Advanced shield buckler defense - Matis
_A6F2C4096B6216A6	SDSBMAE	Expert Shield Buckler Defense - Matis	an	the	Expert Shield Buckler Defense - Matis		the	Expert shield buckler defense - Matis
_51FB4C9202237002	SDSBT	Shield Buckler Defense - Tryker	a	the	Shield Buckler Defense - Tryker		the	Shield buckler defense - Tryker
_05FC35CF099D3F97	SDSBTA	Advanced Shield Buckler Defense - Tryker	an	the	Advanced Shield Buckler Defense - Tryker		the	Advanced shield buckler defense - Tryker
_CB8BF1ABE2BFD2E5	SDSBTAE	Expert Shield Buckler Defense - Tryker	an	the	Expert Shield Buckler Defense - Tryker		the	Expert shield buckler defense - Tryker
_53B77DDC4FE7D790	SDSBZ	Shield Buckler Defense - Zoraï	a	the	Shield Buckler Defense - Zoraï		the	Shield buckler defense - Zoraï
_4D35D66A10770C3E	SDSBZA	Advanced Shield Buckler Defense - Zoraï	an	the	Advanced Shield Buckler Defense - Zoraï		the	Advanced shield buckler defense - Zoraï
_C3322417AE62FAA3	SDSBZAE	Expert Shield Buckler Defense - Zoraï	an	the	Expert Shield Buckler Defense - Zoraï		the	Expert shield buckler defense - Zoraï
_67D57F922370122A	SDSS	Shield Large Shield Defense	a	the	Shield Large Shield Defense		the	Shield large shield defense
_2D903077B65FB8FE	SDSSF	Shield Large Shield Defense - Fyros	a	the	Shield Large Shield Defense - Fyros		the	Shield large shield defense - Fyros
_A76C030C3EAC0B24	SDSSFA	Advanced Shield Large Shield Defense - Fyros	an	the	Advanced Shield Large Shield Defense - Fyros		the	Advanced shield large shield defense - Fyros
_25537D6D6A2E3EAD	SDSSFAE	Expert Shield Large Shield Defense - Fyros	an	the	Expert Shield Large Shield Defense - Fyros		the	Expert shield large shield defense - Fyros
_6820D07EB6FFA8EF	SDSSM	Shield Large Shield Defense - Matis	a	the	Shield Large Shield Defense - Matis		the	Shield large shield defense - Matis
_A76CEB023A1A432B	SDSSMA	Advanced Shield Large Shield Defense - Matis	an	the	Advanced Shield Large Shield Defense - Matis		the	Advanced shield large shield defense - Matis
_66731D74E9EEE6A3	SDSSMAE	Expert Shield Large Shield Defense - Matis	an	the	Expert Shield Large Shield Defense - Matis		the	Expert shield large shield defense - Matis
_51DFC6685ABE9F11	SDSST	Shield Large Shield Defense - Tryker	a	the	Shield Large Shield Defense - Tryker		the	Shield large shield defense - Tryker
_3780BF0723514957	SDSSTA	Advanced Shield Large Shield Defense - Tryker	an	the	Advanced Shield Large Shield Defense - Tryker		the	Advanced shield large shield defense - Tryker
_DF78B5C12A6FB8B9	SDSSTAE	Expert Shield Large Shield Defense - Tryker	an	the	Expert Shield Large Shield Defense - Tryker		the	Expert shield large shield defense - Tryker
_2CD1088BD5468084	SDSSZ	Shield Large Shield Defense - Zoraï	a	the	Shield Large Shield Defense - Zoraï		the	Shield large shield defense - Zoraï
_A733AFF0BBABAB38	SDSSZA	Advanced Shield Large Shield Defense - Zoraï	an	the	Advanced Shield Large Shield Defense - Zoraï		the	Advanced shield large shield defense - Zoraï
_A75355FD064E1647	SDSSZAE	Expert Shield Large Shield Defense - Zoraï	an	the	Expert Shield Large Shield Defense - Zoraï		the	Expert shield large shield defense - Zoraï
_ECFEE2CD5824CE24	SDD	Defense Dodge	a	the	Defense Dodge		the	Defense dodge
_345CCA3A35B86265	SDDA	Standard Defense Dodge	an	the	Standard Defense Dodge		the	Advanced defense dodge
_B2FE7E9B64E30817	SDDAT	Advanced Defense Dodge	a	the	Advanced Defense Dodge		the	Technical advanced defense dodge
_BAFC02FA96146BE4	SDDATM	Expert Defense Dodge	a	the	Expert Defense Dodge		the	Mastery defense dodge
_04C01121C4A4DC3F	SDDATME	Master Defense Dodge	an	the	Master Defense Dodge		the	Expert advanced defense dodge
_97F03668731C6899	uknown	Unknown Skill			Unknown Skill			Unknown Skill
_CDE48A297AAB6A68	Unknown	Unknown Skill			Unknown Skill			Unknown Skill
_E869049E9CF76CBE	SH	Harvest	a	the	Harvest		the	Harvest
_D877C88BA9F6CC7D	SHF	Forage	a	the	Forages			
_4CF4D9F7265A5C80	SHFF	Forest Forage	a	the	Forest Forages			
_2C7A6BC005402574	SHFFA	Advanced Forest Forage	an	the	Advanced Forest Forages			
_F8560FCB24E256B5	SHFFAE	Expert Forest Forage	an	the	Expert Forest Forages			
_D50C1FBB94E2E8D9	SHFFAEM	Master Forest Forage	a	the	Master Forest Forages			
_CCF4D5F666CA2C7E	SHFD	Desert Forage	a	the	Desert Forages			
_AC7A43BF83202573	SHFDA	Advanced Desert Forage	an	the	Advanced Desert Forages			
_785607CBA4A246B5	SHFDAE	Expert Desert Forage	an	the	Expert Desert Forages			
_55EC1FBD90A2E8D9	SHFDAEM	Master Desert Forage	a	the	Master Desert Forages			
_4D0381F2A57A8484	SHFJ	Jungle Forage	a	the	Jungle Forages			
_E9C88BC08780E96D	SHFJA	Advanced Jungle Forage	an	the	Advanced Jungle Forages			
_F974D7CF22A476B5	SHFJAE	Expert Jungle Forage	an	the	Expert Jungle Forages			
_4E2A2FB39862E8D9	SHFJAEM	Master Jungle Forage	a	the	Master Jungle Forages			
_1AD7184DCB976475	SHFL	Lake Forage	a	the	Lake Forages			
_111B42B59C449C4C	SHFLA	Advanced Lake Forage	an	the	Advanced Lake Forages			
_D7A09561B23D6EE0	SHFLAE	Expert Lake Forage	an	the	Expert Lake Forages			
_C3113618B9D2B554	SHFLAEM	Master Lake Forage	a	the	Master Lake Forages			
_5923356A639F6402	SHFP	Prime Root Forage	a	the	Prime Root Forages			
_FA2A9BEC3DE473BA	SHFPA	Advanced Prime Root Forage	an	the	Advanced Prime Root Forages			
_CC4C471C2B2A2685	SHFPAE	Expert Prime Root Forage	an	the	Expert Prime Root Forages			
_79FB4FE57456CE2F	SHFPAEM	Master Prime Root Forage	a	the	Expert Prime Root Forages			
_BA3D57D26A7885B0	SMTOECA	Advanced Cold Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Cold		the	Advanced Magic Targeted Offensive special Damage - Cold
_AFEDA7D06A484DAB	SMTOEAA	Advanced Acid Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Acid		the	Advanced Magic Targeted Offensive Special Damage - Acid
_01CD9DBDADC47BC9	SMTOERA	Advanced Rot Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Rot		the	Advanced Magic Targeted Offensive Special Damage - Rot
_71CEBFD5AAD97DB9	SMTOEFA	Advanced Fire Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Fire		the	Advanced Magic Targeted Offensive Special Damage - Fire
_318D06154CC1104A	SMTOESA	Advanced Shockwave Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Shockwave		the	Advanced Magic Targeted Offensive Special Damage - Shockwave
_73261D03FCFBFD13	SMTOEPA	Advanced Poison Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Poison		the	Advanced Magic Targeted Offensive Special Damage - Poison
_E6D785444091E28C	SMTOEEA	Advanced Electric Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Electric		the	Advanced Magic Targeted Offensive Special Damage - Electric
_D7E662B1D5A77148	SMTCHPA	Advanced Hp Healing Magic	an	the	Advanced Magic Targeted Curative Heal - Hp		the	Advanced Magic Targeted Curative Heal - HP
_F3F803579301E2AC	SMTCHTA	Advanced Stamina Healing Magic	an	the	Advanced Magic Targeted Curative Heal - Sta		the	Advanced Magic Targeted Curative Heal - STA
_F3E9B766CEF24AAC	SMTCHAA	Advanced Sap Healing Magic	an	the	Advanced Magic Targeted Curative Heal - Sap		the	Advanced Magic Targeted Curative Heal - SAP
_E9A9A59BE96CEC2F	SMTCHCA	Advanced Focus Healing Magic	an	the	Advanced Magic Targeted Curative Heal - Focus		the	Advanced Magic Targeted Curative Heal - Focus
_5E798E3F74FE345E	SMLOSMA	Advanced Madness Link	an	the	Advanced Magic Link Offensive Sickness - Madness		the	Advanced Magic Link Offensive Sickness - Madness
_26EEA5D39E743F06	SMLOSSA	Advanced Speed Debuff Link	an	the	Advanced Magic Link Offensive Sickness - Speed Debuff		the	Advanced Magic Link Offensive Sickness - Speed Debuff
_5172DB6301F6E8D5	SMLOCIA	Advanced Incapacity Link	an	the	Advanced Magic Link Offensive Curse - Incapacity		the	Advanced Magic Link Offensive Curse - Incapacity
_9163A3774C6560F0	SMLOCSA	Advanced Misfortune Link	an	the	Advanced Magic Link Offensive Curse - Misfortune		the	Advanced Magic Link Offensive Curse - Misfortune
_6AD31D5BA8BF214B	SMLOECA	Advanced Cold Link	an	the	Advanced Magic Link Offensive Special Damage - Cold		the	Advanced Magic Link Offensive Special Damage - Cold
_EAA3ED59E7FF053F	SMLOEAA	Advanced Acid Link	an	the	Advanced Magic Link Offensive Special Damage - Acid		the	Advanced Magic Link Offensive Special Damage - Acid
_A7C460984F98020C	SMLOERA	Advanced Rot Link	an	the	Advanced Magic Link Offensive Special Damage - Rot		the	Advanced Magic Link Offensive Special Damage - Rot
_6B34055F296F5145	SMLOEFA	Advanced Fire Link	an	the	Advanced Magic Link Offensive Special Damage - Fire		the	Advanced Magic Link Offensive Special Damage - Fire
_D4F777BB9FE1FFC6	SMLOESA	Advanced Shockwave Link	an	the	Advanced Magic Link Offensive Special Damage - Shockwave		the	Advanced Magic Link Offensive Special Damage - Shockwave
_663E8A6237DAFF8F	SMLOEPA	Advanced Poison Link	an	the	Advanced Magic Link Offensive Special Damage - Poison		the	Advanced Magic Link Offensive Special Damage - Poison
_F03F1412EF9651DB	SMLOEEA	Advanced Electric Link	an	the	Advanced Magic Link Offensive Special Damage - Electric		the	Advanced Magic Link Offensive Special Damage - Electric
_6E57968BCB587F8E	SMD	Defensive Magic	a	the	Defensive Magic		the	Defensive Magic
_77BA81F88554AE82	SMDA	Defensive Affliction	a	the	Defensive Affliction		the	Standard Defensive Affliction
_8BE8FBCCF2B753CD	SMDAA	Advanced Defensive Affliction	an	the	Advanced Defensive Affliction		the	Advanced Defensive Affliction
_EF9774F6512DD4CE	SMDAAE	Expert Defensive Affliction	an	the	Expert Defensive Affliction		the	Expert Defensive Affliction
_ED65F0BA7B50E721	SMDAAEM	Master Defensive Affliction	a	the	Master Defensive Affliction		the	Master Defensive Affliction
_397B66BC32CD0D7C	SMDH	Standard Healing Magic	a	the	Standard Healing Magic		the	Standard Healing Magic
_35B7302DA7A9A4E6	SMDHA	Advanced Healing Magic	an	the	Advanced Healing Magic		the	Advanced Healing Magic
_ED96DA1DA02EF778	SMDHAE	Expert Healing Magic	an	the	Expert Healing Magic		the	Expert Healing Magic
_E4A67EED911AA10F	SMDHAEM	Master Healing Magic	a	the	Master Healing Magic		the	Master Healing Magic
_27450790EC3DF79C	SMO	Offensive Magic	an	the	Offensive Magic		the	Offensive Magic
_776A81F805C4DA82	SMOA	Offensive Affliction	a	the	Offensive Affliction		the	Standard Offensive Affliction
_8B9803E2326753CD	SMOAA	Advanced Offensive Affliction	an	the	Advanced Offensive Affliction		the	Advanced Offensive Affliction
_B14774F6514D2CCF	SMOAAE	Expert Offensive Affliction	an	the	Expert Offensive Affliction		the	Expert Offensive Affliction
_AF15F0BABB101322	SMOAAEM	Master Offensive Affliction	a	the	Master Offensive Affliction		the	Master Offensive Affliction
_DA8E4BFA7A17D58C	SMOE	Elemental Magic	a	the	Elemental Magic		the	Standard Elemental Magic
_8C6B9F1DA778E81E	SMOEA	Advanced Elemental Magic	an	the	Advanced Elemental Magic		the	Advanced Elemental Magic
_FC649D9073CA8292	SMOEAE	Expert Elemental Magic	an	the	Expert Elemental Magic		the	Expert Elemental Magic
_32E3FD659EAB950B	SMOEAEM	Master Elemental Magic	a	the	Master Elemental Magic		the	Master Elemental Magic
_B93945D8AB4CE8F7	SMS	Self Magic	a	the	Self Magic		the	Self Magic
_83F4433CC9AD94E4	SMSS	Standard Self Magic	a	the	Standard Self Magic		the	Standard Self Magic
_779EFD45D0FE3F50	SMSSA	Advanced Self Magic	an	the	Advanced Self Magic		the	Advanced Self Magic
_319B0363794BC094	SMSSAE	Expert Self Magic	an	the	Expert Self Magic		the	Expert Self Magic
_2C19F048303A87DB	SMSSAEM	Master Self Magic	a	the	Master Self Magic		the	Master Self Magic
_DC262CA3A8C7EC7E	SF	Fight	a	the	Fight		the	
_9FB46C21D748E8AD	SFM	Melee Fight	a	the	Melee Fights		the	
_B85B2AD2782EBD1F	SFM1	1 Handed Melee Fight	a	the	1 Handed Melee Fights		the	
_AFBF2433BF019904	SFM1B	1 Handed Melee Smashing	a	the	1 Handed Melee Smashings		the	
_D94507669A13E45F	SFM1BM	Mace	a	the	Maces		the	
_73DA5D3CEA2FF9DB	SFM1BME	Electric Mace	an	the	Electric Maces		the	
_B70D1DEFDB927F3C	SFM1BMM	Master Mace	a	the	Master Maces		the	
_8974507B67460C6B	SFM1BS	Staff	a	the	Staffs		the	
_732EE5D7E0948302	SFM1BSM	Master Staff	a	the	Master Staffs		the	
