*HASH_VALUE	item ID	name	ia	da	p	pia	pda	descripción
_624EFE088C452249	tp_kami_the_sunken_city	Pacto Teletransportador Kami para la Cuidad Sumergida	un	el	Pactos Teletransportadores Kami para la Ciudad Sumergida		los	
_F0FD4F5D6DB18EF2	tp_kami_the_under_spring_fyros	Pacto Teletransportador Kami para Bajo la Primavera	un	el	Pactos Teletransportadores Kami para Bajo la Primavera		los	
_8F9752A8F2216D11	tp_kami_the_under_spring_zorai	Pacto Teletransportador Kami para el Túnel desde Bajo la Primavera hasta Zoraï	un	el	Pactos Teletransportadores Kami para el Túnel desde Bajo la Primavera hasta Zoraï		los	
_E4252656D1CFF737	tp_kami_the_windy_gate	Pacto Teletransportador Kami para Puerta del Viento	un	el	Pactos Teletransportadores Kami para Puerta del Viento		los	
_D345809D7F72628F	tp_kami_thefount	Pacto Teletransportador Kami para Fuente	un	el	Pactos Teletransportadores Kami para Fuente		los	
_5A43010A85700162	tp_kami_thesavagedunes	Pacto Teletransportador Kami para las Dunas Salvajes	un	el	Pactos Teletransportadores Kami para las Dunas Salvajes		los	
_2DB5C740D1B30828	tp_kami_thescorchedcorridor	Pacto Teletransportador Kami para el Corredor Quemado	un	el	Pactos Teletransportadores Kami para el Corredor Quemado		los	
_1488D3623BC2B440	tp_kami_thesos	Pacto Teletransportador Kami para Thesos	un	el	Pactos Teletransportadores Kami para Thesos		los	
_DE73B9C07EF10E20	tp_kami_thevoid	Pacto Teletransportador Kami para el Vacio 	un	el	Pactos Teletransportadores Kami para el Vacio		los	
_A7281073AE5B8903	tp_kami_upperbog	Pacto Teletransportador al Pantano Superior	un	el	Pactos Teletransportador al Pantano Superior		los	
_29CD5FDAEAADA30A	tp_kami_windermeer	Pacto Teletransportador para Windermeer	un	el	Pactos Teletransportadores para Windermeer		los	
_B077FF5C3F2E7571	tp_kami_windsofmuse	Pacto Teletransportador para Vientos de la Musa	un	el	Pactos Teletransportadores para Vientos de la Musa		los	
_6E0FA32651741F22	tp_kami_yrkanis	Pacto Teletransportador para Yrkanis	un	el	Pactos Teletransportadores para Yrkanis		los	
_B68969C12AC34A49	tp_kami_zora	Pacto Teletransportador para Zora	un	el	Pactos Teletransportadores para Zora		los	
_CE931FA5D6FA8BE2	tp_kami_zorai_nland	Pacto Teletransportador para la Isla Zoraï	un	el	Pactos Teletransportadores para la Isla Zoraï 		los	
_18A8F75904713F5A	tp_karavan_avalae	Pacto Teletransportador Karavan para Avalae	un	el	Pactos Teletransportadores Karavan para Avalae		los	
_07F3813BE1230EE1	tp_karavan_avendale	Pacto Teletransportador Karavan para Avendale	un	el	Pactos Teletransportadores Karavan para Avendale		los	
_919ECAEAD4F065AD	tp_karavan_bountybeaches	Pacto Teletransportador Karavan para las Playas de la Recompensa	un	el	Pactos Teletransportadores Karavan para las Playas de la Recompensa		los	
_492D1C48EBA099BC	tp_karavan_crystabell	Pacto Teletransportador Karavan para Crystabell	un	el	Pactos Teletransportadores Karavan para Crystabell		los	
_86CDD39432360E2F	tp_karavan_davae	Pacto Teletransportador Karavan para Davae	un	el	Pactos Teletransportadores Karavan para Davae		los	
_2EE5E91473E2B388	tp_karavan_dewdrops	Pacto Teletransportador Karavan para Gotas de Rocío 	un	el	Pactos Teletransportadores Karavan para Gotas de Rocío 		los	
_B198CAACFA1F0CFD	tp_karavan_dunesofexil	Pacto Teletransportador Karavan para las Dunas del Exilio 	un	el	Pactos Teletransportadores Karavan para las Dunas del Exilio 		los	
_8CCDD39DF7669643	tp_karavan_dyron	Pacto Teletransportador Karavan para Dyron	un	el	Pactos Teletransportadores Karavan para Dyron		los	
_5D15FFBACA8E9072	tp_karavan_enchantedisle	Pacto Teletransportador Karavan para la Isla Encantada	un	el	Pactos Teletransportadore Karavan para la Isla Encantada		los	
_BAFD602FCF3984D1	tp_karavan_fairhaven	Pacto Teletransportador Karavan para Fairhaven	un	el	Pactos Teletransportadores Karavan para Fairhaven		los	
_74A61F322398B96E	tp_karavan_fleetinggarden	Pacto Teletransportador Karavan para el Jardín Pasajero	un	el	Pactos Teletransportadores Karavan para el Jardín Pasajero		los	
_75AA5BE63C79B759	tp_karavan_forbidden_depths	Pacto Teletransportador Karavan para las Profundidades Prohibidas	un	el	Pactos Teletransportadores Karavan para las Profundidades Prohibidas		los	
_D81004E1851E5252	tp_karavan_frahartowers	Pacto Teletransportdor Karavan para las Torres de Frahar	un	el	Pactos Teletransportadores Karavan para las Torres de Frahar		los	
_EDC412A6CE5FF074	tp_karavan_gate_of_obscurity	Pacto Teletransportador Karavan para la Puerta de la Oscuridad	un	el	Pactos Teletransportadores Karavan para las Puertas de la Oscuridad		los	
_CE93FF6D964E323B	tp_karavan_groveofconfusion	Pacto Teletransportador Karavan para el Bosque de la Confusión 	un	el	Pactos Teletransportadores Karavan para el Bosque de la Confusión 		los	
_576FF1D7BEE10977	tp_karavan_groveofumbra	Pacto Teletransportador Karavan para el Bosque de las Sombras	un	el	Pactos Teletransportadores Karavan para el Bosque de las Sombras		los	
_DEB90CFAF5592B5A	tp_karavan_havenofpurity	Pacto Teletransportador Karavan para el Refugio de la Pureza	un	el	Pactos Teletransportadores Karavan para el Refugio de la Pureza		los	
_FBC7D21AB242ED01	tp_karavan_hereticshovel	Pacto Teletransportador Karavan para la Cabaña del Hereje	un	el	Pactos Teletransportadores Karavan para la Cabaña del Hereje		los	
_5E4F08D8048B3A38	tp_karavan_hiddensource	Pacto Teletransportador Karavan para la Fuente Oculta	un	el	Pactos Teletransportadores Karavan para la Fuente Oculta		los	
_EA0003DBFDA63EA6	tp_karavan_hoi_cho	Pacto Teletransportador Karavan para Hoï-Cho	un	el	Pactos Teletransportadores Karavan para Hoï-Cho		los	
_E620EBD23CE6529C	tp_karavan_jen_lai	Pacto Teletransportador Karavan para Jen-Laï	un	el	Pactos Teletransportador Karavan para Jen-Laï		los	
_DA074EF41024ADB7	tp_karavan_knollofdissent	Pacto Teletransportador Karavan para el Monte de la Disidencia	un	el	Pactos Teletransportadores Karavan para el Monte de la Disidencia		los	
_EFE7E9D6D8EAC542	tp_karavan_knotofdementia	Pacto Teletransportador Karavan para el Nudo de la Demencia	un	el	Pactos Teletransportadores Karavan para el Nudo de la Demencia		los	
_F05BEE6B807B5949	tp_karavan_lagoonsofloria	Pacto Teletransportador para las Lagunas de Loria	un	el	Pactos Teletransportadores Karavan para las Lagunas de Loria		los	
_AA7D405FD07733AE	tp_karavan_maidengrove	Pacto Teletransportador Karavan para el Bosque de las Doncellas	un	el	Pactos Teletransportadores Karavan para el Bosque de las Doncellas		los	
_B4C8033D6438055B	tp_karavan_majesticgarden	Pacto Teletransportador Karavan para el Jardín Majestuoso	un	el	Pactos Teletransportadores Karavan para el Jardín Majestuoso		los	
_27FB186B3F6B105B	tp_karavan_matis_nland	Pacto Teletransportador Karavan para la Isla Matis	un	el	Pactos Teletransportadores Karavan para la Isla Matis		los	
_2B0003D9FB4652A0	tp_karavan_min_cho	Pacto Teletransportador Karavan para Min-Cho	un	el	Pactos Teletransportadores Karavan para Min-Cho		los	
_086DD39432160637	tp_karavan_natae	Pacto Teletransportador Karavan para Natae	un	el	Pactos Teletransportadores Karavan para Natae		los	
_57C567996B776D11	tp_karavan_nexus_bagne	Pacto Teletransportador Karavan para Nexus	un	el	Pactos Teletransportadores Karavan para Nexus		los	
_84E2F8B6D5DE361C	tp_karavan_nexus_route_gouffre	Pacto Teletransportador Karavan para el Túnel de Nexus a las Tierras de la Sombras	un	el	Pactos Teletransportadores Karavan para el Tuen de Nexus a las Tierras de las Sombras		los	
_1A05AF996B776D15	tp_karavan_nexus_terre	Pacto Teletransportador Karavan para Nexus	un	el	Pactos Teletransportadores Karavan para Nexus		los	
_7DA9D210F140D102	tp_karavan_oflovaksoasis	Pacto Teletransportador Karavan para el Oasis de Oflovak	un	el	Pactos Teletransportadores Karavan para el Oasis de Oflovak		los	
_61BEACDA446C1A64	tp_karavan_outlawcanyon	Pacto Teletransportador Karavan para el Canon de los Forajidos	un	el	Pactos Teletransportadores Karavan para el Canon de los Forajidos		los	
_52F2B92391598728	tp_karavan_pyr	Pacto Teletransportador Karavan para Pyr	un	el	Pactos Teletransportadores Karavan para Pyr		los	
_9B1CBDA51A7E0630	tp_karavan_restingwater	Pacto Teletransportador Karavan para Aguas en Reposo	un	el	Pactos Teletransportadores Karavan para Aguas en Reposo		los	
_1ABB01AFA4DD421A	tp_karavan_sawdustmines	Pacto Teletransportador Karavan para las Minas de Aserrín	un	el	Pactos Teletransportadores Karavan para las Minas de Aserrín 		los	
_7C0C573AE515763E	tp_karavan_the_abyss_of_ichor_matis	Pacto Teletransportador Karavan para el Abismo de Ichor	un	el	Pactos Teletransportares Karavan para las Minas de Aserrín		los	
_ACEF6B89EFF683D2	tp_karavan_the_abyss_of_ichor_nexus	Pacto Teletransportador Karavan para el Túnel desde el Abismo de Ichor a Nexus	un	el	Pactos Teletransportadores Karavan para el Túnel desde el Abismo de Ichor a Nexus		los	
_D9039F4C550E0C9E	tp_karavan_the_elusive_forest	Pacto Teletransportador Karavan para el Bosque Esquivo	un	el	Pactos Teletransportador Karavan para el Bosque Esquivo		los	
_7A4E851C0223ECBD	tp_karavan_the_land_of_continuity	Pacto Teletransportador Karavan para la Tierra de la Continuidad	un	el	Pactos Teletransportadores Karavan para la Tierra de la Continuidad		los	
_06E496880F0E05FD	tp_karavan_the_sunken_city	Pacto Teletransportador Karavan para la Ciudad Sumergida	un	el	Pactos Teletransportadores Karavan para la Ciudad Sumergida		los	
_050611BD5ADED3E5	tp_karavan_the_trench_of_trials_tryker	Pacto Teletransportador Karavan del Túnel desde la Trinchera de las Pruebas a Tryker	un	el	Pactos Teletransportadores Karavan del Túnel desde la Trinchera de las Pruebas a Tryker		los	
_6F04544CB4227F19	tp_karavan_the_trench_of_trials_zorai	Pacto Teletransportador Karavan para la Trinchera de las Pruebas	un	el	Pactos Teletransportadores Karavan para la Trinchera de las Pruebas		los	
_083062EC9C411FEA	tp_karavan_the_under_spring_fyros	Pacto Teletransportador Karavan para Bajo la Primavera	un	el	Pactos Teletransportadores Karavan para Bajo la Primavera		los	
_D580AC75A4B84EC1	tp_karavan_the_under_spring_zorai	Pacto Teletransportador Karavan del Tuenel desde Bajo la Primavera hasta Zoraï	un	el	Pactos Teletransportadores Karavan desde Bajo la Primavera hasta Zoraï		los	
_EF6AFE41BD8BE5BB	tp_karavan_the_windy_gate	Pacto Teletransportador Karavan para la Puerta del Viento	un	el	Pactos Teletransportadores Karavan para la Puerta del Viento		los	
_2E255D1B81B08B88	tp_karavan_thefount	Pacto Teletransportador Karavan para la Fuente	un	el	Pactos Teletransportadores Karavan para la Fuente		los	
_2E6AF12CFEDE369A	tp_karavan_thesavagedunes	Pacto Teletransportador Karavan para las Dunas Salvajes	un	el	Pactos Teletransportadores Karavan para las Dunas Salvajes		los	
_07A654F422A079A2	tp_karavan_thescorchedcorridor	Pacto Teletransportador Karavan para el Corredor Quemado	un	el	Pactos Teletransportadores Karavan para el Corredor Quemado		los	
_DD89677C4941635F	tp_karavan_thesos	Pacto Teletransportador Karavan para Thesos	un	el	Pactos Teletransportadores Karavan para Thesos		los	
_75573983FF2A937E	tp_karavan_thevoid	Pacto Teletransportador Karavan para el Vacio 	un	el	Pactos Teletransportadores Karavan para el Vacio		los	
_3C29DD1169BC9B86	tp_karavan_upperbog	Pacto Teletransportador Karavan para el Pantano Superior	un	el	Pactos Teletransportadores Karavan para el Pantano Superior		los	
_C9ADC04A270F25B7	tp_karavan_windermeer	Pacto Teletransportador Karavan para Windemeer	un	el	Pactos Teletransportadores Karavan para Windemeer		los	
_09CE55410CB24EEA	tp_karavan_windsofmuse	Pacto Teletransportador Karavan para los Vientos de la Musa	un	el	Pactos Teletransportadores Karavan para los Vientos de la Musa		los	
_AE64B5D442E946B1	tp_karavan_yrkanis	Pacto Teletransportador Karavan para Yrkanis	un	el	Pactos Teletransportadores Karavan para Yrkanis		los	
_BF5AEE7DE77B0684	tp_karavan_zora	Pacto Teletransportador Karavn para Zora	un	el	Pactos Teletransportadores Karavan para Zoraar		los	
_269542E4564A0009	tr_armor01_armpad	Mangas de Armadura Tryker	unas	la	Mangas de Armadura Tryker		las	Mangas de Armadura Tryker
_6679BD9E1C75C420	tr_armor01_bottes	Botas de Armadura Tryker	unas	la	Botas de Armadura Tryker		las	Botas de Armadura Tryker
_19FD0CA86C30E961	tr_armor01_gilet	Chaleco de Armadura Tryker	un	el	Chalecos de Armadura Tryker		los	Chaleco de Armadura Tryker
_E18329C8B0DD09BC	tr_armor01_hand	Guantes de Armadura Tryker	un	el	Guantes de Armadura Tryker		los	Guantes de Armadura Tryker
_353A50532AECD6BE	tr_armor01_pantabotte	Pantalones de Armadura Tryker	unos	el	Pantalones de Armadura Tryker		los	Pantalones de Armadura Tryker
_DD8801867AAB9510	tr_cheveux_long01	Cabello Largo Tryker	un	el	Cabellos Largos Tryker		los	Caballo Largo Tryker
_00256400F38CF4FD	tr_cheveux_medium01	Cabello Mediano Tryker	un	el	Cabellos Medianos Tryker		los	Cabello Mediano Tryker
_004B19A91A3B6E7F	tr_cheveux_shave01	Cabello Rapado Tryker	un	el	Cabellos Rapados Tryker		los	Cabello Rapado Tryker
_B138A14DA24291CF	tr_cheveux_short01	Cabello Corto Tryker	un	el	Cabellos Cortos Tryker		los	Cabello Corto Tryker
_447A177EFC059053	tr_civil01_armpad	Mangas Tryker	unas	la	Mangas Tryker		las	Mangas Tryker
_1C022FC387FAF3F9	tr_civil01_bottes	Botas Tryker	unas	la	Botas Tryker		las	Botas Tryker
_F50B862FB34462A5	tr_civil01_gilet	Chaleco Tryker	un	el	Chalecos Tryker		los	Chaleco Tryker
_8DF257059F60464D	tr_civil01_hand	Guantes Tryker	unos	el	Guantes Tryker		los	Guantes Tryker
_A84E93271FD5C0E9	tr_civil01_pantabotte	Pantalones Tryker	unos	el	Pantalones Tryker		los	Pantalones Tryker
_E0D798FF552274E4	tr_underwear_armpad	Mangas Tryker	unas	la	Mangas Tryker		las	Mangas Tryker
_501B323F7C7C007C	tr_underwear_bottes	Botas Tryker	unas	la	Botas Tryker		las	Botas Tryker
_C6E204E463388FFD	tr_underwear_gilet	Chaleco Tryker	un	el	Chalecos Tryker		los	Chaleco Tryker
_E23EC4A6B1C3187B	tr_underwear_hand	Guantes Tryker	un	el	Guantes Tryker		los	Guantes Tryker
_99DA9DA901A7A752	tr_underwear_pantabottes	Pantalones Tryker	unos	la	Pantalones Tryker		los	Pantalones Tryker
_E456C7C0FAEF1D80	tr_visage	Mascara Tryker	una	la	Mascaras Tryker		las	Mascara Tryker
_4FD497CA9C228D54	white_medicine	Medicina Blanca	una	la	Medicinas Blancas		las	
_B48A13949FC1E9F7	yellow_medicine	Medicina Amarilla	una	la	Medicinas Amarillas		las	
_5350258124F9E4E0	young_girl_pendant	Pendiente de Chica Joven	un	el	Pendientes de Chica Joven		los	
_64487EAFDA350772	young_live_seed	Semilla Viviente Joven	una	la	Semillas Vivientes Jóvenes			
_A0F756FB4B0101ED	zerx_stomach	Estomago Zerx	un	el	Estómagos Zerx		los	
_8BF0911F2636D4B7	zerx_tusks	Colmillos Zerx	un	el	Colmillos Zerx		los	
_64E48C79FA976B16	zo_armor01_armpad	Mangas de Armadura Zerx	unas	la	Mangas de Armadura Zoraï		las	Zoraï Armor Sleeves
_DEC0A0FFD609825E	zo_armor01_bottes	Botas de Armadura Zoraï	unas	la	Botas de Armadura Zoraï		las	Zoraï Armor Boots
_03575BDEE4B6DB9F	zo_armor01_gilet	Chaleco de Armadura Zoraï	un	el	Chalecos de Armadura Zoraï		los	Chaleco de Armadura Zoraï
_15E2AB945E5FE890	zo_armor01_hand	Guantes de Armadura Zoraï	unos	el	Guantes de Armadura Zoraï		los	Guantes de Armadura Zoraï
_AFFE72885FF48D19	zo_armor01_pantabotte	Pantalones de Armadura Zoraï 	unos	el	Pantalones de Armadura Zoraï		los	Pantalones de Armadura Zoraï
_FA61FF16AFEA8745	zo_cheveux_long01	Cabello Largo Zoraï	un	el	Cabellos Largos Zoraï		los	Cabello Largo Zoraï
_F63486C2BEE5F948	zo_cheveux_medium01	Cabello Mediano Zoraï	un	el	Cabellos Medianos Zoraï		los	Cabello Mediano Zoraï
_54F9783AC7BD39B0	zo_cheveux_shave01	Cabello Rapado Zoraï	un	el	Cabellos Rapados Zoraï		los	Cabello Rapado Zoraï
_1FB8D0E5CA645BC0	zo_cheveux_short01	Cabello Corto Zoraï	un	el	Cabellos Cortos Zoraï		los	Cabello Rapado Zoraï
_D19CA7BD6D3E9260	zo_civil01_armpad	Mangas Zoraï	unas	la	Mangas Zoraï		las	Mangas Zoraï
_6583873BEE245811	zo_civil01_bottes	Botas Zoraï 	unas	la	Botas Zoraï		las	Botas Zoraï
_1CADE54BE19BBE3E	zo_civil01_gilet	Chaleco Zoraï	un	el	Chalecos Zoraï		los	Chaleco Zoraï 
_4C7924456876943E	zo_civil01_pantabotte	Pantalones Zoraï	unos	el	Pantalones Zoraï		los	Pantalones Zoraï
_895A939874F45C26	zo_underwear_armpad	Mangas Zoraï	unos	el	Mangas Zoraï		las	Mangas Zoraï  Sleeves
_9641BCF8C2FE8684	zo_underwear_bottes	Botas Zoraï	unas	la	Botas Zoraï		los	Botas Zoraï
_6E43CB5F28D0F217	zo_underwear_gilet	Chaleco Zoraï 	un	el	Chalecos Zoraï		los	Chaleco Zoraï
_945318581D3F86D7	zo_underwear_hand	Guantes Zoraï	unos	el	Guantes Zoraï		los	Guantes Zoraï
_A1EEBAE4550F7379	zo_underwear_pantabottes	Pantalones Zoraï	unos	el	Pantalones Zoraï		los	Pantalones Zoraï
_F900487B3A309824	zo_visage	Mascara Zoraï 	una	la	Mascaras Zoraï		las	Mascaras Zoraï
_9467AF8854C572D9	icfacb	Botas Droge	unas	la	Botas Droge		las	Botas de Lanzador Fyros
_8AE5AEF243A8538E	icfacg	Guantes Droge	unos	el	Guantes Droge		los	Guantes de Lanzador Fyros
_1857779654B56ED9	icfacp	Pantalones Droge	unos	el	Pantalones Droge		los	Pantalones de Lanzador Fyros
_D11348882578CB31	icfacs	Mangas Droge	unas	la	Mangas Droge		las	Mangas de Lanzador Fyros
_8D8962AE4CE18E47	icfacv	Chaleco Droge	un	el	Chalecos Droge		los	Chaleco de Lanzador Fyros
_7A6A71829D564DF9	icfr2ab	Fraser Ardiente	un	el	Frasers Ardientes		los	Autolanzador Ardiente de Dos Manos
_8CF5ECEC1A858547	icfr2lb	Soldador Ardiente	un	el	Soldadores Ardientes		los	Lanzador Ardiente de Dos Manos Fyros
_5CB36472C3515D84	icfsbb	Blok Ardiente	un	el	Bloks Ardientes		los	Defensa Ardiene Fyros
_65EE1F67A543BA84	icmacb	Botas Vestini	unas	la	Botas Vestini		las	Botas de Lanzador Matis
_DBA2581DDAB2C1D6	icmacg	Guantes Vestini	unos	el	Guantes Vestini		los	Guantes de Lanzador Matis
_65EE1B58A614BA92	icmacp	Pantalones Vestini	unos	el	Pantalones Vestini		los	Pantalones de Lanzador Matis
_09B1F8ADA8114B63	icmacs	Mangas Vestini	unas	la	Mangas Vestini		las	Mangas de Lanzador Matis
_65883F0ED9E655AD	icmacv	Chaleco Vestini	un	el	Chalecos Vestinis		los	Chaleco de Lanzador Matis
_9E2CE211B5C3C01F	icmm1psl	Lanza Pálida Viviente	una	la	Lanzas Pálidas Vivientes		las	Lanza Viviente de Una Mano Matis
_D3CF01118FDCE16D	icmm1pdl	Daga Limmel Viviente	una	la	Dagas Limmel Vivientes		las	Daga Viviente de Una Mano Matis
_86F538940BF32D56	icmm2ppl	Pico Viviente Krop	un	el	Picos Vivientes Krops		los	Pico Viviente de Dos Manos Matis
_A2A4BE1360CA3B2D	icmm2ssl	Espada Slathe Viviente	una	la	Espadas Slathe Vivientes		las	Espada Larga Viviente de Dos Manos Matis
_A61358368149F453	icmr1pl	Pistola Maka Viviente	una	la	Pistolas Maka Vivientes		las	Pistola Viviente de Una Mano Matis
_C9902A1D2DB066EF	icmr2rl	Rifle Stylone Viviente	un	el	Rifles Vivientes Styalone		los	Rifle Viviente de Dos Manos Matis
_5FF325E63108A94A	icmsbl	Defensa Wod Viviente	una	la	Defensas Wod Vivientes		las	Defensa Viviente Matis
_3ED1357F14EF0049	icralb	Botas Livianas de Refugiado	unas	la	Botas Livianas de Refugiado		las	Botas Livianas de Refugiado
_7B56811D6B11CB1D	icralg	Guantes Livianos de Refugiado	unos	el	Guantes Livianos de Refugiado		los	Guantes Livianos de Refugiado
_B581B6120C7B0416	icrals	Mangas Livianas de Refugiado	unas	la	Mangas Livianas de Refugiados		las	Mangas Livianas de Refugiado
_5D79C709C119C322	ictacb	Botas Lithen	unas	la	Botas Lithen		las	Botas de Lanzador Tryker
_75F3B886ABA4196B	ictacg	Guantes Lithen	unos	el	Guantes Lithen		los	Guantes de Lanzador Tryker
_E179C70941596714	ictacp	Pantalones Lithen	unos	el	Pantalones Lithen		los	Pantalones de Lanzador Tryker
_9E44AC0ED6829CE3	ictacs	Mangas Lithen	unas	la	Mangas Lithen		las	Mangas de Lanzador Tryker
_97B76203A3C55F66	ictacv	Chaleco Lithen	unos	la	Chalecos Lithen		los	Chaleco de Lanzador Tryker
_A8A8BB10D410205E	ictm1pdw	Daga Ondeante Fyler	una	la	Dagas Ondeantes Fylers		las	Daga Ondeante de Una Mano Tryker
_89957B12DF110A03	ictm1ssw	Espada Ondeante Tanners	una	la	Espadas Ondeantes Tanners		las	Espada Ondeante de Una Sangre Tryker
_1EA35A6728332B21	ictm2ssw	Espada Ondeante Flence	una	la	Espadas Ondeantes Flences		las	Espada Larga Ondeante de Dos Manos Tryker
_E0801C132F672B62	ictr1bw	Pistola de Arco Ondeante Fletcher	una	la	Pistolas de Arco Ondeante Fletchers 		las	Pistola de Arco Ondeante de Una Mano Tryker 
_825EDDC969EB2A95	ictsbw	Defensa Ondeante Stilten	un	la	Defensas Odeantes Stiltens		las	Defensa Ondeante Tryker
_F096CE005FE83740	iczacb	Botas Lin-Ko	unas	la	Botas Lin-Ko		las	Botas de Lanzador Zoraï
_44F9936D72B63A41	iczacg	Guantes Lin-Ko	unos	el	Guantes Lin-Ko		los	Guantes de Lanzador Zoraï
_6D77CE00DF28DF3F	iczacp	Pantalones Lin-Ko	unos	el	Pantalones Lin-Ko		los	Pantalones de Lanzador Zoraï
_45931F1FE590B4FA	iczacs	Mangas Lin-Ko	unas	la	Mangas Lin-Ko		las	Mangas de Lanzador Zoraï
_E2AA1DFAE264867F	iczacv	Chaleco Lin-Ko	un	el	Chalecos Lin-Ko		los	Chaleco de Lanzador Zoraï
_5CF176EB88D5BC11	iczm1bme	Mazo Eléctrico Nanka	un	el	Mazos Eléctricos Nankas		los	Mazo Eléctrico de Una Mano Zoraï
_DCA1965060EBF132	iczm2bme	Mazo Eléctrico Kanka	un	el	Mazos Eléctricos Kankas		los	Mazo Largo Eléctrico de Dos Manos Zoraï
_B7214AE3AFCDFC0E	iczr2be	Rifle de Arco Eléctrico Ma-Kam 	un	el	Rifles de Arco Eléctricos Ma-Kam		los	Rifle de Arco Eléctrico de Dos Manos Zoraï
_DB694C4D0445EB54	iczr2le	Lanzador Eléctrico Ba-Koon	un	el	Lanzadores Eléctricos Ba-Koon		los	Lanzador Eléctrico de Dos Manos Zoraï 
_BB7A582F40CADE67	iczsbe	Defensa Eléctrica Kastus	una	la	Defensas Eléctricas Kastus		las	Defensa Eléctrica Zoraï
_AF58BA57E7A8747B	icfacb_2	Botas Drogeus	una	la	Botas Drogeus		las	Botas de Lanzador de Mediana Calidad Fyros
_0977FFD83D537D1B	icfacg_2	Guantes Drogeus	unos	el	Guantes Drogeus		los	Guantes de Lanzador de Mediana Calidad Fyros
_6F68BA65A7C8E47B	icfacp_2	Pantalones Drogeus	unos	el	Pantalones Drogeus		los	Pantalones de Lanzador de Mediana Calidad Fyros
_4AB8B5B3696E22F0	icfacs_2	Mangas Drogeus	unas	la	Mangas Drogeus		las	Mangas de Lanzador de Mediana Calidad Fyros
_DCE9C14C2CC06160	icfacv_2	Chaleco Drogeus	un	el	Chalecos Drogeus		los	Chaleco de Lanzador de Mediana Calidad Fyros
_6665BCC2192618DE	icfahb_2	Botas Kostomus	unas	la	Botas Kostomus		las	Botas Pesadas de Mediana Calidad Fyros
_4A1E81A64FEAFAC5	icfahg_2	Guantes Kostomus	unos	el	Guantes Kostomus 		los	Guantes Pesados de Mediana Calidad Fyros
_6DADEA79A1105A75	icfahh_2	Casco Kostomus	un	el	Cascos Kostomus		los	Casco Pesado de Mediana Calidad Fyros
_AA85F4C196074CD0	icfahp_2	Pantalones Kostomus	unos	el	Pantalones Kostomus		los	Pantalones Pesados de Mediana Calidad Fyros
_7C2E752DBEEB30AE	icfahs_2	Mangas Kostomus	unas	la	Mangas Kostomus		las	Mangas Livianas de Mediana Calidad Fyros
_3177C82DA3961191	icfahv_2	Chaleco Kostomus	un	el	Chalecos Kostomus		los	Chaleco Liviano de Mediana Calidad Fyros
_5848C14E2B384CAD	icfalb_2	Botas Hobenus	una	la	Botas Hobenus		las	Botas Livianas de Mediana Calidad Fyros
_48152FE887552CBC	icfalg_2	Guantes Hobenus	unos	el	Guantes Hobenus		los	Guantes Livianos de Mediana Calidad Fyros
_1858C15C2B284CBB	icfalp_2	Pantalones Hobenus	unos	el	Pantalones Hobenus		los	Pantalones Livianos de Mediana Calidad Fyros
_CD080DEA3B207A04	icfals_2	Mangas Hobenus	unas	la	Mangas Hobenus		las	Mangas Livianas de Mediana Calidad Fyros
_6924E5480C50BD8A	icfalv_2	Chaleco Hobenus	un	el	Chalecos Hobenus		los	Chaleco Liviano de Mediana Calidad Fyros
_B098A256E8489896	icfamb_2	Botas de Rilonus	una	la	Botas de Rilonus		las	Botas Medianas de Mediana Calidad Fyros
_0637EBF03DE3893B	icfamg_2	Guantes Rilonus	unos	el	Guantes Rilonus		los	Guantes Medianos de Mediana Calidad Fyros
_70A8A264A8680896	icfamp_2	Pantalones Rilonus	unos	el	Pantalones Rilonus		los	Pantalones Medianos de Mediana Calidad Fyros
_D02891C16AEFEAEB	icfams_2	Mangas Rilonus	un	la	Mangas Rilonus		las	Mangas Medianas de Mediana Calidad Fyros
_E038B95D6900897C	icfamv_2	Chaleco Rilonus	un	el	Chalecos Rilonus		los	Chaleco Mediano de Mediana Calidad Fyros
_4BDCA9CCF336399B	icfm1bm_2	Mazo Massonus	un	el	Mazos Massonus		los	Mazo de Una Mano de Mediana Calidad Fyros
_D4245D773459FA9A	icfm1bs_2	Bastón Talusus	un	el	Bastones Talusus		los	Bastón de Una Mano de Mediana Calidad Fyros
_F5B8582C50BE7D11	icfm1pd_2	Daga Jabus	una	la	Dagas Jabus		las	Daga de Una Mano de Mediana Calidad Fyros
_D924397734994290	icfm1ps_2	Lanza Kronkus	una	la	Lanzas Kronkus		las	Lanza de Una Mano de Mediana Calidad Fyros
_A8DEDE6727561987	icfm1sa_2	Hacha Clevenus	una	el	Hachas Clevenus		las	Hacha de Una Mano de Mediana Calidad Fyros
_BBC9B82601199973	icfm1ss_2	Espada Blamus	una	la	Espadas Blamus		las	Espada de Una Mano de Mediana Calidad Fyros
_8ACAC9539F2B92BC	icfm2bm_2	Mazo Hampus	un	el	Mazos Hampus		los	Mazo Largo de Dos Manos de Mediana Calidad Fyros
_14FFC1CC73A755A2	icfm2pp_2	Pico Punnelus	un	el	Picos Punnelus		los	Pico de Dos Manos de Mediana Calidad Fyros
_CE0CD51028C015A4	icfm2sa_2	Hacha Retchus	un	el	Hachas Retchus		las	Hacha Larga de Dos Manos de Mediana Calidad Fyros
