# Ryzom chat emoji table -- GENERATED, do not edit by hand.
# Regenerate with tools/emoji/gen_emoji_table.py
# Put local corrections in emoji_overrides.txt instead; it is
# loaded afterwards and wins.
# name\tcodepoints(hex)\timage-stem (client appends .tga)
+1	1f44d	emoji_u1f44d
drought	1fabe	emoji_u1fabe
drum	1f941	emoji_u1f941
drumstick	1f357	emoji_u1f357
drunk	1f974	emoji_u1f974
dua	1f932	emoji_u1f932
duck	1f986	emoji_u1f986
duckling	1f9a2	emoji_u1f9a2
duel	2694	emoji_u2694
dumpling	1f95f	emoji_u1f95f
dungeon	1f5dd	emoji_u1f5dd
dupe	265f	emoji_u265f
dvd	1f4c0	emoji_u1f4c0
dying	1f975	emoji_u1f975
dynamite	1f9e8	emoji_u1f9e8
e-mail	1f4e7	emoji_u1f4e7
eagle	1f985	emoji_u1f985
ear	1f442	emoji_u1f442
ear_of_rice	1f33e	emoji_u1f33e
ear_with_hearing_aid	1f9bb	emoji_u1f9bb
earth_africa	1f30d	emoji_u1f30d
earth_americas	1f30e	emoji_u1f30e
earth_asia	1f30f	emoji_u1f30f
earthquake	1fae8	emoji_u1fae8
earthworm	1fab1	emoji_u1fab1
east	27a1	emoji_u27a1
easy_come_easy_go	1f4b8	emoji_u1f4b8
eating_utensils	1f374	emoji_u1f374
edamame	1fadb	emoji_u1fadb
egg	1f95a	emoji_u1f95a
eggplant	1f346	emoji_u1f346
eggs	1faba	emoji_u1faba
eight	0038 20e3	emoji_u0038_20e3
eight_pointed_star	2734	emoji_u2734
eight_spoked_asterisk	2733	emoji_u2733
eject	23cf	emoji_u23cf
eject_button	23cf	emoji_u23cf
elderly	1f9d3	emoji_u1f9d3
elderly_man	1f474	emoji_u1f474
elderly_woman	1f475	emoji_u1f475
electric_plug	1f50c	emoji_u1f50c
electronic	1faab	emoji_u1faab
elephant	1f418	emoji_u1f418
elevated_train	1f69d	emoji_u1f69d
elevator	1f6d7	emoji_u1f6d7
elf	1f9dd	emoji_u1f9dd
elk	1face	emoji_u1face
email	2709	emoji_u2709
embarrassed	1f633	emoji_u1f633
embrace	1fac2	emoji_u1fac2
embroidery	1faa1	emoji_u1faa1
emerge	1f426 200d 1f525	emoji_u1f426_200d_1f525
emergency	1f9ba	emoji_u1f9ba
emoji	1f928	emoji_u1f928
empanada	1f95f	emoji_u1f95f
empty_mailbox	1f4ed	emoji_u1f4ed
empty_nest	1fab9	emoji_u1fab9
encrypted	1f5dd	emoji_u1f5dd
end	1f51a	emoji_u1f51a
energy	1faab	emoji_u1faab
engineer	2699	emoji_u2699
ensnare	1fa9d	emoji_u1fa9d
envelope	2709	emoji_u2709
envy	1f49a	emoji_u1f49a
equal	1f7f0	emoji_u1f7f0
equality	1f7f0	emoji_u1f7f0
equals	1f7f0	emoji_u1f7f0
euro	1fa99	emoji_u1fa99
euro_banknotes	1f4b6	emoji_u1f4b6
evergreen_tree	1f332	emoji_u1f332
evidence	1f9fe	emoji_u1f9fe
evil_eye	1f9ff	emoji_u1f9ff
evolution	1f9ec	emoji_u1f9ec
ew	1f92e	emoji_u1f92e
exchange	1f4b1	emoji_u1f4b1
exclamation	2757	emoji_u2757
exhalation	1fac1	emoji_u1fac1
exhale	1f62e 200d 1f4a8	emoji_u1f62e_200d_1f4a8
exhaling	1f62e 200d 1f4a8	emoji_u1f62e_200d_1f4a8
exhausted	1f625	emoji_u1f625
expecting	1f930	emoji_u1f930
expendable	265f	emoji_u265f
expensive	1faf0	emoji_u1faf0
explode	1f92f	emoji_u1f92f
exploding	1f92f	emoji_u1f92f
exploding_head	1f92f	emoji_u1f92f
explosion	1f4a5	emoji_u1f4a5
explosive	1f9e8	emoji_u1f9e8
expressionless	1f611	emoji_u1f611
extinguish	1f9ef	emoji_u1f9ef
extinguisher	1f9ef	emoji_u1f9ef
extra	1f6f8	emoji_u1f6f8
eye	1f441	emoji_u1f441
eye_in_speech_bubble	1f441 200d 1f5e8	emoji_u1f441_200d_1f5e8
eyes	1f440	emoji_u1f440
face_exhaling	1f62e 200d 1f4a8	emoji_u1f62e_200d_1f4a8
face_holding_back_tears	1f979	emoji_u1f979
face_in_clouds	1f636 200d 1f32b	emoji_u1f636_200d_1f32b
face_palm	1f926	emoji_u1f926
face_vomiting	1f92e	emoji_u1f92e
face_with_bags_under_eyes	1fae9	emoji_u1fae9
face_with_diagonal_mouth	1fae4	emoji_u1fae4
face_with_hand_over_mouth	1f92d	emoji_u1f92d
face_with_monocle	1f9d0	emoji_u1f9d0
face_with_open_eyes_and_hand_over_mouth	1fae2	emoji_u1fae2
face_with_peeking_eye	1fae3	emoji_u1fae3
face_with_raised_eyebrow	1f928	emoji_u1f928
face_with_spiral_eyes	1f635 200d 1f4ab	emoji_u1f635_200d_1f4ab
face_with_symbols_on_mouth	1f92c	emoji_u1f92c
face_with_thermometer	1f912	emoji_u1f912
factory	1f3ed	emoji_u1f3ed
factory_worker	1f9d1 200d 1f3ed	emoji_u1f9d1_200d_1f3ed
fairy	1f9da	emoji_u1f9da
falafel	1f9c6	emoji_u1f9c6
fall	1f343	emoji_u1f343
fallen_leaf	1f342	emoji_u1f342
family	1f46a	emoji_u1f46a
family_adult_adult_child	1f9d1 200d 1f9d1 200d 1f9d2	emoji_u1f9d1_200d_1f9d1_200d_1f9d2
family_adult_adult_child_child	1f9d1 200d 1f9d1 200d 1f9d2 200d 1f9d2	emoji_u1f9d1_200d_1f9d1_200d_1f9d2_200d_1f9d2
family_adult_child	1f9d1 200d 1f9d2	emoji_u1f9d1_200d_1f9d2
family_adult_child_child	1f9d1 200d 1f9d2 200d 1f9d2	emoji_u1f9d1_200d_1f9d2_200d_1f9d2
family_man_boy	1f468 200d 1f466	emoji_u1f468_200d_1f466
family_man_boy_boy	1f468 200d 1f466 200d 1f466	emoji_u1f468_200d_1f466_200d_1f466
family_man_girl	1f468 200d 1f467	emoji_u1f468_200d_1f467
family_man_girl_boy	1f468 200d 1f467 200d 1f466	emoji_u1f468_200d_1f467_200d_1f466
family_man_girl_girl	1f468 200d 1f467 200d 1f467	emoji_u1f468_200d_1f467_200d_1f467
family_man_man_boy	1f468 200d 1f468 200d 1f466	emoji_u1f468_200d_1f468_200d_1f466
family_man_man_boy_boy	1f468 200d 1f468 200d 1f466 200d 1f466	emoji_u1f468_200d_1f468_200d_1f466_200d_1f466
family_man_man_girl	1f468 200d 1f468 200d 1f467	emoji_u1f468_200d_1f468_200d_1f467
family_man_man_girl_boy	1f468 200d 1f468 200d 1f467 200d 1f466	emoji_u1f468_200d_1f468_200d_1f467_200d_1f466
family_man_man_girl_girl	1f468 200d 1f468 200d 1f467 200d 1f467	emoji_u1f468_200d_1f468_200d_1f467_200d_1f467
family_man_woman_boy	1f468 200d 1f469 200d 1f466	emoji_u1f468_200d_1f469_200d_1f466
family_man_woman_boy_boy	1f468 200d 1f469 200d 1f466 200d 1f466	emoji_u1f468_200d_1f469_200d_1f466_200d_1f466
family_man_woman_girl	1f468 200d 1f469 200d 1f467	emoji_u1f468_200d_1f469_200d_1f467
family_man_woman_girl_boy	1f468 200d 1f469 200d 1f467 200d 1f466	emoji_u1f468_200d_1f469_200d_1f467_200d_1f466
family_man_woman_girl_girl	1f468 200d 1f469 200d 1f467 200d 1f467	emoji_u1f468_200d_1f469_200d_1f467_200d_1f467
family_woman_boy	1f469 200d 1f466	emoji_u1f469_200d_1f466
family_woman_boy_boy	1f469 200d 1f466 200d 1f466	emoji_u1f469_200d_1f466_200d_1f466
family_woman_girl	1f469 200d 1f467	emoji_u1f469_200d_1f467
family_woman_girl_boy	1f469 200d 1f467 200d 1f466	emoji_u1f469_200d_1f467_200d_1f466
family_woman_girl_girl	1f469 200d 1f467 200d 1f467	emoji_u1f469_200d_1f467_200d_1f467
family_woman_woman_boy	1f469 200d 1f469 200d 1f466	emoji_u1f469_200d_1f469_200d_1f466
family_woman_woman_boy_boy	1f469 200d 1f469 200d 1f466 200d 1f466	emoji_u1f469_200d_1f469_200d_1f466_200d_1f466
family_woman_woman_girl	1f469 200d 1f469 200d 1f467	emoji_u1f469_200d_1f469_200d_1f467
family_woman_woman_girl_boy	1f469 200d 1f469 200d 1f467 200d 1f466	emoji_u1f469_200d_1f469_200d_1f467_200d_1f466
family_woman_woman_girl_girl	1f469 200d 1f469 200d 1f467 200d 1f467	emoji_u1f469_200d_1f469_200d_1f467_200d_1f467
fan	1faad	emoji_u1faad
fancy	1f9d0	emoji_u1f9d0
farewell	1fac2	emoji_u1fac2
farmer	1f9d1 200d 1f33e	emoji_u1f9d1_200d_1f33e
farming	1f9fa	emoji_u1f9fa
fast_down	23ec	emoji_u23ec
fast_forward	23e9	emoji_u23e9
fast_reverse	23ea	emoji_u23ea
fast_up	23eb	emoji_u23eb
fateh	1faaf	emoji_u1faaf
father	1f468 200d 1f37c	emoji_u1f468_200d_1f37c
fatigued	1fae9	emoji_u1fae9
fatima	1faac	emoji_u1faac
fax	1f4e0	emoji_u1f4e0
fear	1f628	emoji_u1f628
feather	1fab6	emoji_u1fab6
feelings	1f979	emoji_u1f979
feet	1f463	emoji_u1f463
feline	1f408 200d 2b1b	emoji_u1f408_200d_2b1b
female	2640	emoji_u2640
female_sign	2640	emoji_u2640
fencing	1f93a	emoji_u1f93a
ferris_wheel	1f3a1	emoji_u1f3a1
ferry	26f4	emoji_u26f4
festival	1f96e	emoji_u1f96e
festive	1fa85	emoji_u1fa85
fever	1f912	emoji_u1f912
feverish	1f975	emoji_u1f975
field_hockey	1f3d1	emoji_u1f3d1
fife	1fa88	emoji_u1fa88
fight	1f977	emoji_u1f977
fighter	1f977	emoji_u1f977
file	1f4c4	emoji_u1f4c4
file_cabinet	1f5c4	emoji_u1f5c4
file_folder	1f4c1	emoji_u1f4c1
filling	1f967	emoji_u1f967
film	1f39e	emoji_u1f39e
find	1f50d	emoji_u1f50d
fingerprint	1fac6	emoji_u1fac6
fingers_crossed	1f91e	emoji_u1f91e
fire	1f525	emoji_u1f525
fire_engine	1f692	emoji_u1f692
fire_extinguisher	1f9ef	emoji_u1f9ef
fire_truck	1f692	emoji_u1f692
firebird	1f426 200d 1f525	emoji_u1f426_200d_1f525
firecracker	1f9e8	emoji_u1f9e8
firefighter	1f9d1 200d 1f692	emoji_u1f9d1_200d_1f692
fireworks	1f386	emoji_u1f386
first	1f313	emoji_u1f313
first_place	1f947	emoji_u1f947
first_quarter_moon	1f313	emoji_u1f313
fish	1f41f	emoji_u1f41f
fishing	1f3a3	emoji_u1f3a3
fist	270a	emoji_u270a
fist_bump	1f44a	emoji_u1f44a
five	0035 20e3	emoji_u0035_20e3
fixing	1f527	emoji_u1f527
flag_afghanistan	1f1e6 1f1eb	emoji_u1f1e6_1f1eb
flag_aland_islands	1f1e6 1f1fd	emoji_u1f1e6_1f1fd
flag_albania	1f1e6 1f1f1	emoji_u1f1e6_1f1f1
flag_algeria	1f1e9 1f1ff	emoji_u1f1e9_1f1ff
flag_american_samoa	1f1e6 1f1f8	emoji_u1f1e6_1f1f8
flag_andorra	1f1e6 1f1e9	emoji_u1f1e6_1f1e9
flag_angola	1f1e6 1f1f4	emoji_u1f1e6_1f1f4
flag_anguilla	1f1e6 1f1ee	emoji_u1f1e6_1f1ee
flag_antarctica	1f1e6 1f1f6	emoji_u1f1e6_1f1f6
flag_antigua_and_barbuda	1f1e6 1f1ec	emoji_u1f1e6_1f1ec
flag_argentina	1f1e6 1f1f7	emoji_u1f1e6_1f1f7
flag_armenia	1f1e6 1f1f2	emoji_u1f1e6_1f1f2
flag_aruba	1f1e6 1f1fc	emoji_u1f1e6_1f1fc
flag_ascension_island	1f1e6 1f1e8	emoji_u1f1e6_1f1e8
flag_australia	1f1e6 1f1fa	emoji_u1f1e6_1f1fa
flag_austria	1f1e6 1f1f9	emoji_u1f1e6_1f1f9
flag_azerbaijan	1f1e6 1f1ff	emoji_u1f1e6_1f1ff
flag_bahamas	1f1e7 1f1f8	emoji_u1f1e7_1f1f8
flag_bahrain	1f1e7 1f1ed	emoji_u1f1e7_1f1ed
flag_bangladesh	1f1e7 1f1e9	emoji_u1f1e7_1f1e9
flag_barbados	1f1e7 1f1e7	emoji_u1f1e7_1f1e7
flag_belarus	1f1e7 1f1fe	emoji_u1f1e7_1f1fe
flag_belgium	1f1e7 1f1ea	emoji_u1f1e7_1f1ea
flag_belize	1f1e7 1f1ff	emoji_u1f1e7_1f1ff
flag_benin	1f1e7 1f1ef	emoji_u1f1e7_1f1ef
flag_bermuda	1f1e7 1f1f2	emoji_u1f1e7_1f1f2
flag_bhutan	1f1e7 1f1f9	emoji_u1f1e7_1f1f9
flag_bolivia	1f1e7 1f1f4	emoji_u1f1e7_1f1f4
flag_bosnia_and_herzegovina	1f1e7 1f1e6	emoji_u1f1e7_1f1e6
flag_botswana	1f1e7 1f1fc	emoji_u1f1e7_1f1fc
flag_bouvet_island	1f1e7 1f1fb	emoji_u1f1e7_1f1fb
flag_brazil	1f1e7 1f1f7	emoji_u1f1e7_1f1f7
flag_british_indian_ocean_territory	1f1ee 1f1f4	emoji_u1f1ee_1f1f4
flag_british_virgin_islands	1f1fb 1f1ec	emoji_u1f1fb_1f1ec
flag_brunei	1f1e7 1f1f3	emoji_u1f1e7_1f1f3
flag_bulgaria	1f1e7 1f1ec	emoji_u1f1e7_1f1ec
flag_burkina_faso	1f1e7 1f1eb	emoji_u1f1e7_1f1eb
flag_burundi	1f1e7 1f1ee	emoji_u1f1e7_1f1ee
flag_cambodia	1f1f0 1f1ed	emoji_u1f1f0_1f1ed
flag_cameroon	1f1e8 1f1f2	emoji_u1f1e8_1f1f2
flag_canada	1f1e8 1f1e6	emoji_u1f1e8_1f1e6
flag_canary_islands	1f1ee 1f1e8	emoji_u1f1ee_1f1e8
flag_cape_verde	1f1e8 1f1fb	emoji_u1f1e8_1f1fb
flag_caribbean_netherlands	1f1e7 1f1f6	emoji_u1f1e7_1f1f6
flag_cayman_islands	1f1f0 1f1fe	emoji_u1f1f0_1f1fe
flag_central_african_republic	1f1e8 1f1eb	emoji_u1f1e8_1f1eb
flag_ceuta_and_melilla	1f1ea 1f1e6	emoji_u1f1ea_1f1e6
flag_chad	1f1f9 1f1e9	emoji_u1f1f9_1f1e9
flag_chile	1f1e8 1f1f1	emoji_u1f1e8_1f1f1
flag_china	1f1e8 1f1f3	emoji_u1f1e8_1f1f3
flag_christmas_island	1f1e8 1f1fd	emoji_u1f1e8_1f1fd
flag_clipperton_island	1f1e8 1f1f5	emoji_u1f1e8_1f1f5
flag_cocos_keeling_islands	1f1e8 1f1e8	emoji_u1f1e8_1f1e8
flag_colombia	1f1e8 1f1f4	emoji_u1f1e8_1f1f4
flag_comoros	1f1f0 1f1f2	emoji_u1f1f0_1f1f2
flag_congo_brazzaville	1f1e8 1f1ec	emoji_u1f1e8_1f1ec
flag_congo_kinshasa	1f1e8 1f1e9	emoji_u1f1e8_1f1e9
flag_cook_islands	1f1e8 1f1f0	emoji_u1f1e8_1f1f0
flag_costa_rica	1f1e8 1f1f7	emoji_u1f1e8_1f1f7
flag_cote_divoire	1f1e8 1f1ee	emoji_u1f1e8_1f1ee
flag_croatia	1f1ed 1f1f7	emoji_u1f1ed_1f1f7
flag_cuba	1f1e8 1f1fa	emoji_u1f1e8_1f1fa
flag_curacao	1f1e8 1f1fc	emoji_u1f1e8_1f1fc
flag_curaçao	1f1e8 1f1fc	emoji_u1f1e8_1f1fc
flag_cyprus	1f1e8 1f1fe	emoji_u1f1e8_1f1fe
flag_czechia	1f1e8 1f1ff	emoji_u1f1e8_1f1ff
flag_côte_divoire	1f1e8 1f1ee	emoji_u1f1e8_1f1ee
flag_denmark	1f1e9 1f1f0	emoji_u1f1e9_1f1f0
flag_diego_garcia	1f1e9 1f1ec	emoji_u1f1e9_1f1ec
flag_djibouti	1f1e9 1f1ef	emoji_u1f1e9_1f1ef
flag_dominica	1f1e9 1f1f2	emoji_u1f1e9_1f1f2
flag_dominican_republic	1f1e9 1f1f4	emoji_u1f1e9_1f1f4
flag_ecuador	1f1ea 1f1e8	emoji_u1f1ea_1f1e8
flag_egypt	1f1ea 1f1ec	emoji_u1f1ea_1f1ec
flag_el_salvador	1f1f8 1f1fb	emoji_u1f1f8_1f1fb
flag_england	1f3f4 e0067 e0062 e0065 e006e e0067 e007f	emoji_u1f3f4_e0067_e0062_e0065_e006e_e0067_e007f
flag_equatorial_guinea	1f1ec 1f1f6	emoji_u1f1ec_1f1f6
flag_eritrea	1f1ea 1f1f7	emoji_u1f1ea_1f1f7
flag_estonia	1f1ea 1f1ea	emoji_u1f1ea_1f1ea
flag_eswatini	1f1f8 1f1ff	emoji_u1f1f8_1f1ff
flag_ethiopia	1f1ea 1f1f9	emoji_u1f1ea_1f1f9
flag_european_union	1f1ea 1f1fa	emoji_u1f1ea_1f1fa
flag_falkland_islands	1f1eb 1f1f0	emoji_u1f1eb_1f1f0
flag_faroe_islands	1f1eb 1f1f4	emoji_u1f1eb_1f1f4
flag_fiji	1f1eb 1f1ef	emoji_u1f1eb_1f1ef
flag_finland	1f1eb 1f1ee	emoji_u1f1eb_1f1ee
flag_france	1f1eb 1f1f7	emoji_u1f1eb_1f1f7
flag_french_guiana	1f1ec 1f1eb	emoji_u1f1ec_1f1eb
flag_french_polynesia	1f1f5 1f1eb	emoji_u1f1f5_1f1eb
flag_french_southern_territories	1f1f9 1f1eb	emoji_u1f1f9_1f1eb
flag_gabon	1f1ec 1f1e6	emoji_u1f1ec_1f1e6
flag_gambia	1f1ec 1f1f2	emoji_u1f1ec_1f1f2
flag_georgia	1f1ec 1f1ea	emoji_u1f1ec_1f1ea
flag_germany	1f1e9 1f1ea	emoji_u1f1e9_1f1ea
flag_ghana	1f1ec 1f1ed	emoji_u1f1ec_1f1ed
flag_gibraltar	1f1ec 1f1ee	emoji_u1f1ec_1f1ee
flag_greece	1f1ec 1f1f7	emoji_u1f1ec_1f1f7
flag_greenland	1f1ec 1f1f1	emoji_u1f1ec_1f1f1
flag_grenada	1f1ec 1f1e9	emoji_u1f1ec_1f1e9
flag_guadeloupe	1f1ec 1f1f5	emoji_u1f1ec_1f1f5
flag_guam	1f1ec 1f1fa	emoji_u1f1ec_1f1fa
flag_guatemala	1f1ec 1f1f9	emoji_u1f1ec_1f1f9
flag_guernsey	1f1ec 1f1ec	emoji_u1f1ec_1f1ec
flag_guinea	1f1ec 1f1f3	emoji_u1f1ec_1f1f3
flag_guinea_bissau	1f1ec 1f1fc	emoji_u1f1ec_1f1fc
flag_guyana	1f1ec 1f1fe	emoji_u1f1ec_1f1fe
flag_haiti	1f1ed 1f1f9	emoji_u1f1ed_1f1f9
flag_heard_and_mcdonald_islands	1f1ed 1f1f2	emoji_u1f1ed_1f1f2
flag_honduras	1f1ed 1f1f3	emoji_u1f1ed_1f1f3
flag_hong_kong_sar_china	1f1ed 1f1f0	emoji_u1f1ed_1f1f0
flag_hungary	1f1ed 1f1fa	emoji_u1f1ed_1f1fa
flag_iceland	1f1ee 1f1f8	emoji_u1f1ee_1f1f8
flag_india	1f1ee 1f1f3	emoji_u1f1ee_1f1f3
flag_indonesia	1f1ee 1f1e9	emoji_u1f1ee_1f1e9
flag_iran	1f1ee 1f1f7	emoji_u1f1ee_1f1f7
flag_iraq	1f1ee 1f1f6	emoji_u1f1ee_1f1f6
flag_ireland	1f1ee 1f1ea	emoji_u1f1ee_1f1ea
flag_isle_of_man	1f1ee 1f1f2	emoji_u1f1ee_1f1f2
flag_israel	1f1ee 1f1f1	emoji_u1f1ee_1f1f1
flag_italy	1f1ee 1f1f9	emoji_u1f1ee_1f1f9
flag_jamaica	1f1ef 1f1f2	emoji_u1f1ef_1f1f2
flag_japan	1f1ef 1f1f5	emoji_u1f1ef_1f1f5
flag_jersey	1f1ef 1f1ea	emoji_u1f1ef_1f1ea
flag_jordan	1f1ef 1f1f4	emoji_u1f1ef_1f1f4
flag_kazakhstan	1f1f0 1f1ff	emoji_u1f1f0_1f1ff
flag_kenya	1f1f0 1f1ea	emoji_u1f1f0_1f1ea
flag_kiribati	1f1f0 1f1ee	emoji_u1f1f0_1f1ee
flag_kosovo	1f1fd 1f1f0	emoji_u1f1fd_1f1f0
flag_kuwait	1f1f0 1f1fc	emoji_u1f1f0_1f1fc
flag_kyrgyzstan	1f1f0 1f1ec	emoji_u1f1f0_1f1ec
flag_laos	1f1f1 1f1e6	emoji_u1f1f1_1f1e6
flag_latvia	1f1f1 1f1fb	emoji_u1f1f1_1f1fb
flag_lebanon	1f1f1 1f1e7	emoji_u1f1f1_1f1e7
flag_lesotho	1f1f1 1f1f8	emoji_u1f1f1_1f1f8
flag_liberia	1f1f1 1f1f7	emoji_u1f1f1_1f1f7
flag_libya	1f1f1 1f1fe	emoji_u1f1f1_1f1fe
flag_liechtenstein	1f1f1 1f1ee	emoji_u1f1f1_1f1ee
flag_lithuania	1f1f1 1f1f9	emoji_u1f1f1_1f1f9
flag_luxembourg	1f1f1 1f1fa	emoji_u1f1f1_1f1fa
flag_macao_sar_china	1f1f2 1f1f4	emoji_u1f1f2_1f1f4
flag_madagascar	1f1f2 1f1ec	emoji_u1f1f2_1f1ec
flag_malawi	1f1f2 1f1fc	emoji_u1f1f2_1f1fc
flag_malaysia	1f1f2 1f1fe	emoji_u1f1f2_1f1fe
flag_maldives	1f1f2 1f1fb	emoji_u1f1f2_1f1fb
flag_mali	1f1f2 1f1f1	emoji_u1f1f2_1f1f1
flag_malta	1f1f2 1f1f9	emoji_u1f1f2_1f1f9
flag_marshall_islands	1f1f2 1f1ed	emoji_u1f1f2_1f1ed
flag_martinique	1f1f2 1f1f6	emoji_u1f1f2_1f1f6
flag_mauritania	1f1f2 1f1f7	emoji_u1f1f2_1f1f7
flag_mauritius	1f1f2 1f1fa	emoji_u1f1f2_1f1fa
flag_mayotte	1f1fe 1f1f9	emoji_u1f1fe_1f1f9
flag_mexico	1f1f2 1f1fd	emoji_u1f1f2_1f1fd
flag_micronesia	1f1eb 1f1f2	emoji_u1f1eb_1f1f2
flag_moldova	1f1f2 1f1e9	emoji_u1f1f2_1f1e9
flag_monaco	1f1f2 1f1e8	emoji_u1f1f2_1f1e8
flag_mongolia	1f1f2 1f1f3	emoji_u1f1f2_1f1f3
flag_montenegro	1f1f2 1f1ea	emoji_u1f1f2_1f1ea
flag_montserrat	1f1f2 1f1f8	emoji_u1f1f2_1f1f8
flag_morocco	1f1f2 1f1e6	emoji_u1f1f2_1f1e6
flag_mozambique	1f1f2 1f1ff	emoji_u1f1f2_1f1ff
flag_myanmar_burma	1f1f2 1f1f2	emoji_u1f1f2_1f1f2
flag_namibia	1f1f3 1f1e6	emoji_u1f1f3_1f1e6
flag_nauru	1f1f3 1f1f7	emoji_u1f1f3_1f1f7
flag_nepal	1f1f3 1f1f5	emoji_u1f1f3_1f1f5
flag_netherlands	1f1f3 1f1f1	emoji_u1f1f3_1f1f1
flag_new_caledonia	1f1f3 1f1e8	emoji_u1f1f3_1f1e8
flag_new_zealand	1f1f3 1f1ff	emoji_u1f1f3_1f1ff
flag_nicaragua	1f1f3 1f1ee	emoji_u1f1f3_1f1ee
flag_niger	1f1f3 1f1ea	emoji_u1f1f3_1f1ea
flag_nigeria	1f1f3 1f1ec	emoji_u1f1f3_1f1ec
flag_niue	1f1f3 1f1fa	emoji_u1f1f3_1f1fa
flag_norfolk_island	1f1f3 1f1eb	emoji_u1f1f3_1f1eb
flag_north_korea	1f1f0 1f1f5	emoji_u1f1f0_1f1f5
flag_north_macedonia	1f1f2 1f1f0	emoji_u1f1f2_1f1f0
flag_northern_mariana_islands	1f1f2 1f1f5	emoji_u1f1f2_1f1f5
flag_norway	1f1f3 1f1f4	emoji_u1f1f3_1f1f4
flag_oman	1f1f4 1f1f2	emoji_u1f1f4_1f1f2
flag_pakistan	1f1f5 1f1f0	emoji_u1f1f5_1f1f0
flag_palau	1f1f5 1f1fc	emoji_u1f1f5_1f1fc
flag_palestinian_territories	1f1f5 1f1f8	emoji_u1f1f5_1f1f8
flag_panama	1f1f5 1f1e6	emoji_u1f1f5_1f1e6
flag_papua_new_guinea	1f1f5 1f1ec	emoji_u1f1f5_1f1ec
flag_paraguay	1f1f5 1f1fe	emoji_u1f1f5_1f1fe
flag_peru	1f1f5 1f1ea	emoji_u1f1f5_1f1ea
flag_philippines	1f1f5 1f1ed	emoji_u1f1f5_1f1ed
flag_pitcairn_islands	1f1f5 1f1f3	emoji_u1f1f5_1f1f3
flag_poland	1f1f5 1f1f1	emoji_u1f1f5_1f1f1
flag_portugal	1f1f5 1f1f9	emoji_u1f1f5_1f1f9
flag_puerto_rico	1f1f5 1f1f7	emoji_u1f1f5_1f1f7
flag_qatar	1f1f6 1f1e6	emoji_u1f1f6_1f1e6
flag_reunion	1f1f7 1f1ea	emoji_u1f1f7_1f1ea
flag_romania	1f1f7 1f1f4	emoji_u1f1f7_1f1f4
flag_russia	1f1f7 1f1fa	emoji_u1f1f7_1f1fa
flag_rwanda	1f1f7 1f1fc	emoji_u1f1f7_1f1fc
flag_réunion	1f1f7 1f1ea	emoji_u1f1f7_1f1ea
flag_samoa	1f1fc 1f1f8	emoji_u1f1fc_1f1f8
flag_san_marino	1f1f8 1f1f2	emoji_u1f1f8_1f1f2
flag_sao_tome_and_principe	1f1f8 1f1f9	emoji_u1f1f8_1f1f9
flag_sark	1f1e8 1f1f6	emoji_u1f1e8_1f1f6
flag_saudi_arabia	1f1f8 1f1e6	emoji_u1f1f8_1f1e6
flag_scotland	1f3f4 e0067 e0062 e0073 e0063 e0074 e007f	emoji_u1f3f4_e0067_e0062_e0073_e0063_e0074_e007f
flag_senegal	1f1f8 1f1f3	emoji_u1f1f8_1f1f3
flag_serbia	1f1f7 1f1f8	emoji_u1f1f7_1f1f8
flag_seychelles	1f1f8 1f1e8	emoji_u1f1f8_1f1e8
flag_sierra_leone	1f1f8 1f1f1	emoji_u1f1f8_1f1f1
flag_singapore	1f1f8 1f1ec	emoji_u1f1f8_1f1ec
flag_sint_maarten	1f1f8 1f1fd	emoji_u1f1f8_1f1fd
flag_slovakia	1f1f8 1f1f0	emoji_u1f1f8_1f1f0
flag_slovenia	1f1f8 1f1ee	emoji_u1f1f8_1f1ee
flag_solomon_islands	1f1f8 1f1e7	emoji_u1f1f8_1f1e7
flag_somalia	1f1f8 1f1f4	emoji_u1f1f8_1f1f4
flag_south_africa	1f1ff 1f1e6	emoji_u1f1ff_1f1e6
flag_south_georgia_and_south_sandwich_islands	1f1ec 1f1f8	emoji_u1f1ec_1f1f8
flag_south_korea	1f1f0 1f1f7	emoji_u1f1f0_1f1f7
flag_south_sudan	1f1f8 1f1f8	emoji_u1f1f8_1f1f8
flag_spain	1f1ea 1f1f8	emoji_u1f1ea_1f1f8
flag_sri_lanka	1f1f1 1f1f0	emoji_u1f1f1_1f1f0
flag_st_barthelemy	1f1e7 1f1f1	emoji_u1f1e7_1f1f1
flag_st_barthélemy	1f1e7 1f1f1	emoji_u1f1e7_1f1f1
flag_st_helena	1f1f8 1f1ed	emoji_u1f1f8_1f1ed
flag_st_kitts_and_nevis	1f1f0 1f1f3	emoji_u1f1f0_1f1f3
flag_st_lucia	1f1f1 1f1e8	emoji_u1f1f1_1f1e8
flag_st_martin	1f1f2 1f1eb	emoji_u1f1f2_1f1eb
flag_st_pierre_and_miquelon	1f1f5 1f1f2	emoji_u1f1f5_1f1f2
flag_st_vincent_and_grenadines	1f1fb 1f1e8	emoji_u1f1fb_1f1e8
flag_sudan	1f1f8 1f1e9	emoji_u1f1f8_1f1e9
flag_suriname	1f1f8 1f1f7	emoji_u1f1f8_1f1f7
flag_svalbard_and_jan_mayen	1f1f8 1f1ef	emoji_u1f1f8_1f1ef
flag_sweden	1f1f8 1f1ea	emoji_u1f1f8_1f1ea
