skill ID	name	ia	da	p	pia	pda	description
AcurateBleedingShot	accurate bleeding shot 	an	the	accurate bleeding shots 		the	
AcurateBreathlessShot	accurate breathless shot	an	the	accurate breathless shots		the	
AnimalSlideslip	animal slideslip	an	the	animal slideslips		the	
AnimalStalking	animal stalking	an	the	animal stalkings		the	
Apothecary	apothecary	an	the	apothecaries		the	
Area	area	an	the	areas		the	
ArmorAndWeaponSmithing	armor and weapon smithing			armor and weapon smithing		the	
ArtAndCraft	arts and crafts	an	the	arts and crafts		the	
AttackKamisKnowledge	attack Kamis knowledge	an	the	attack Kamis knowledge		the	
AtysianRegeneration	atysian regeneration	an	the	atysian regenerations		the	
Axe	axe	an	the	axes		the	
BackdraftStab	backdraft stab	a	the	backdraft stabs		the	
BadLuck	bad luck	a	the	bad lucks		the	
BarehandedCombat	barehanded combat	a	the	barehanded combats		the	
BersekAttack	berserk attack	a	the	berserk attacks		the	
SDSBFA	Advanced shield buckler defense - Fyros	an	the	Advanced shield buckler defense - Fyros		the	Advanced shield buckler defense - Fyros
SDSBFAE	Expert shield buckler defense - Fyros	an	the	Expert shield buckler defense - Fyros		the	Expert shield buckler defense - Fyros
SDSBM	Shield buckler defense - Matis	a	the	Shield buckler defense - Matis		the	Shield buckler defense - Matis
SDSBMA	Advanced shield buckler defense - Matis	an	the	Advanced shield buckler defense - Matis		the	Advanced shield buckler defense - Matis
SDSBMAE	Expert shield buckler defense - Matis	an	the	Expert shield buckler defense - Matis		the	Expert shield buckler defense - Matis
SDSBT	Shield buckler defense - Tryker	a	the	Shield buckler defense - Tryker		the	Shield buckler defense - Tryker
SDSBTA	Advanced shield buckler defense - Tryker	an	the	Advanced shield buckler defense - Tryker		the	Advanced shield buckler defense - Tryker
SDSBTAE	Expert shield buckler defense - Tryker	an	the	Expert shield buckler defense - Tryker		the	Expert shield buckler defense - Tryker
SDSBZ	Shield buckler defense - Zoraï	a	the	Shield buckler defense - Zoraï		the	Shield buckler defense - Zoraï
SDSBZA	Advanced shield buckler defense - Zoraï	an	the	Advanced shield buckler defense - Zoraï		the	Advanced shield buckler defense - Zoraï
SDSBZAE	Expert shield buckler defense - Zoraï	an	the	Expert shield buckler defense - Zoraï		the	Expert shield buckler defense - Zoraï
SDSS	Shield large shield defense	a	the	Shield large shield defense		the	Shield large shield defense
SDSSF	Shield large shield defense - Fyros	a	the	Shield large shield defense - Fyros		the	Shield large shield defense - Fyros
SDSSFA	Advanced shield large shield defense - Fyros	an	the	Advanced shield large shield defense - Fyros		the	Advanced shield large shield defense - Fyros
SDSSFAE	Expert shield large shield defense - Fyros	an	the	Expert shield large shield defense - Fyros		the	Expert shield large shield defense - Fyros
SDSSM	Shield large shield defense - Matis	a	the	Shield large shield defense - Matis		the	Shield large shield defense - Matis
SDSSMA	Advanced shield large shield defense - Matis	an	the	Advanced shield large shield defense - Matis		the	Advanced shield large shield defense - Matis
SDSSMAE	Expert shield large shield defense - Matis	an	the	Expert shield large shield defense - Matis		the	Expert shield large shield defense - Matis
SDSST	Shield large shield defense - Tryker	a	the	Shield large shield defense - Tryker		the	Shield large shield defense - Tryker
SDSSTA	Advanced shield large shield defense - Tryker	an	the	Advanced shield large shield defense - Tryker		the	Advanced shield large shield defense - Tryker
SDSSTAE	Expert shield large shield defense - Tryker	an	the	Expert shield large shield defense - Tryker		the	Expert shield large shield defense - Tryker
SDSSZ	Shield large shield defense - Zoraï	a	the	Shield large shield defense - Zoraï		the	Shield large shield defense - Zoraï
SDSSZA	Advanced shield large shield defense - Zoraï	an	the	Advanced shield large shield defense - Zoraï		the	Advanced shield large shield defense - Zoraï
SDSSZAE	Expert shield large shield defense - Zoraï	an	the	Expert shield large shield defense - Zoraï		the	Expert shield large shield defense - Zoraï
SDD	Defense dodge	a	the	Defense dodge		the	Defense dodge
SDDA	Advanced defense dodge	an	the	Advanced defense dodge		the	Advanced defense dodge
SDDAT	Technical advanced defense dodge	a	the	Technical advanced defense dodge		the	Technical advanced defense dodge
SDDATM	Mastery defense dodge	a	the	Mastery defense dodge		the	Mastery defense dodge
SDDATME	Expert advanced defense dodge	an	the	Expert advanced defense dodge		the	Expert advanced defense dodge
uknown	Unknown Skill			Unknown Skill			Unknown Skill
Unknown	Unknown Skill			Unknown Skill			Unknown Skill
SH	Harvest	a	the	Harvest		the	Harvest
SHF	Forage	a	the	Forage			
SHFF	Forest forage	a	the	Forest forage			
SHFFA	Advanced forest forage	a	the	Advanced forest forage			
SHFFAE	Expert forest forage	a	the	Expert forest forage			
SHFFAEM	Master forest forage	a	the	Master forest forage			
SHFD	Desert forage	a	the	Desert forage			
SHFDA	Advanced desert forage	a	the	Advanced desert forage			
SHFDAE	Expert desert forage	a	the	Expert desert forage			
SHFDAEM	Master desert forage	a	the	Master desert forage			
SHFJ	Jungle forage	a	the	Jungle forage			
SHFJA	Advanced jungle forage	a	the	Advanced jungle forage			
SHFJAE	Expert jungle forage	a	the	Expert jungle forage			
SHFJAEM	Master jungle forage	a	the	Master jungle forage			
SHFL	Lake forage	a	the	Lake forage			
SHFLA	Advanced lake forage	a	the	Advanced lake forage			
SHFLAE	Expert lake forage	a	the	Expert lake forage			
SHFLAEM	Master lake forage	a	the	Master lake forage			
SHFP	Prime roots forage	a	the	Prime roots forage			
SHFPA	Advanced prime roots forage	a	the	Advanced prime roots forage			
SHFPAE	Expert prime roots forage	a	the	Expert prime roots forage			
SHFPAEM	Master prime roots forage	a	the	Master prime roots forage			
SMTOECA	Advanced Cold Magic	an	the	Advanced Magic Targeted Offensive special Damage - Cold		the	Advanced Magic Targeted Offensive special Damage - Cold
SMTOEAA	Advanced Acid Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Acid		the	Advanced Magic Targeted Offensive Special Damage - Acid
SMTOERA	Advanced Rot Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Rot		the	Advanced Magic Targeted Offensive Special Damage - Rot
SMTOEFA	Advanced Fire Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Fire		the	Advanced Magic Targeted Offensive Special Damage - Fire
SMTOESA	Advanced Shockwave Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Shockwave		the	Advanced Magic Targeted Offensive Special Damage - Shockwave
SMTOEPA	Advanced Poison Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Poison		the	Advanced Magic Targeted Offensive Special Damage - Poison
SMTOEEA	Advanced Electric Magic	an	the	Advanced Magic Targeted Offensive Special Damage - Electric		the	Advanced Magic Targeted Offensive Special Damage - Electric
SMTCHPA	Advanced HP Healing Magic	an	the	Advanced Magic Targeted Curative Heal - HP		the	Advanced Magic Targeted Curative Heal - HP
SMTCHTA	Advanced STA Healing Magic	an	the	Advanced Magic Targeted Curative Heal - STA		the	Advanced Magic Targeted Curative Heal - STA
SMTCHAA	Advanced SAP Healing Magic	an	the	Advanced Magic Targeted Curative Heal - SAP		the	Advanced Magic Targeted Curative Heal - SAP
SMTCHCA	Advanced Focus Healing Magic	an	the	Advanced Magic Targeted Curative Heal - Focus		the	Advanced Magic Targeted Curative Heal - Focus
SMLOSMA	Advanced Madness Link	an	the	Advanced Magic Link Offensive Sickness - Madness		the	Advanced Magic Link Offensive Sickness - Madness
SMLOSSA	Advanced Speed Debuff Link	an	the	Advanced Magic Link Offensive Sickness - Speed Debuff		the	Advanced Magic Link Offensive Sickness - Speed Debuff
SMLOCIA	Advanced Incapacity Link	an	the	Advanced Magic Link Offensive Curse - Incapacity		the	Advanced Magic Link Offensive Curse - Incapacity
SMLOCSA	Advanced Misfortune Link	an	the	Advanced Magic Link Offensive Curse - Misfortune		the	Advanced Magic Link Offensive Curse - Misfortune
SMLOECA	Advanced Cold Link	an	the	Advanced Magic Link Offensive Special Damage - Cold		the	Advanced Magic Link Offensive Special Damage - Cold
SMLOEAA	Advanced Acid Link	an	the	Advanced Magic Link Offensive Special Damage - Acid		the	Advanced Magic Link Offensive Special Damage - Acid
SMLOERA	Advanced Rot Link	an	the	Advanced Magic Link Offensive Special Damage - Rot		the	Advanced Magic Link Offensive Special Damage - Rot
SMLOEFA	Advanced Fire Link	an	the	Advanced Magic Link Offensive Special Damage - Fire		the	Advanced Magic Link Offensive Special Damage - Fire
SMLOESA	Advanced Shockwave Link	an	the	Advanced Magic Link Offensive Special Damage - Shockwave		the	Advanced Magic Link Offensive Special Damage - Shockwave
SMLOEPA	Advanced Poison Link	an	the	Advanced Magic Link Offensive Special Damage - Poison		the	Advanced Magic Link Offensive Special Damage - Poison
SMLOEEA	Advanced Electric Link	an	the	Advanced Magic Link Offensive Special Damage - Electric		the	Advanced Magic Link Offensive Special Damage - Electric
SMD	Defensive Magic	a	the	Defensive Magic		the	Defensive Magic
SMDA	Standard Defensive Affliction	a	the	Standard Defensive Affliction		the	Standard Defensive Affliction
SMDAA	Advanced Defensive Affliction	an	the	Advanced Defensive Affliction		the	Advanced Defensive Affliction
SMDAAE	Expert Defensive Affliction	an	the	Expert Defensive Affliction		the	Expert Defensive Affliction
SMDAAEM	Master Defensive Affliction	a	the	Master Defensive Affliction		the	Master Defensive Affliction
SMDH	Standard Healing Magic	a	the	Standard Healing Magic		the	Standard Healing Magic
SMDHA	Advanced Healing Magic	an	the	Advanced Healing Magic		the	Advanced Healing Magic
SMDHAE	Expert Healing Magic	an	the	Expert Healing Magic		the	Expert Healing Magic
SMDHAEM	Master Healing Magic	a	the	Master Healing Magic		the	Master Healing Magic
SMO	Offensive Magic	an	the	Offensive Magic		the	Offensive Magic
SMOA	Standard Offensive Affliction	a	the	Standard Offensive Affliction		the	Standard Offensive Affliction
SMOAA	Advanced Offensive Affliction	an	the	Advanced Offensive Affliction		the	Advanced Offensive Affliction
SMOAAE	Expert Offensive Affliction	an	the	Expert Offensive Affliction		the	Expert Offensive Affliction
SMOAAEM	Master Offensive Affliction	a	the	Master Offensive Affliction		the	Master Offensive Affliction
SMOE	Standard Elemental Magic	a	the	Standard Elemental Magic		the	Standard Elemental Magic
SMOEA	Advanced Elemental Magic	an	the	Advanced Elemental Magic		the	Advanced Elemental Magic
SMOEAE	Expert Elemental Magic	an	the	Expert Elemental Magic		the	Expert Elemental Magic
SMOEAEM	Master Elemental Magic	a	the	Master Elemental Magic		the	Master Elemental Magic
SMS	Self Magic	a	the	Self Magic		the	Self Magic
SMSS	Standard Self Magic	a	the	Standard Self Magic		the	Standard Self Magic
SMSSA	Advanced Self Magic	an	the	Advanced Self Magic		the	Advanced Self Magic
SMSSAE	Expert Self Magic	an	the	Expert Self Magic		the	Expert Self Magic
SMSSAEM	Master Self Magic	a	the	Master Self Magic		the	Master Self Magic
SF	Fight	a	the	Fight		the	
SFM	Melee Fight	a	the	Melee Fight		the	
SFM1	1 Hand Melee Fight	a	the	1 Hand Melee Fight		the	
SFM1B	1 Hand Melee Blunt	a	the	1 Hand Melee Blunt		the	
SFM1BM	Mace	a	the	Maces		the	
SFM1BME	Electric Mace	an	the	Electric Maces		the	
SFM1BMM	Master Mace	a	the	Master Mace		the	
SFM1BS	Staff	a	the	Staffs		the	
SFM1BSM	Master Staff	a	the	Master Staff		the	
SFM1P	1 Hand Melee Piercing	a	the	1 Hand Melee Piercing		the
SFM1PS	Spear	a	the	Spears		the
SFM1PSE	Electric Spear	an	the	Electric Spears		the
SFM1PSL	Living Spear	a	the	Living Spears		the
SFM1PSM	Master Spear	a	the	Master Spear		the
SFM1S	1 Hand Melee Slashing	a	the	1 Hand Melee Slashing		the
SFM1SA	Axe	an	the	Axes		the
SFM1SAB	Burning Axe	a	the	Burning Axes		the
SFM1SAM	Master Axe	a	the	Master Axe		the
SFM1SS	Sword	a	the	Swords		the
SFM1SSM	Master Sword	a	the	Master Sword		the
SFM1SSW	Waving Sword	a	the	Waving Swords		the
SFM2	2 Hand Melee Fight	a	the	2 Hand Melee Fight		the
SFM2B	2 Hand Melee Blunt	a	the	2 Hand Melee Blunt		the
SFM2BM	2 Hand Mace	a	the	2 Hand Maces		the
SFM2BME	Electric 2 Hand Mace	an	the	Electric 2 Hand Maces		the
SFM2BMM	Master 2 Hand Mace	a	the	Master 2 Hand Mace		the
SFM2P	2 Hand Melee Piercing	a	the	2 Hand Melee Piercing		the
SFM2PP	Pike	a	the	Pikes		the
SFM2PPL	Living Pike	a	the	Living Pikes		the
SFM2PPM	Master Pike	a	the	Master Pike		the
SFM2S	2 Hand Melee Slashing	a	the	2 Hand Melee Slashing		the
SFM2SA	2 Hand Axe	a	the	2 Hand Axes		the
SFM2SAB	Burning 2 Hand Axe	a	the	Burning 2 Hand Axes		the
SFM2SAM	Master 2 Hand Axe	a	the	Master 2 Hand Axe		the
SFM2SS	2 Hand Sword	a	the	2 Hand Swords		the
SFM2SSB	Burning 2 Hand Sword	a	the	Burning 2 Hand Swords		the
SFM2SSL	Living 2 Hand Sword	a	the	Living 2 Hand Swords		the
SFM2SSM	Master 2 Hand Sword	a	the	Master 2 Hand Sword		the
SFM2SSW	Waving 2 Hand Sword	a	the	Waving 2 Hand Swords		the
SFMC	Close Combat	a	the	Close Combat		the
SFMCA	Advanced Close Combat	an	the	Advanced Close Combat		the
SFMCAD	Dagger	a	the	Daggers		the
SFMCADL	Living Dagger	a	the	Living Daggers		the
SFMCADM	Master Dagger	a	the	Master Dagger		the
SFMCADW	Waving Dagger	a	the	Waving Daggers		the
SFMCAH	Hand to Hand	a	the	Hand to Hand		the
SFMCAHM	Master Hand to Hand	a	the	Master Hand to Hand		the
SFR	Range Fight	a	the	Range Fight		the
SFR1	1 Hand Range Fight	a	the	1 Hand Range Fight		the
SFR1A	Advanced 1 Hand Range Fight	an	the	Advanced 1 Hand Range Fight		the
SFR1AB	Bowpistol 	a	the	Bowpistols		the
SFR1ABM	Master Bowpistol	a	the	Master Bowpistol		the
SFR1ABW	Waving Bowpistol	a	the	Waving Bowpistols		the
SFR1AP	Pistol	a	the	Pistols		the
SFR1APL	Living Pistol	a	the	Living Pistols		the
SFR1APM	Master Pistol	a	the	Master Pistol		the
SFR2	2 Hand Range Fight	a	the	2 Hand Range Fight		the
SFR2A	Advanced 2 Hand Range Fight	an	the	Advanced 2 Hand Range Fight		the	
SFR2AA	Autolauncher	an	the	Autolaunchers		the	
SFR2AAB	Burning Autolauncher	a	the	Burning Autolaunchers		the	
SFR2AAM	Master Autolauncher	a	the	Master Autolauncher		the	
SFR2AB	Bowrifle	a	the	Bowrifles		the	
SFR2ABE	Electric Bowrifle	an	the	Electric Bowrifles		the	
SFR2ABM	Master Bowrifle	a	the	Master Bowrifle		the	
SFR2AL	Launcher	a	the	Launchers		the	
SFR2ALB	Burning Launcher	a	the	Burning Launchers		the	
SFR2ALE	Electric Launcher	an	the	Electric Launchers		the	
SFR2ALM	Master Launcher	a	the	Master Launcher		the	
SFR2AR	Rifle	a	the	Rifles		the	
SFR2ARL	Living Rifle	a	the	Living Rifles		the	
SFR2ARM	Master Rifle	a	the	Master Rifle		the	
SCA	Armor Craft	an	the	Armor Craft		the	Armor Craft
SCJ	Jewel Craft	a	the	Jewel Craft		the	Jewel Craft
SCM	Melee Weapon Craft	a	the	Melee Weapon Craft		the	Melee Weapon Craft
SCR	Range Weapon Craft	a	the	Range Weapon Craft		the	Range Weapon Craft
SCAH	Heavy Armor Craft	a	the	Heavy Armor Craft		the	Heavy Armor Craft
SCAL	Light Armor Craft	a	the	Light Armor Craft		the	Light Armor Craft
SCAM	Medium Armor Craft	a	the	Medium Armor Craft		the	Medium Armor Craft
SCAS	Shield Craft	a	the	Shield Craft		the	Shield Craft
SCJA	Anklet Craft	an	the	Anklet Craft		the	Anklet Craft
SCJB	Bracelet Craft	a	the	Bracelet Craft		the	Bracelet Craft
SCJD	Diadem Craft	a	the	Diadem Craft		the	Diadem Craft
SCJE	Earing Craft	an	the	Earing Craft		the	Earing Craft
SCJP	Pendant Craft	a	the	Pendant Craft		the	Pendant Craft
SCJR	Ring Craft	a	the	Ring Craft		the	Ring Craft
SCM1	1H Melee Weapon Craft	a	the	1H Melee Weapon Craft		the	1H Melee Weapon Craft
SCM2	2H Melee Weapon Craft	a	the	2H Melee Weapon Craft		the	2H Melee Weapon Craft
SCR1	1H Range Weapon Craft	a	the	1H Range Weapon Craft		the	1H Range Weapon Craft
SCR2	2H Range Weapon Craft	a	the	2H Range Weapon Craft		the	2H Range Weapon Craft
SCAHB	Heavy Boots Craft	a	the	Heavy Boots Craft		the	Heavy Boots Craft
SCAHG	Heavy Gloves Craft	a	the	Heavy Gloves Craft		the	Heavy Gloves Craft
SCAHH	Heavy Helm Craft	a	the	Heavy Helm Craft		the	Heavy Helm Craft
SCAHP	Heavy Pants Craft	a	the	Heavy Pants Craft		the	Heavy Pants Craft
SCAHS	Heavy Sleeves Craft	a	the	Heavy Sleeves Craft		the	Heavy Sleeves Craft
SCAHV	Heavy Vest Craft	a	the	Heavy Vest Craft		the	Heavy Vest Craft
SCALB	Light Boots Craft	a	the	Light Boots Craft		the	Light Boots Craft
SCALG	Light Gloves Craft	a	the	Light Gloves Craft		the	Light Gloves Craft
SCALP	Light Pants Craft	a	the	Light Pants Craft		the	Light Pants Craft
SCALS	Light Sleeves Craft	a	the	Light Sleeves Craft		the	Light Sleeves Craft
SCALV	Light Vest Craft	a	the	Light Vest Craft		the	Light Vest Craft
SCAMB	Medium Boots Craft	a	the	Medium Boots Craft		the	Medium Boots Craft
SCAMG	Medium Gloves Craft	a	the	Medium Gloves Craft		the	Medium Gloves Craft
SCAMP	Medium Pants Craft	a	the	Medium Pants Craft		the	Medium Pants Craft
SCAMS	Medium Sleeves Craft	a	the	Medium Sleeves Craft		the	Medium Sleeves Craft
SCAMV	Medium Vest Craft	a	the	Medium Vest Craft		the	Medium Vest Craft
SCASS	Large Shield Craft	a	the	Large Shield Craft		the	Large Shield Craft
SCASB	Buckler Craft	a	the	Buckler Craft		the	Buckler Craft
SCJAA	Advanced Anklet Craft	an	the	Advanced Anklet Craft		the	Advanced Anklet Craft
SCJBA	Advanced Bracelet Craft	an	the	Advanced Bracelet Craft		the	Advanced Bracelet Craft
SCJDA	Advanced Diadem Craft	an	the	Advanced Diadem Craft		the	Advanced Diadem Craft
SCJEA	Advanced Earing Craft	an	the	Advanced Earing Craft		the	Advanced Earing Craft
SCJPA	Advanced Pendant Craft	an	the	Advanced Pendant Craft		the	Advanced Pendant Craft
SCJRA	Advanced Ring Craft	an	the	Advanced Ring Craft		the	Advanced Ring Craft
SCM1M	Mace craft	a	the	Mace craft		the	Mace craft
SCM1T	Staff Craft	a	the	Staff Craft		the	Staff Craft
SCM1P	Spear Craft	a	the	Spear Craft		the	Spear Craft
SCM1A	Axe Craft	an	the	Axe Craft		the	Axe Craft
SCM1S	Sword Craft	a	the	Sword Craft		the	Sword Craft
SCM1D	Dagger Craft	a	the	Dagger Craft		the	Dagger Craft
SCM2M	2H Mace Craft	a	the	2H Mace Craft		the	2H Mace Craft
SCM2P	Pike Craft	a	the	Pike Craft		the	Pike Craft
SCM2A	2H Axe Craft	a	the	2H Axe Craft		the	2H Axe Craft
SCM2S	2H Sword Craft	a	the	2H Sword Craft		the	2H Sword Craft
SCR1B	Bowpistol Craft	a	the	Bowpistol Craft		the	Bowpistol Craft
SCR1P	Pistol Craft	a	the	Pistol Craft		the	Pistol Craft
SCR2A	Autolauncher Craft	an	the	Autolauncher Craft		the	Autolauncher Craft
SCR2B	Bowrifle Craft	a	the	Bowrifle Craft		the	Bowrifle Craft
SCR2L	Launcher Craft	a	the	Launcher Craft		the	Launcher Craft
SCR2R	Rifle Craft	a	the	Rifle Craft		the	Rifle Craft
SCAHBE	Expert Heavy Boots Craft	an	the	Expert Heavy Boots Craft		the	Expert Heavy Boots Craft
SCAHGE	Expert Heavy Gloves Craft	an	the	Expert Heavy Gloves Craft		the	Expert Heavy Gloves Craft
SCAHHE	Expert Heavy Helm Craft	an	the	Expert Heavy Helm Craft		the	Expert Heavy Helm Craft
SCAHPE	Expert Heavy Pants Craft	an	the	Expert Heavy Pants Craft		the	Expert Heavy Pants Craft
SCAHSE	Expert Heavy Sleeves Craft	an	the	Expert Heavy Sleeves Craft		the	Expert Heavy Sleeves Craft
SCAHVE	Expert Heavy Vest Craft	an	the	Expert Heavy Vest Craft		the	Expert Heavy Vest Craft
SCALBE	Expert Light Boots Craft	an	the	Expert Light Boots Craft		the	Expert Light Boots Craft
SCALGE	Expert Light Gloves Craft	an	the	Expert Light Gloves Craft		the	Expert Light Gloves Craft
SCALPE	Expert Light Pants Craft	an	the	Expert Light Pants Craft		the	Expert Light Pants Craft
SCALSE	Expert Light Sleeves Craft	an	the	Expert Light Sleeves Craft		the	Expert Light Sleeves Craft
SCALVE	Expert Light Vest Craft	an	the	Expert Light Vest Craft		the	Expert Light Vest Craft
SCAMBE	Expert Medium Boots Craft	an	the	Expert Medium Boots Craft		the	Expert Medium Boots Craft
SCAMGE	Expert Medium Gloves Craft	an	the	Expert Medium Gloves Craft		the	Expert Medium Gloves Craft
SCAMPE	Expert Medium Pants Craft	an	the	Expert Medium Pants Craft		the	Expert Medium Pants Craft
SCAMSE	Expert Medium Sleeves Craft	an	the	Expert Medium Sleeves Craft		the	Expert Medium Sleeves Craft
SCAMVE	Expert Medium Vest Craft	an	the	Expert Medium Vest Craft		the	Expert Medium Vest Craft
SCASSE	Expert Shield Craft	an	the	Expert Shield Craft		the	Expert Shield Craft
SCASBE	Expert Buckler Craft	an	the	Expert Buckler Craft		the	Expert Buckler Craft
SCJAAE	Expert Anklet Craft	an	the	Expert Anklet Craft		the	Expert Anklet Craft
SCJBAE	Expert Bracelet Craft	an	the	Expert Bracelet Craft		the	Expert Bracelet Craft
SCJDAE	Expert Diadem Craft	an	the	Expert Diadem Craft		the	Expert Diadem Craft
SCJEAE	Expert Earing Craft	an	the	Expert Earing Craft		the	Expert Earing Craft
SCJPAE	Expert Pendant Craft	an	the	Expert Pendant Craft		the	Expert Pendant Craft
SCJRAE	Expert Ring Craft	an	the	Expert Ring Craft		the	Expert Ring Craft
SCM1ME	Expert Mace craft	an	the	Expert Mace craft		the	Expert Mace craft
SCM1TE	Expert Staff Craft	an	the	Expert Staff Craft		the	Expert Staff Craft
SCM1PE	Expert Spear Craft	an	the	Expert Spear Craft		the	Expert Spear Craft
SCM1AE	Expert Axe Craft	an	the	Expert Axe Craft		the	Expert Axe Craft
SCM1SE	Expert Sword Craft	an	the	Expert Sword Craft		the	Expert Sword Craft
SCM1DE	Expert Dagger Craft	an	the	Expert Dagger Craft		the	Expert Dagger Craft
SCM2ME	Expert 2H Mace Craft	an	the	Expert 2H Mace Craft		the	Expert 2H Mace Craft
SCM2PE	Expert Pike Craft	an	the	Expert Pike Craft		the	Expert Pike Craft
SCM2AE	Expert 2H Axe Craft	an	the	Expert 2H Axe Craft		the	Expert 2H Axe Craft
SCM2SE	Expert 2H Sword Craft	an	the	Expert 2H Sword Craft		the	Expert 2H Sword Craft
SCR1BE	Expert Bowpistol Craft	an	the	Expert Bowpistol Craft		the	Expert Bowpistol Craft
SCR1PE	Expert Pistol Craft	an	the	Expert Pistol Craft		the	Expert Pistol Craft
SCR2AE	Expert Autolauncher Craft	an	the	Expert Autolauncher Craft		the	Expert Autolauncher Craft
SCR2BE	Expert Bowrifle Craft	an	the	Expert Bowrifle Craft		the	Expert Bowrifle Craft
SCR2LE	Expert Launcher Craft	an	the	Expert Launcher Craft		the	Expert Launcher Craft
SCR2RE	Expert Rifle Craft	an	the	Expert Rifle Craft		the	Expert Rifle Craft
SCAHBEM	Master Heavy Boots Craft	a	the	Master Heavy Boots Craft		the	Master Heavy Boots Craft
SCAHGEM	Master Heavy Gloves Craft	a	the	Master Heavy Gloves Craft		the	Master Heavy Gloves Craft
SCAHHEM	Master Heavy Helm Craft	a	the	Master Heavy Helm Craft		the	Master Heavy Helm Craft
SCAHPEM	Master Heavy Pants Craft	a	the	Master Heavy Pants Craft		the	Master Heavy Pants Craft
SCAHSEM	Master Heavy Sleeves Craft	a	the	Master Heavy Sleeves Craft		the	Master Heavy Sleeves Craft
SCAHVEM	Master Heavy Vest Craft	a	the	Master Heavy Vest Craft		the	Master Heavy Vest Craft
SCALBEM	Master Light Boots Craft	a	the	Master Light Boots Craft		the	Master Light Boots Craft
SCALGEM	Master Light Gloves Craft	a	the	Master Light Gloves Craft		the	Master Light Gloves Craft
SCALPEM	Master Light Pants Craft	a	the	Master Light Pants Craft		the	Master Light Pants Craft
SCALSEM	Master Light Sleeves Craft	a	the	Master Light Sleeves Craft		the	Master Light Sleeves Craft
SCALVEM	Master Light Vest Craft	a	the	Master Light Vest Craft		the	Master Light Vest Craft
SCAMBEM	Master Medium Boots Craft	a	the	Master Medium Boots Craft		the	Master Medium Boots Craft
SCAMGEM	Master Medium Gloves Craft	a	the	Master Medium Gloves Craft		the	Master Medium Gloves Craft
SCAMPEM	Master Medium Pants Craft	a	the	Master Medium Pants Craft		the	Master Medium Pants Craft
SCAMSEM	Master Medium Sleeves Craft	a	the	Master Medium Sleeves Craft		the	Master Medium Sleeves Craft
SCAMVEM	Master Medium Vest Craft	a	the	Master Medium Vest Craft		the	Master Medium Vest Craft
SCASSEM	Master Shield Craft	a	the	Master Shield Craft		the	Master Shield Craft
SCASBEM	Master Buckler Craft	a	the	Master Buckler Craft		the	Master Buckler Craft
SCJAAEM	Master Anklet Craft	a	the	Master Anklet Craft		the	Master Anklet Craft
SCJBAEM	Master Bracelet Craft	a	the	Master Bracelet Craft		the	Master Bracelet Craft
SCJDAEM	Master Diadem Craft	a	the	Master Diadem Craft		the	Master Diadem Craft
SCJEAEM	Master Earing Craft	a	the	Master Earing Craft		the	Master Earing Craft
SCJPAEM	Master Pendant Craft	a	the	Master Pendant Craft		the	Master Pendant Craft
SCJRAEM	Master Ring Craft	a	the	Master Ring Craft		the	Master Ring Craft
SCM1MEM	Master Mace Craft	a	the	Master Mace Craft		the	Master Mace Craft
SCM1TEM	Master Staff Craft	a	the	Master Staff Craft		the	Master Staff Craft
SCM1PEM	Master Spear Craft	a	the	Master Spear Craft		the	Master Spear Craft
SCM1AEM	Master Axe Craft	a	the	Master Axe Craft		the	Master Axe Craft
SCM1SEM	Master Sword Craft	a	the	Master Sword Craft		the	Master Sword Craft
SCM1DEM	Master Dagger Craft	a	the	Master Dagger Craft		the	Master Dagger Craft
SCM2MEM	Master 2H Mace Craft	a	the	Master 2H Mace Craft		the	Master 2H Mace Craft
SCM2PEM	Master Pike Craft	a	the	Master Pike Craft		the	Master Pike Craft
SCM2AEM	Master 2H Axe Craft	a	the	Master 2H Axe Craft		the	Master 2H Axe Craft
SCM2SEM	Master 2H Sword Craft	a	the	Master 2H Sword Craft		the	Master 2H Sword Craft
SCR1BEM	Master Bowpistol Craft	a	the	Master Bowpistol Craft		the	Master Bowpistol Craft
SCR1PEM	Master Pistol Craft	a	the	Master Pistol Craft		the	Master Pistol Craft
SCR2AEM	Master Autolauncher Craft	a	the	Master Autolauncher Craft		the	Master Autolauncher Craft
SCR2BEM	Master Bowrifle Craft	a	the	Master Bowrifle Craft		the	Master Bowrifle Craft
SCR2LEM	Master Launcher Craft	a	the	Master Launcher Craft		the	Master Launcher Craft
SCR2REM	Master Rifle Craft	a	the	Master Rifle Craft		the	Master Rifle Craft
SCMC	Close Combat Weapon Crafting	a	the	Close Combat Weapon Crafting		the	Close Combat Weapon Crafting
SCMCA	Advanced Magic Amplifier Crafting	a	the	Advanced Magic Amplifier Crafting		the	Advanced Magic Amplifier Crafting
SCMCAE	Expert Magic Amplifier Crafting	a	the	Expert Magic Amplifier Crafting		the	Expert Magic Amplifier Crafting
SCMCAEM	Master Magic Amplifier Crafting	a	the	Master Magic Amplifier Crafting		the	Master Magic Amplifier Crafting
